S. No,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower (Missing parts,broken,etc)","Condition of Earth wire (Missing,Brok en etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 180 LILO RASIPALAYAM 400KV,,T,DC,26,,,,273,,77.521,10.82533333,GOOD,GOOD,,,PLAIN,RASIPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.521 10.825333333333333, 77.52147222222222 10.828333333333333)"
2,T.NO 181,,S,DA,26,180-181,334,5.08,291,,77.52147222,10.82833333,GOOD,GOOD,"LT,400KV",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52147222222222 10.828333333333333, 77.52197222222222 10.830805555555555)"
3,T.NO 182,,S,DA,26,181-182,280,3.82,286,,77.52197222,10.83080556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52197222222222 10.830805555555555, 77.52244444444445 10.833333333333334)"
4,T.NO 183,,S,DA,26,182-183,285,8.9,291,,77.52244444,10.83333333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52244444444445 10.833333333333334, 77.523 10.836222222222222)"
5,T.NO 184,,T,DB,24,183-184,326,5.86,288,"0°17'44""",77.523,10.83622222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.523 10.836222222222222, 77.52352777777777 10.839055555555555)"
6,T.NO 185,,S,DA,26,184-185,317,6.31,276,,77.52352778,10.83905556,GOOD,GOOD,"LT,",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52352777777777 10.839055555555555, 77.52413888888888 10.842194444444445)"
7,T.NO 186,,S,DA,26,185-186,353,5.36,283,,77.52413889,10.84219444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52413888888888 10.842194444444445, 77.52455555555555 10.84438888888889)"
8,T.NO 187,,S,DA,26,186-187,248,6.683,288,,77.52455556,10.84438889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52455555555555 10.84438888888889, 77.52511111111112 10.847277777777778)"
9,T.NO 188,,S,DA,26,187-188,325,6.83,280,,77.52511111,10.84727778,GOOD,GOOD,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52511111111112 10.847277777777778, 77.5256111111111 10.850166666666667)"
10,T.NO 189,,T,DB,24,188-189,324,5.03,289,"1°56'57""",77.52561111,10.85016667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5256111111111 10.850166666666667, 77.52547777777778 10.850344444444444)"
11,DP1,,T,DP,15,189-DP1,21,,286,,77.52547778,10.85034444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52547777777778 10.850344444444444, 77.52554166666667 10.850694444444445)"
12,DP2,,T,DP,15,DP1-DP2,37,,285,,77.52554167,10.85069444,GOOD,MISSING,400KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52554166666667 10.850694444444445, 77.52580555555555 10.851055555555556)"
13,T.NO 190,,T,DB,24,DP2-190,43,5.82,284,"1°54'56""",77.52580556,10.85105556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52580555555555 10.851055555555556, 77.5261111111111 10.852722222222221)"
14,T.NO 191,,T,DB,24,190-191,189,4.03,283,"0°35'36""",77.52611111,10.85272222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5261111111111 10.852722222222221, 77.52616944444445 10.852986111111111)"
15,DP1,,T,DP,15,191-DP1,29,,282,,77.52616944,10.85298611,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52616944444445 10.852986111111111, 77.52623888888888 10.853330555555555)"
16,DP2,,T,DP,15,DP1-DP2,39,,280,,77.52623889,10.85333056,GOOD,MISSING,400KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52623888888888 10.853330555555555, 77.52630555555555 10.853638888888888)"
17,T.NO 192,2W,T,DB,24,191-192,35,6.83,282,"0°31'30""",77.52630556,10.85363889,GOOD,GOOD,"3nos HT,",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52630555555555 10.853638888888888, 77.52655555555556 10.854888888888889)"
18,T.NO 193,,S,DA,26,192-193,139,4.85,277,,77.52655556,10.85488889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52655555555556 10.854888888888889, 77.52708333333334 10.857777777777777)"
