Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms) (Ω),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
7,,DC,34,06-Jul,242,240.5580334,2.85,893,"19°25'18""(LT)",12.7186,77.81547,Good,Good,11KV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81547 12.7186, 77.81572 12.71735)"
8,,DC,34,07-Aug,142,141.0321191,4.68,901,"17°17'45""(RT)",12.71735,77.81572,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81572 12.71735, 77.81554 12.71572)"
9,,DB,32,08-Sep,180,181.5176805,3.26,904,"02°01'40""(LT)",12.71572,77.81554,Good,Good,LT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81554 12.71572, 77.81542 12.7141)"
10,,DA,34,09-Oct,181,179.8267528,3.19,906,,12.7141,77.81542,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81542 12.7141, 77.81531 12.71223)"
11,,DC+3,37,10-Nov,214,207.3759843,4.24,905,"15°41'39""(LT)",12.71223,77.81531,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81531 12.71223, 77.8158 12.71004)"
12,,DC,34,11-Dec,250,248.2393263,1.02,907,"54°36'51""(LT)",12.71004,77.8158,Good,Good,11KV-3,DHENKANIKOTTAI TO HOSUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8158 12.71004, 77.81808 12.70909)"
13,,DB,32,Dec-13,272,269.2128048,2.48,908,"05°59'56""(RT)",12.70909,77.81808,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81808 12.70909, 77.81876 12.70872)"
14,,DC,34,13-14,81,84.50326837,4.12,906,"10°39'18""(LT)",12.70872,77.81876,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81876 12.70872, 77.82088 12.70803)"
15,,DC,34,14-15,242,242.7609322,5.36,897,"13°45'43""(LT)",12.70803,77.82088,Good,Good,11KV-1,ELECTRICAL RAILWAY TO CHENNAI TO BANGALORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82088 12.70803, 77.82177 12.70796)"
16,,DB,32,15-16,95,97.04663041,3.52,900,"89°25'53""(RT)",12.70796,77.82177,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82177 12.70796, 77.82165 12.70628)"
16A,,DC,34,16-16A,190,186.4534772,12.25,900,"69°24'40""(LT)",12.70628,77.82165,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82165 12.70628, 77.82363 12.70539)"
