Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,SA,26,57-58,,236.62546515800594,0.76,249,,11.3891,78.2463,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2463 11.3891, 78.24765 11.39085)"
59,SA,26,58-59,,243.44971545375628,1.32,265,,11.39085,78.24765,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24765 11.39085, 78.24881 11.3924)"
60,SD,28,59-60,,213.28635927209356,2.05,270,"51°39'16""(RT)",11.3924,78.24881,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24881 11.3924, 78.25186 11.3925)"
61,SD,28,60-61,,333.30001162457336,4.25,263,"15°31'56""(LT)",11.3925,78.25186,GOOD,GOOD,"LT-5, ZIG-ZAG",TAR ROAD CROSSING(RASIPURAM TO NAMAKKAL),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25186 11.3925, 78.25399 11.39316)"
62,SA,26,61-62,,243.83698569486947,1.69,264,,11.39316,78.25399,GOOD,GOOD,,,LAKE AREA CROSSING,THORN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25399 11.39316, 78.25544 11.39364)"
63,SA,26,62-63,,167.04162940133065,0.59,262,,11.39364,78.25544,GOOD,GOOD,,SAND ROAD CROSSING,"LAKE CROSSING,TOWER IN LAKE",THORN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25544 11.39364, 78.25666 11.39404)"
64,SB,24,63-64,,140.4096212195805,3.11,262,"11°39'37""(RT)",11.39404,78.25666,GOOD,GOOD,,,"LAKE CROSSING,TOWER IN LAKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25666 11.39404, 78.25924 11.39434)"
65,SD,28,64-65,,283.7301707739684,2.02,263,"35°51'58""(LT)",11.39434,78.25924,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25924 11.39434, 78.26141 11.39624)"
66,SA,26,65-66,,316.86615311337437,1.96,265,,11.39624,78.26141,GOOD,GOOD,"22KV-1,LT-2",SAND ROAD CROSSING,,AGRICULTUTE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26141 11.39624, 78.26309 11.39773)"
67,SB,24,66-67,,246.71797661549118,3.15,266,"20°04'20""(RT)",11.39773,78.26309,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26309 11.39773, 78.26521 11.39857)"
