S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV SELLAMPALAYAM SS,2W,GANTRY,GANTRY,20,,,,290,,77.44669444,10.66338889,GOOD,MISSING,,,,110KV SELLAMPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44669444444445 10.663388888888889, 77.4465 10.6635)"
2,T.NO 32,,T,DD,28,GANTRY-32,21.9544984,3.35,288,"45°35'46""",77.4465,10.6635,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4465 10.6635, 77.44630555555555 10.664305555555556)"
3,T.NO 31,,T,DB,24,32-31,92.89241088,4.9,290,"12°26'50""",77.44630556,10.66430556,GOOD,GOOD,3nos HT,TAAR ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44630555555555 10.664305555555556, 77.44625 10.666777777777778)"
4,T.NO 30,,T,DB,24,31-30,273.1483114,5.85,293,"11°3'27""",77.44625,10.66677778,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44625 10.666777777777778, 77.4466388888889 10.669055555555556)"
5,T.NO 29,,T,DB,24,30-29,257.2877766,5.41,294,"14°4'7""",77.44663889,10.66905556,GOOD,GOOD,HT,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4466388888889 10.669055555555556, 77.44647222222223 10.671277777777776)"
6,T.NO 28,,T,DB,24,29-28,245.898353,4.95,294,"3°30'7""",77.44647222,10.67127778,GOOD,GOOD,2nos LT,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44647222222223 10.671277777777776, 77.44644444444445 10.673138888888888)"
7,T.NO 27,,T,DD,28,28-27,205.0609665,5.65,296,"38°3'51""",77.44644444,10.67313889,GOOD,GOOD,,TAAR ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44644444444445 10.673138888888888, 77.44508333333334 10.674777777777777)"
8,T.NO 26,,T,DD,28,27-26,234.4397577,6.25,302,"38°39'51""",77.44508333,10.67477778,GOOD,GOOD,,TAAR ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44508333333334 10.674777777777777, 77.44505555555556 10.677222222222222)"
9,T.NO 25,,S,DA,26,26-25,271.0295187,5.05,306,,77.44505556,10.67722222,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44505555555556 10.677222222222222, 77.44505555555556 10.679333333333332)"
10,T.NO 24,,T,DB,24,25-24,232.0193957,4.15,314,"11°28'2""",77.44505556,10.67933333,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44505555555556 10.679333333333332, 77.44541666666667 10.681194444444444)"
11,T.NO 23,,T,DD,28,24-23,210.6418762,3.1,314,"47°37'2""",77.44541667,10.68119444,GOOD,GOOD,,"MUD ROAD  ,CANAL",CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44541666666667 10.681194444444444, 77.44736111111112 10.68236111111111)"
12,T.NO 22,,T,DB,24,23-22,249.2087478,3.95,317,"2°41'29""",77.44736111,10.68236111,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44736111111112 10.68236111111111, 77.44972222222222 10.683944444444444)"
13,T.NO 21,,T,DB,24,22-21,311.4883625,4,312,"11°55'9""",77.44972222,10.68394444,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44972222222222 10.683944444444444, 77.45111111111112 10.685333333333334)"
14,T.NO 20,,T,DD,28,21-20,214.3105224,4.85,311,"35°38'19""",77.45111111,10.68533333,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45111111111112 10.685333333333334, 77.45352777777778 10.68575)"
15,T.NO 19,,T,DB,24,20-19,269.6757312,4.9,313,"5°24'13""",77.45352778,10.68575,GOOD,GOOD, LT,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45352777777778 10.68575, 77.45569444444445 10.685944444444445)"
