Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,2W,PA(T),32,15-16,250,284.8434725,4.82,859,"12°20'28""(RT)",12.77832,77.81499,Good,Good,LT-1,BRICK FACTORY CROSSING LOCATED AT PIT,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81499 12.77832, 77.81463 12.78092)"
17,,PA(S),34,16-17,270,288.8429136,5.47,854,"00°00'00""",12.78092,77.81463,Good,Good,,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81463 12.78092, 77.81437 12.783)"
18,,PA(A),34,17-18,275,232.0079548,4.56,852,"00°00'00""",12.783,77.81437,Good,Good,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81437 12.783, 77.81406 12.78521)"
19,,PB(T),36,18-19,295,246.9817841,1.37,860,"41°44'35""(LT)",12.78521,77.81406,Good,Good,"LT-1,11KV-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81406 12.78521, 77.81272 12.78633)"
20,,PB(S),34,19-20,320,191.2475991,2.53,864,"00°00'00""",12.78633,77.81272,Good,Good,"11KV-1,LT-1",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81272 12.78633, 77.81087 12.78791)"
21,,PA(T),34,20-21,150,266.4711732,3.59,860,"27°09'47""(RT)",12.78791,77.81087,Good,Good,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81087 12.78791, 77.80981 12.79051)"
22,,PB(T),36,21-22,164,310.0384068,4.73,857,"35°25'36""(RT)",12.79051,77.80981,Good,Good,,RIVER CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80981 12.79051, 77.8104 12.7929)"
23,,PA(S),34,22-23,203,272.2565537,0.67,860,"00°00'00""",12.7929,77.8104,Good,Good,,"RIVER CROSSING,CANAL CROSSING",,COMPOUND WALL INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8104 12.7929, 77.81094 12.79511)"
24,,PA(T),34,23-24,295,251.6102153,0.98,864,"26°51'21""(RT)",12.79511,77.81094,Good,Good,,"SMALL CANAL,TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81094 12.79511, 77.81274 12.79719)"
25,,CR+3M(S),37,24-25,302,302.1259755,1.3,867,"00°00'00""",12.79719,77.81274,Good,Good,,WIRE CABLE CROSSING,FARM CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81274 12.79719, 77.81412 12.79888)"
