Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
 Trichengode Gantry,2W,T,20,,,,,,264,,11.385971,77.876813,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.876813 11.385971, 77.87636 11.3858)"
70,,T,28,Gantry to 70,50,52.98002594,,4.5,262,"30⁰43'43"" RT",11.3858,77.87636,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87636 11.3858, 77.87442 11.38717)"
69,,T,28,70 to 69,240,260.5950504,,2.53,253,"56⁰31'43"" LT",11.38717,77.87442,Good,Good,,Road Crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87442 11.38717, 77.872395 11.38734)"
68,,T,26,69 to 68 ,200,221.9932071,,5.8,244,"28⁰31'6"" LT",11.38734,77.872395,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.872395 11.38734, 77.870308 11.386438)"
67,,T,24,68 to 67 ,230,248.8780842,,5.6,247,"12⁰42'25"" LT",11.386438,77.870308,Good,Good,LT-Line crossing,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.870308 11.386438, 77.868312 11.384988)"
66,,T,28,67 to 66,250,270.7475103,,6.1,239,"37⁰41'3"" LT",11.384988,77.868312,Good,Good,LT-Line crossing,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.868312 11.384988, 77.867794 11.3832)"
65,,T,26,66 to 65,190,205.8731081,,5.8,241,"27⁰3'23"" RT",11.3832,77.867794,Good,Good,11kv line crossing ,Road Crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.867794 11.3832, 77.866842 11.382193)"
64,,T,24,65 to 64,140,152.4537298,,5.6,242,"5⁰15'8"" LT",11.382193,77.866842,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866842 11.382193, 77.86547 11.380445)"
63,,T,26,64 to 63,220,244.763015,,5.8,236,"20⁰49'52"" RT",11.380445,77.86547,Good,Good,LT-Line crossing,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86547 11.380445, 77.863155 11.37905)"
62,,T,28,63 to 62,270,296.305195,,58,231,"34⁰36'35"" RT",11.37905,77.863155,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.863155 11.37905, 77.860977 11.37917)"
61,,S,26,62 to 61,220,238.2815375,,6.1,233,,11.37917,77.860977,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.860977 11.37917, 77.85884 11.37931)"
60,2W,T,28,61 to 60 ,210,233.9457738,,5.1,225,"31⁰24'33"" RT",11.37931,77.85884,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85884 11.37931, 77.857408 11.380307)"
59,,T,26,60 to 59,170,191.4425494,,5.1,226,"21⁰35'0"" RT",11.380307,77.857408,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857408 11.380307, 77.85631 11.381962)"
58,,T,26,59 to 58 ,220,218.9843512,,5.8,224,"24⁰32'3"" LT",11.381962,77.85631,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85631 11.381962, 77.855218 11.382642)"
57,,T,28,58 to 57,130,141.0500711,,6.2,218,"67⁰7'18"" LT",11.382642,77.855218,Good,Good,,River crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.855218 11.382642, 77.853372 11.381373)"
56,,T,26,57to 56,220,245.7556122,,7.1,214,"24⁰59'11"" RT",11.381373,77.853372,Good,Good,LT-Line crossing,River crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853372 11.381373, 77.851987 11.381135)"
55,,T,24,56 to 55 ,140,153.5635357,,4.3,214,"4⁰25'23"" RT",11.381135,77.851987,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851987 11.381135, 77.849462 11.380897)"
54,,T,26,55 to 54 ,250,277.0661647,,5.3,213,"15⁰33'37"" RT",11.380897,77.849462,Good,Good,,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849462 11.380897, 77.847255 11.381285)"
53,,T,24,54 to 53 ,220,244.8710197,,6.8,211,"11⁰28'4"" LT",11.381285,77.847255,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.847255 11.381285, 77.845214 11.381237)"
52,,T,24,53 to 52,200,223.0045756,,4.6,211,"8⁰55'13"" RT",11.381237,77.845214,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.845214 11.381237, 77.842822 11.38155)"
51,,S,26,52 to 51,240,263.5685193,,4.1,218,,11.38155,77.842822,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.842822 11.38155, 77.840242 11.381855)"
50,,T,24,51 to 50 ,260,283.830956,,8.3,229,"1⁰20'49"" RT",11.381855,77.840242,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.840242 11.381855, 77.838197 11.382145)"
49,,S,26,50 to 49 ,210,225.6715735,,7.2,226,,11.382145,77.838197,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.838197 11.382145, 77.835652 11.38257)"
48,2W,T,24,49 to 48 ,260,281.9440467,,6.2,227,"8⁰53'55"" RT",11.38257,77.835652,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.835652 11.38257, 77.834365 11.382995)"
47,2W,T,28,48 to 47,140,148.2431081,,5.6,221,"50⁰9'18""LT",11.382995,77.834365,Good,NO,400 kv line crossing,,Plain ,NEED ADSS CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.834365 11.382995, 77.832175 11.381663)"
46,,T,26,47 to 46 ,210,281.0103607,,6.2,214,"22⁰59'54"" LT",11.381663,77.832175,Good,Good,,Car Track,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832175 11.381663, 77.831093 11.380158)"
45,,S,26,46 to 45 ,190,204.2716837,,6.1,207,,11.380158,77.831093,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.831093 11.380158, 77.830143 11.378857)"
44,,T,28,45 to 44,160,177.5146568,,5.7,210,"51⁰59'50"" RT",11.378857,77.830143,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830143 11.378857, 77.828322 11.378787)"
43,2W,T,26,44 to 43 ,180,199.0601125,,5.8,203,"25⁰53'15"" RT",11.378787,77.828322,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.828322 11.378787, 77.826758 11.379463)"
42,2W,T,26,43 to 42 ,170,186.5086695,,6.2,202,"23⁰20'18""LT",11.379463,77.826758,Good,NO,400 kv line crossing,Road crossing,Plain ,NEED ADSS CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.826758 11.379463, 77.82493 11.379473)"
41,,T,28,42 to 41 ,180,199.6758882,,5.1,202,"32⁰10'10"" LT",11.379473,77.82493,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82493 11.379473, 77.822842 11.378193)"
40,,T,28,41 to 40 ,240,268.5072655,,4.9,202,"35⁰54'52"" RT",11.378193,77.822842,Good,Good,,Car Track,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.822842 11.378193, 77.820073 11.378387)"
39,,S,26,40 to 39 ,280,303.2201064,,6.5,199,"21⁰54'41"" RT",11.378387,77.820073,Good,Good,,Car Track,Plain ,towerno 93 to 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.820073 11.378387, 77.819168 11.378822)"
38,,T,28,39 to 38 ,100,109.9587112,,5.3,200,"42⁰51'22"" LT",11.378822,77.819168,Good,Good,110 kv line  crossing ,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.819168 11.378822, 77.81649 11.37802)"
37,,T,24,38 to 37 ,280,305.6944193,,2.33,206,"7⁰1'41"" LT",11.37802,77.81649,Good,Good,,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81649 11.37802, 77.81569 11.37767)"
36A,,T,24,37 to 36A ,90,95.58869934,,3.44,206,"1⁰4'56"" LT",11.37767,77.81569,Good,Good,,Road crossing ,Plain ,Tapping Anangur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81569 11.37767, 77.81469 11.37721)"
36,,T,26,36 A to 36,100,120.5170596,,3.51,205,"24⁰16'34"" LT",11.37721,77.81469,Good,Good,LT-Line crossing,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81469 11.37721, 77.81332 11.37564)"
35,,T,28,36 to 35,210,229.349422,,11.55,203,"33⁰36'33"" LT",11.37564,77.81332,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81332 11.37564, 77.81302 11.37327)"
34,,T,26,35 to 34 ,240,264.402917,,1.69,203,"24⁰2'41"" RT",11.37327,77.81302,Good,Good,,,Plain ,unjanay to pallipalayam ( tower  No.96 to 97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81302 11.37327, 77.81207 11.37172)"
33,,T,28,34 to 33 ,180,200.5263408,,4.35,204,"35⁰57'10"" LT",11.37172,77.81207,Good,Good,,Road crossing ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81207 11.37172, 77.81216 11.37066)"
32,,T,28,33 to 32 ,110,117.7553765,,5.17,202,"34⁰16'48"" LT",11.37066,77.81216,Good,Good,110 kv line  crossing ,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81216 11.37066, 77.81122 11.36902)"
31,,T,24,32 to 31 ,190,208.5757292,,4.15,201,"13⁰30'18"" RT",11.36902,77.81122,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81122 11.36902, 77.809848 11.367568)"
30 lilo ,,T,24,31 to 30 lilo,190,219.7668617,,5.33,200,"6⁰42'57"" RT",11.367568,77.809848,Good,Good, 800KV NEW LINE CROSSING,,Plain ,Tapping to pallipalayam 110 kv ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
