Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57 LILO,,LILO,T,26,,,,,240,,11.61388272,77.89334362,GOOD,GOOD,,,,Tapping to Edappadi Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89334362223674 11.61388272382349, 77.89188854621024 11.613165644871508)"
57/1,,SC,T,26,57LILO-57/1,0.002952895,177.552809,2.57,238," 17d51'28"" LT",11.61316564,77.89188855,GOOD,GOOD,HT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89188854621024 11.613165644871508, 77.88986177532162 11.611207731389733)"
58,,SB,T,24,57/1-58,0.002861767,309.7127702,4.97,238,"3d57'37""RT",11.61120773,77.88986178,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88986177532162 11.611207731389733, 77.88763487533032 11.609387294962712)"
59,,SA,S,26,58-59,0.002788457,315.7483175,4.65,233,,11.60938729,77.88763488,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88763487533032 11.609387294962712, 77.88549073459045 11.607593106121685)"
60,,SA,S,26,59-60,0.002773418,306.9609096,9.54,235,,11.60759311,77.88549073,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88549073459045 11.607593106121685, 77.88343832695699 11.605807011496573)"
61,,SB,T,24,60-61,0.002844204,298.8042838,3.58,233," 5d53'50""RT",11.60580701,77.88343833,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88343832695699 11.605807011496573, 77.88099330506277 11.604151277576703)"
62,,SA,S,26,61-62,0.002330253,323.7607141,2.67,231,,11.60415128,77.88099331,GOOD,GOOD,LT-3,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88099330506277 11.604151277576703, 77.8786221558615 11.602548978075188)"
63,,SA,S,26,62-63,0.002433532,313.7658363,6.42,235,,11.60254898,77.87862216,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8786221558615 11.602548978075188, 77.87631553052992 11.600982142369569)"
64,,SA,S,26,63-64,0.002316334,305.7384503,6.08,231,,11.60098214,77.87631553,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87631553052992 11.600982142369569, 77.8740272511407 11.599415099589743)"
65,,SB,T,24,64-65,0.001659351,304.1052449,8.19,234," 9d20'20""LT",11.5994151,77.87402725,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8740272511407 11.599415099589743, 77.87196405255165 11.597457369935954)"
66,2W,SB,T,24,65-66,0.002800475,312.5539953,4.24,230," 3d7'16""LT",11.59745737,77.87196405,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87196405255165 11.597457369935954, 77.87037077924116 11.595756910948568)"
67,,SA,S,26,66-67,0.002610956,256.2888995,10.87,223,,11.59575691,77.87037078,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87037077924116 11.595756910948568, 77.86871256739052 11.593975785000726)"
68,,SA,S,26,67-68,0.001787198,267.6602324,4.57,213,,11.59397579,77.86871257,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86871256739052 11.593975785000726, 77.8671013809828 11.592311609157965)"
69,,SB,T,24,68-69,0.001375113,254.6998233,2.79,208," 11d29'15""LT",11.59231161,77.86710138,GOOD,GOOD,"LT-2,HT-2",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8671013809828 11.592311609157965, 77.86622576937519 11.590902087382464)"
70,,SB,T,24,69-70,0.000356073,182.9890707,9.31,220," 11d3'48""RT",11.59090209,77.86622577,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86622576937519 11.590902087382464, 77.86431750489257 11.588852407068243)"
71,,SB,T,24,70-71,78.71671284,308.0211032,4.81,219," 11d7'0""RT",11.58885241,77.8643175,GOOD,GOOD,"LT-3,800KV ",,PLAIN,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86431750489257 11.588852407068243, 77.86220381106318 11.587319634448454)"
72,,SB,T,24,71-72,0,286.4000698,5.34,214,"7d12'5""RT",11.58731963,77.86220381,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86220381106318 11.587319634448454, 77.86063752843943 11.586458916427105)"
73,,SC,T,26,72-73,0,195.7268505,3.24,214,"20d55'20""LT",11.58645892,77.86063753,GOOD,GOOD,LT-3,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86063752843943 11.586458916427105, 77.85974732427343 11.585410836464382)"
