Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33/1 LILO,,SD,T,26,,,2.35,236.365417,,11.63955828,77.94119337,GOOD,GOOD,LT-1,,PLAIN,Tapping to Jalagandapuram line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94119337109233 11.639558275493435, 77.93915523495954 11.638313453982724)"
34,,SD,T,26,33-34,0.002257375,10.42,235,,11.63831345,77.93915523,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93915523495954 11.638313453982724, 77.93681338903409 11.636937297442131)"
35,,SA,S,26,34-35,0.002651887,7.15,235,,11.6369373,77.93681339,GOOD,GOOD,LT-2,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93681338903409 11.636937297442131, 77.93461938569614 11.635677033975714)"
36,,SA,S,26,35-36,0.002631051,10.05,233,,11.63567703,77.93461939,GOOD,GOOD,,ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93461938569614 11.635677033975714, 77.9327211366935 11.634657618989644)"
37,,SA,S,26,36-37,0.002564323,"4,20",238,,11.63465762,77.93272114,GOOD,GOOD,765kv ,,PLAIN,POWER GRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9327211366935 11.634657618989644, 77.93093274769228 11.63362803738172)"
38,,SB,T,24,37-38,0.002487642,4.82,239," 7d49'14""LT",11.63362804,77.93093275,GOOD,GOOD,HT-1,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93093274769228 11.63362803738172, 77.92914077808962 11.632255235609056)"
39,,SC,T,26,38-39,0.002063517,8.07,239," 29d22'36"" RT",11.63225524,77.92914078,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92914077808962 11.632255235609056, 77.92651622757612 11.631875444650131)"
40,,SA,S,26,39-40,0.002325383,4.33,227,,11.63187544,77.92651623,GOOD,GOOD,,,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92651622757612 11.631875444650131, 77.9239101908855 11.631513505540608)"
41,,SC,T,26,40-41,0.002299375,4.86,239,"22d54'8"" LT",11.63151351,77.92391019,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9239101908855 11.631513505540608, 77.92137707342206 11.631114670603203)"
42,,SA,S,26,41-42,0.001761409,4.13,233,,11.63111467,77.92137707,GOOD,GOOD,,ROAD,PLAIN,s/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92137707342206 11.631114670603203, 77.9192380398764 11.629844672227177)"
