S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY GOPICHETTIPALAYAM 110KV S/S,,,GT,15,,,,249,,11.42175,77.43669444,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43669444444444 11.42175, 77.43705555555556 11.421805555555554)"
2,T.NO-68 DC COMMON TOWER,3W,T,DC,26,GT-68,39.62322551,2.1,249,"54°0'23"" ",11.42180556,77.43705556,GOOD,GOOD,,,PLAIN,"INSIDE SS,JOINT BOX AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43705555555556 11.421805555555554, 77.43727777777778 11.421583333333333)"
3,T.NO-13,,T,DC,26,68-13,34.6554469,1.2,249,"14°46'49"" ",11.42158333,77.43727778,GOOD,GOOD,"11KV-2,LT-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43727777777778 11.421583333333333, 77.43880555555556 11.41936111111111)"
4,T.NO-12,,T,DC,26,13-Dec,295.6771888,3.04,245,"24°8'15"" ",11.41936111,77.43880556,GOOD,GOOD,,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43880555555556 11.41936111111111, 77.43894444444445 11.418527777777777)"
5,T.NO-11,,T,DC,26,12-Nov,95.52486587,3.7,243,"6°29'58"" ",11.41852778,77.43894444,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43894444444445 11.418527777777777, 77.43905555555556 11.416305555555557)"
6,T.NO-10,,T,DC,26,11-Oct,244.5240274,4.09,246,"22°44'13"" ",11.41630556,77.43905556,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43905555555556 11.416305555555557, 77.43836111111112 11.414361111111111)"
7,T.NO-9,,T,DC,26,10-Sep,230.5406689,6.17,250,"16°35'57"" ",11.41436111,77.43836111,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43836111111112 11.414361111111111, 77.43825000000001 11.412194444444445)"
8,T.NO-8,,T,DC,26,09-Aug,240.208243,7.19,252,"29°16'29"" ",11.41219444,77.43825,GOOD,GOOD,,"CANAL-1,MUD ROAD-2",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43825000000001 11.412194444444445, 77.43755555555556 11.411111111111111)"
9,T.NO-7,,T,DC,26,08-Jul,140.9822684,3.54,252,,11.41111111,77.43755556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43755555555556 11.411111111111111, 77.43625 11.409055555555556)"
10,T.NO-6,,T,DC,26,07-Jun,267.2264957,4.09,254,"10°25'39"" ",11.40905556,77.43625,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43625 11.409055555555556, 77.43561111111111 11.40836111111111)"
11,T.NO-5,,T,DC,26,06-May,104.0624812,3.94,254,"52°42'18"" ",11.40836111,77.43561111,GOOD,GOOD,LT-1,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43561111111111 11.40836111111111, 77.436 11.406222222222222)"
12,T.NO-4,,S,DA,26,05-Apr,243.0164603,,258,,11.40622222,77.436,GOOD,GOOD,,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.436 11.406222222222222, 77.43636111111111 11.404194444444444)"
13,T.NO-3,,S,DA,26,04-Mar,226.126071,3.46,261,,11.40419444,77.43636111,GOOD,GOOD,,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43636111111111 11.404194444444444, 77.43666666666667 11.402444444444445)"
14,T.NO-2,,T,DC,26,03-Feb,195.8009193,2.53,263,"13°28'52"" ",11.40244444,77.43666667,GOOD,GOOD,,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43666666666667 11.402444444444445, 77.43652777777778 11.400527777777778)"
15,T.NO-1,,T,DC,26,02-Jan,212.4617613,0.1,269,"8°19'0"" ",11.40052778,77.43652778,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43652777777778 11.400527777777778, 77.43647222222222 11.400277777777777)"
16,GANTRY GOPICHETTIPALAYAM 230KV S/S,,,,17,1-GT,28.63564213,,270,,11.40027778,77.43647222,GOOD,GOOD,,,PLAIN,"INSIDE SS,JOINT BOX AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
