Tower No,Tower Type,Tower Type  (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation ,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-64 LILO,DB,T,24,,,6.5,334,,11.112388888888889,77.23925,GOOD,GOOD,,,PLAIN,LILO FROM ARASUR TO THINGALUR LINE FOR POOMALUR .. NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23925 11.112388888888889, 77.24119444444445 11.112916666666667)"
T.NO-65,DA,S ,26,64LILO -65,222,5.3,329,,11.112916666666667,77.24119444444445,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24119444444445 11.112916666666667, 77.24294444444445 11.1135)"
T.NO-66,DB,T,24,65-66,201,4.45,334,"2°24'41""",11.1135,77.24294444444445,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24294444444445 11.1135, 77.24419444444445 11.113833333333332)"
T.NO-1 LILO,DD,T,24,66 - 1 LILO,141,7.25,333,,11.113833333333332,77.24419444444445,GOOD,GOOD,,TAAR ROAD,PLAIN,LILO POOMALUR.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24419444444445 11.113833333333332, 77.24463888888889 11.112638888888888)"
T.NO-2,MC,T,35,1 LILO-2,143,1.6,332,"16°0'11""LT",11.112638888888888,77.24463888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24463888888889 11.112638888888888, 77.24575 11.111166666666666)"
T.NO-3,MC,T,35,2-3,204,1.55,325,"16°5'44""LT",11.111166666666666,77.24575,GOOD,GOOD,,"ELECTRICAL RAILWAY CROSSING, ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24575 11.111166666666666, 77.24736111111112 11.109944444444444)"
T.NO-4,DC,T,26,3-4,222,5.15,323,"18°52'10""RT",11.109944444444444,77.24736111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24736111111112 11.109944444444444, 77.24877777777778 11.107861111111111)"
T.NO-5,DD,T,34,4-5,277,7.45,322,"70°16'51""LT",11.107861111111111,77.24877777777778,GOOD,GOOD,"LT-1,",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24877777777778 11.107861111111111, 77.25122222222222 11.108472222222222)"
T.NO-6,DC,T,34,5-6,276,6.9,322,"18°12'59""RT",11.108472222222222,77.25122222222222,GOOD,GOOD,,"MUD ROAD,RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25122222222222 11.108472222222222, 77.25361111111111 11.108305555555555)"
T.NO-7,DC,T,32,6-7,262,_,316,"29°38'11""RT",11.108305555555555,77.25361111111111,GOOD,GOOD,"LT-2, 33KV-1",MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25361111111111 11.108305555555555, 77.25544444444445 11.107083333333334)"
T.NO-8,MD,T,34,7-8,242,_,319,"35°17'46""LT",11.107083333333334,77.25544444444445,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25544444444445 11.107083333333334, 77.25761111111112 11.107138888888889)"
T.NO-9,DB,T,30,8-9,237,_,320,"5°47'46""RT",11.107138888888889,77.25761111111112,GOOD,GOOD,11KV-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25761111111112 11.107138888888889, 77.26044444444445 11.106944444444444)"
T.NO-10,DD,T,34,9-10,311,_,318,"46°19'53""RT",11.106944444444444,77.26044444444445,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26044444444445 11.106944444444444, 77.26216666666667 11.104861111111111)"
T.NO-11 LILO THIRUNAGAR,DD,T,34,10-11 LILO,298,_,317,"37°43'42""RT",11.104861111111111,77.26216666666667,GOOD,GOOD,,RIVER,WATER LOGGED,LILO FOR THIRUNAGAR SS NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26216666666667 11.104861111111111, 77.26222222222222 11.103111111111112)"
T.NO-12,DB,T,24,11 LILO-12,194,2.7,317,"10°24'35""RT",11.103111111111112,77.26222222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26222222222222 11.103111111111112, 77.26194444444444 11.101333333333333)"
T.NO-13,DB,T,24,12-13,201,4.8,319,"14°41'36""LT",11.101333333333333,77.26194444444444,GOOD,GOOD,"LT-1,11KV-1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26194444444444 11.101333333333333, 77.26225 11.098555555555556)"
T.NO-14,DB,T,24,13-14,310,5.9,326,"17°45'55""RT",11.098555555555556,77.26225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26225 11.098555555555556, 77.26180555555555 11.096472222222223)"
T.NO-15,DD,T,28,14-15,238,9.5,324,"42°1'5""LT",11.096472222222223,77.26180555555555,GOOD,GOOD,"LT-1,11KV-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26180555555555 11.096472222222223, 77.26269444444445 11.094944444444446)"
T.NO-16,DD,T,28,15-16,197,6.62,326,"73°26'19""RT",11.094944444444446,77.26269444444445,GOOD,GOOD,"LT-1,11KV-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26269444444445 11.094944444444446, 77.26163888888888 11.093833333333334)"
T.NO-17,DC,T,26,16-17,167,4.85,328,"20°49'46""LT",11.093833333333334,77.26163888888888,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26163888888888 11.093833333333334, 77.26088888888889 11.092)"
