Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY THUDIYALUR ,2W,,,20,,,,471,,76.93544444,11.08486111,GOOD,MISSING,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93544444444444 11.084861111111111, 76.9353888888889 11.084472222222223)"
T.NO 1,,DB,T,24,GANTRY-1,43.18564576,21,459,"4°41'15""",76.93538889,11.08447222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9353888888889 11.084472222222223, 76.93494444444445 11.081833333333334)"
T.NO 2,,DA,S,26,01-Feb,295.7583473,9.55,468,,76.93494444,11.08183333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93494444444445 11.081833333333334, 76.93441666666666 11.079166666666666)"
T.NO 3,,DA,S,26,02-Mar,299.1003176,8.71,462,,76.93441667,11.07916667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93441666666666 11.079166666666666, 76.93405555555556 11.076805555555556)"
T.NO 4,,DA,S,26,03-Apr,263.7517772,1.9,464,,76.93405556,11.07680556,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93405555555556 11.076805555555556, 76.93355555555556 11.07413888888889)"
T.NO 5,,DA,S,26,04-May,300.0833218,2.87,462,,76.93355556,11.07413889,GOOD,GOOD,,CANAL CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93355555555556 11.07413888888889, 76.93308333333334 11.071777777777777)"
T.NO 6,,DA,S,26,05-Jun,268.3281573,2,468,,76.93308333,11.07177778,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93308333333334 11.071777777777777, 76.93263888888889 11.069555555555555)"
T.NO 7,,DB,T,24,06-Jul,248.6764967,1.89,464,"0°35'18""",76.93263889,11.06955556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93263888888889 11.069555555555555, 76.9321388888889 11.066916666666666)"
T.NO 8,,DA,S,26,07-Aug,296.5939986,2.88,466,,76.93213889,11.06691667,GOOD,GOOD,,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9321388888889 11.066916666666666, 76.93158333333334 11.064194444444444)"
T.NO 9,,DA,S,26,08-Sep,308.5012156,6.5,463,,76.93158333,11.06419444,GOOD,GOOD,33kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93158333333334 11.064194444444444, 76.93116666666667 11.061833333333334)"
T.NO 10,,DA,S,26,09-Oct,264.8509015,1.5,446,,76.93116667,11.06183333,GOOD,GOOD,"LT,33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93116666666667 11.061833333333334, 76.93066666666667 11.0595)"
T.NO 11,,DA,S,26,10-Nov,265.1490147,1.8,471,,76.93066667,11.0595,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93066666666667 11.0595, 76.93013888888889 11.056805555555556)"
T.NO 12,,DB,T,24,11-Dec,301.4382192,1.36,465,"12°45'14""",76.93013889,11.05680556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93013888888889 11.056805555555556, 76.92975 11.055972222222223)"
12/1 SOMAYANPALAYAM LILO,3W,MB,T,45,12-12-2001,103.4698024,1,454,"6°37'39""",76.92975,11.05597222,GOOD,GOOD,LT,,PLAIN,SOMAYAMPALAYAM LILO.NEED 3WAY JUNCTION BOX.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92975 11.055972222222223, 76.92888888888889 11.0545)"
T.NO 13,,DB,T,24,12-01-2013,188.1621641,1.05,467,"2°43'30""",76.92888889,11.0545,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92888888888889 11.0545, 76.9276388888889 11.052083333333334)"
T.NO 14,,DA,S,26,13-14,299.1889035,1.2,463,,76.92763889,11.05208333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9276388888889 11.052083333333334, 76.92630555555556 11.04963888888889)"
T.NO 15,,DA,S,26,14-15,306.8354608,4.2,469,,76.92630556,11.04963889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92630555555556 11.04963888888889, 76.92511111111112 11.047416666666667)"
T.NO 16,,DA,S,26,15-16,278.6574959,3.5,466,,76.92511111,11.04741667,GOOD,GOOD,3nos LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92511111111112 11.047416666666667, 76.92361111111111 11.044555555555556)"
T.NO 17,,DB,T,24,16-17,355.9957865,1.5,459,"0°3'43""",76.92361111,11.04455556,GOOD,GOOD,2nos LT,4nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92361111111111 11.044555555555556, 76.92266666666667 11.042777777777777)"
T.NO 18,,DA,S,26,17-18,222.3015969,3.1,461,,76.92266667,11.04277778,GOOD,GOOD,"4nos LT,33kv",3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92266666666667 11.042777777777777, 76.92147222222222 11.040555555555555)"
T.NO 19,,DA,S,26,18-19,277.3084925,3,461,,76.92147222,11.04055556,GOOD,GOOD,2nos LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92147222222222 11.040555555555555, 76.92019444444445 11.038166666666667)"
T.NO 20,,DA,S,26,19-20,299.6664813,4,458,,76.92019444,11.03816667,GOOD,GOOD,3nos LT,5nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92019444444445 11.038166666666667, 76.91908333333333 11.036027777777777)"
T.NO 21,,DA,S,26,20-21,266.9925093,1.55,450,,76.91908333,11.03602778,GOOD,GOOD,"LT,33kv",3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91908333333333 11.036027777777777, 76.91780555555556 11.033694444444444)"
T.NO 22,,DA,S,26,21-22,293.8860323,2.3,454,,76.91780556,11.03369444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91780555555556 11.033694444444444, 76.91658333333334 11.031305555555557)"
T.NO 23,2W,DD,T,28,22-23,294.2668857,1,450,"37°2'21""",76.91658333,11.03130556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91658333333334 11.031305555555557, 76.91702777777778 11.02888888888889)"
T.NO 24,,DA,S,26,23-24,271.6413076,1.5,451,,76.91702778,11.02888889,GOOD,GOOD,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91702777777778 11.02888888888889, 76.91744444444446 11.026194444444446)"
T.NO 25,,DA,S,26,24-25,301.6836091,4.82,449,,76.91744444,11.02619444,GOOD,GOOD,"2noS LT,33kv",3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91744444444446 11.026194444444446, 76.91783333333333 11.024055555555556)"
T.NO 26,,DA,S,26,25-26,241.8532613,3.5,443,,76.91783333,11.02405556,GOOD,GOOD,"4nos LT,2nos 33kv",3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91783333333333 11.024055555555556, 76.91822222222223 11.021611111111111)"
T.NO 27,,DB,T,24,26-27,273.5616932,1.9,439,"0°26'59""",76.91822222,11.02161111,GOOD,GOOD,LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91822222222223 11.021611111111111, 76.91866666666667 11.018805555555556)"
T.NO 28,,DA,S,26,27-28,313.3448579,2.5,432,,76.91866667,11.01880556,GOOD,GOOD,"LT,33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91866666666667 11.018805555555556, 76.91897222222222 11.016916666666667)"
