S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 15 LILO UDUMALAIPET 110KV SS,,T,DC,26,,,,362,,77.19577778,10.64905556,GOOD,GOOD,,,PLAIN,UDUMALAIPET 110KV LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19577777777778 10.649055555555556, 77.19544444444445 10.648277777777777)"
2,T.NO 1LILO ANTHIYUR,3W,T,DB,24,15-Jan,93.62157871,7.1,364,"1°4'8""",77.19544444,10.64827778,GOOD,GOOD,,,PLAIN,ANTHIYUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19544444444445 10.648277777777777, 77.19452777777778 10.646277777777778)"
3,T.NO 2,,S,DA,26,01-Feb,243.5836612,6.53,367,,77.19452778,10.64627778,GOOD,GOOD,LT-3,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19452777777778 10.646277777777778, 77.19372222222222 10.644138888888888)"
4,T.NO 3,,T,DB,24,02-Mar,251.2886786,5.8,364,"0°19'59""",77.19372222,10.64413889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19372222222222 10.644138888888888, 77.1935 10.643666666666666)"
5,T.NO 4,,T,DB,24,03-Apr,57.38466694,6.08,365,"3°14'8""",77.1935,10.64366667,GOOD,GOOD,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1935 10.643666666666666, 77.19255555555556 10.641027777777778)"
6,T.NO 5,,T,DB,24,04-May,311.5204648,6.73,367,"5°16'39""",77.19255556,10.64102778,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19255555555556 10.641027777777778, 77.19125000000001 10.63825)"
7,T.NO 6,,T,DB,24,05-Jun,336.505572,3.4,369,"14°3'34""",77.19125,10.63825,GOOD,GOOD,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19125000000001 10.63825, 77.18936111111111 10.635944444444444)"
8,T.NO 7,,S,DA,26,06-Jul,327.5026717,4.8,371,,77.18936111,10.63594444,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18936111111111 10.635944444444444, 77.18794444444445 10.634222222222222)"
9,T.NO 8,,T,DC,26,07-Aug,247.3863375,5.75,371,"23°51'41""",77.18794444,10.63422222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18794444444445 10.634222222222222, 77.18722222222223 10.63163888888889)"
10,T.NO 9,,T,DB,24,08-Sep,297.8590271,6.34,380,"0°4'10""",77.18722222,10.63163889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18722222222223 10.63163888888889, 77.18636111111111 10.628444444444446)"
11,T.NO 10,,S,DA,26,09-Oct,363.5725512,7.05,377,,77.18636111,10.62844444,GOOD,GOOD,11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18636111111111 10.628444444444446, 77.18561111111111 10.625722222222223)"
12,T.NO 11,,T,DB,24,10-Nov,313.6399209,5.39,386,"0°13'16""",77.18561111,10.62572222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18561111111111 10.625722222222223, 77.18483333333333 10.622777777777777)"
13,T.NO 12,,S,DA,26,11-Dec,335.1850235,6.2,387,,77.18483333,10.62277778,GOOD,GOOD,LT-2,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18483333333333 10.622777777777777, 77.18402777777779 10.620055555555556)"
14,T.NO 13,,S,DA,26,Dec-13,314.9682524,6.93,385,,77.18402778,10.62005556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18402777777779 10.620055555555556, 77.18333333333334 10.617194444444445)"
