Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Erode Gantry,2W,T,20,,,,175,,11.337215,77.716957,Good,Good,,,,Inside the 110Kv Eroad SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716957 11.337215, 77.717028 11.336367)"
1,,T,24,Gantry to 1,94.18782433,3.2,181,"5°37'53"" LT",11.336367,77.717028,Good,Good,,,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717028 11.336367, 77.717432 11.334185)"
2,,T,24,1 to 2,245.5316083,6.2,180,"3°42'6"" RT",11.334185,77.717432,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717432 11.334185, 77.71771 11.331833)"
3,,T,24,2 to 3,262.1159608,11.3,177,"2°27'46"" RT",11.331833,77.71771,Good,Good,LT Line ,Road crossing ,Residential area ,Surrounded by Tar road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71771 11.331833, 77.717878 11.32957)"
4,,T,24,3 to 4 ,251.1704777,5.6,175,"4°44'4"" RT",11.32957,77.717878,Good,Good,LT Line ,Road crossing ,Residential area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717878 11.32957, 77.717864 11.328116)"
4A,3W,T,24,4 to 4A,160.955429,11.3,172,"9°26'40"" LT",11.328116,77.717864,Good,Good,LT Line ,Road crossing ,drainage watter Cannal,Tapping to 110 kv Kasipalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717864 11.328116, 77.718043 11.326988)"
5,,T,24,4A to 5 ,126.3839777,11.5,170,"7°26'57"" RT",11.326988,77.718043,Good,Good,LT Line ,Road crossing ,Residential area ,Surrounded by Tar road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718043 11.326988, 77.718083 11.32543)"
6,,T,24,5 to 6 ,172.5156214,13.5,177,"5°29'24"" LT",11.32543,77.718083,Good,Good,LT Line ,Road crossing ,Railway station,Tower is located insie the railway engin workshope ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718083 11.32543, 77.718318 11.323525)"
7,,T,24,6  to 7,212.42779,6.3,188,"2°1'31"" RT",11.323525,77.718318,Good,Good,Railway line crossing,,,Railway land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718318 11.323525, 77.718527 11.321127)"
8,,T,24,7 to 8 ,266.4228279,6.3,177,"0°24'00"" RT",11.321127,77.718527,Good,Good,LT-33 Kv line ,Road crossing ,,Railway land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718527 11.321127, 77.718727 11.318628)"
