Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
20,S,24,19 to 20 ,353,350.3787121827962,,4.3,236,,11.41652,77.857323,Good,Good,400 kv Line crossing ,Car Track,Plain Agri land ,tower No 66 to 67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857323 11.41652, 77.85966 11.41523)",,,,,,,,,,,,,,
21,T,28,20 to 21 ,293,292.4814665383634,,3.5,249,"30⁰1'44"" RT",11.41523,77.85966,Good,Good,110 kv  Line crossing ,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85966 11.41523, 77.860917 11.413145)",,,,,,,,,,,,,,
22,S,24,21 to 22 ,267,268.566782117,,3.5,246,,11.413145,77.860917,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.860917 11.413145, 77.862042 11.411207)",,,,,,,,,,,,,,
23,S,24,22 to 23 ,244,247.24419659140634,,5.6,245,,11.411207,77.862042,Good,Good,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.862042 11.411207, 77.863075 11.409477)",,,,,,,,,,,,,,
24,T,24,23 to 24 ,222,222.28559736519603,,4.5,243,"14⁰56'50"" LT",11.409477,77.863075,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.863075 11.409477, 77.865335 11.407282)",,,,,,,,,,,,,,
25,T,28,24 to 25 ,347,346.383792392579,,4.3,233,"36⁰21'39"" RT",11.407282,77.865335,Good,Good,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.865335 11.407282, 77.865532 11.406067)",,,,,,,,,,,,,,
26,DP,24,25 to 26 ,140,136.21954255832222,,3.2,232,"1⁰34'22"" RT",11.406067,77.865532,NO,NO,400 kv Line crossing ,Car Track,Plain Agri land ,NEED ADSS CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.865532 11.406067, 77.865578 11.405723)",,,,,,,,,,,,,,
27,DP,24,26 to 27 ,41,38.413320166351525,,3.9,231,"1⁰21'27"" LT",11.405723,77.865578,NO,NO,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.865578 11.405723, 77.8658 11.40432)",,,,,,,,,,,,,,
28,T,24,27 to 28 ,160,157.20370195325185,,4,223,"8⁰21'55"" RT",11.40432,77.8658,Good,NO,LT Line crossing ,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8658 11.40432, 77.86582 11.402094)",,,,,,,,,,,,,,
29,S,24,28 to 29,250,246.44423386709576,,4.2,223,,11.402094,77.86582,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86582 11.402094, 77.865847 11.399778)",,,,,,,,,,,,,,
30,T,24,29 to 30,253,256.41514333407224,,4.6,232,"12⁰32'20"" LT",11.399778,77.865847,Good,Good,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.865847 11.399778, 77.866388 11.397502)",,,,,,,,,,,,,,
31,S,24,30 to 31,263,258.806211034256,,5.2,228,,11.397502,77.866388,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866388 11.397502, 77.866897 11.39533)",,,,,,,,,,,,,,
32,T,28,31 to 32 ,250,246.80011645140794,,4.9,234,"51⁰19'4"" LT",11.39533,77.866897,Good,Good,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866897 11.39533, 77.86896 11.394352)",,,,,,,,,,,,,,
33,S,24,32 to 33,250,249.99983049509297,,3.2,237,,11.394352,77.86896,Good,Good,LT Line crossing ,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86896 11.394352, 77.871138 11.393323)",,,,,,,,,,,,,,
34,T,28,33 to 34,266,263.7686350798406,,4.1,237,"31⁰36'59"" RT",11.393323,77.871138,Good,Good,,Road crossing,Paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.871138 11.393323, 77.87274 11.39087)",,,,,,,,,,,,,,
35,T,24,34 to 35 ,325,323.0608771957989,,4.2,252,"11⁰28'1"" RT",11.39087,77.87274,Good,Good,,Road crossing,Paddy land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87274 11.39087, 77.87367 11.38852)",,,,,,,,,,,,,,
36,T,26,35 to 36,282,279.2929571122126,,5,253,"25⁰26'25"" LT",11.38852,77.87367,Good,Good,,,Plain Land  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87367 11.38852, 77.87505 11.38724)",,,,,,,,,,,,,,
37,T,24,36 to 37,205,206.88896433294627,,12.69,252,"0⁰2'50"" RT",11.38724,77.87505,Good,Good,,,Plain Land  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87505 11.38724, 77.87646 11.38593)",,,,,,,,,,,,,,
38,T,28,37 to 38 ,214,211.55221818413787,,,,"35⁰15'58"" LT",11.38593,77.87646,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87646 11.38593, 77.87682 11.38588)",,,,,,,,,,,,,,
Trichen gode Gantry,T,20,38 to Gantry ,39,39.711354859212435,,,,,11.38588,77.87682,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,=SUM(E8:E46),=SUM(F8:F46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
