Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-93,,S,DA,26,94-93,290.2585055,12.74,365,,77.14583333,10.56602778,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14583333333334 10.566027777777778, 77.14355555555557 10.564805555555557)"
T.NO-92,,S,DA,26,93-92,285.1701247,12.21,367,,77.14355556,10.56480556,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14355555555557 10.564805555555557, 77.14119444444445 10.563583333333334)"
T.NO-91,,S,DA,26,92-91,292.071909,14.5,363,,77.14119444,10.56358333,GOOD,GOOD,NO,LT,"CANAL,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14119444444445 10.563583333333334, 77.13886111111111 10.562472222222222)"
T.NO-90,,S,DA,26,91-90,283.5348303,12.9,363,,77.13886111,10.56247222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13886111111111 10.562472222222222, 77.13652777777779 10.561222222222224)"
T.NO-89,2W,T,DB,27,90-89,288.189174,13.08,357,"6°13'49.17""",77.13652778,10.56122222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13652777777779 10.561222222222224, 77.13388888888889 10.560166666666667)"
T.NO-88,,S,DA,26,89-88,312.5411973,12.7,355,,77.13388889,10.56016667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13388888888889 10.560166666666667, 77.13208333333333 10.559444444444445)"
T.NO-87,,T(Circuit Changing Tower),DB,24,88-87,212.8497122,11.4,356,"0°21'7.06""",77.13208333,10.55944444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13208333333333 10.559444444444445, 77.13030555555555 10.558722222222222)"
T.NO-86,,S,DA,29,87-86,213.3846292,16.4,357,,77.13030556,10.55872222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13030555555555 10.558722222222222, 77.12777777777777 10.557694444444445)"
T.NO-85,,S,DA,29,86-85,295.4623495,16.12,349,,77.12777778,10.55769444,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12777777777777 10.557694444444445, 77.12533333333333 10.556722222222223)"
T.NO-84,,S,DA,26,85-84,290.6217473,15.47,351,,77.12533333,10.55672222,GOOD,GOOD,NO,22KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12533333333333 10.556722222222223, 77.12269444444443 10.555666666666667)"
T.NO-83,,S,DA,29,84-83,310.5430727,14.17,347,,77.12269444,10.55566667,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12269444444443 10.555666666666667, 77.1201111111111 10.55463888888889)"
T.NO-82,,S,DA,29,83-82,304.7261065,12.74,351,,77.12011111,10.55463889,GOOD,GOOD,NO,LT,WELL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1201111111111 10.55463888888889, 77.11744444444444 10.553555555555556)"
T.NO-81,,S,DA,29,82-81,316.461688,16.85,350,,77.11744444,10.55355556,GOOD,GOOD,NO,"22KV,LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11744444444444 10.553555555555556, 77.11486111111111 10.552527777777778)"
T.NO-80,2W,T,DC,29,81-80,304.9262206,12.4,348,"27°25'6.93""",77.11486111,10.55252778,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11486111111111 10.552527777777778, 77.11208333333333 10.552805555555556)"
T.NO-79,,S,DA,26,80-79,306.1927498,14.62,344,,77.11208333,10.55280556,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11208333333333 10.552805555555556, 77.10947222222222 10.553055555555556)"
T.NO-78,,S,DA,26,79-78,287.2716484,16.74,347,,77.10947222,10.55305556,GOOD,GOOD,NO,"22KV,LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10947222222222 10.553055555555556, 77.10658333333333 10.553361111111112)"
T.NO-77,,S,DA,26,78-77,316.4253466,13.12,339,,77.10658333,10.55336111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10658333333333 10.553361111111112, 77.10366666666665 10.553666666666667)"
T.NO-76,,S,DA,26,77-76,322.5910724,13.74,338,,77.10366667,10.55366667,GOOD,GOOD,NO,,"TAAR ROAD,CANAL,MUD ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10366666666665 10.553666666666667, 77.10077777777778 10.553944444444445)"
T.NO-75,,S,DA,26,76-75,315.526544,16.27,341,,77.10077778,10.55394444,GOOD,GOOD,NO,LT,"MUD ROAD,TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10077777777778 10.553944444444445, 77.09833333333333 10.554194444444445)"
T.NO-74,,S,DA,26,75-74,271.1549373,9.9,342,,77.09833333,10.55419444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09833333333333 10.554194444444445, 77.09583333333333 10.554472222222223)"
T.NO-73,,T,DB,24,74-73,273.4373786,0.93,341,"1°45'46.85""",77.09583333,10.55447222,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09583333333333 10.554472222222223, 77.09508333333333 10.554583333333333)"
T.NO-72,,T,DB,24,73-72,82.73451517,0.71,336,"5°31'9.52""",77.09508333,10.55458333,GOOD,GOOD,NO,"LT,22KV",MUDROAD,CULTIVATION,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09508333333333 10.554583333333333, 77.0948611111111 10.554583333333333)"
 110KV GANTRY DEVANURPUDUR ,3W,GANTRY,GANTRY,20,72-GANTRY,27.01851217,,332,,77.09486111,10.55458333,GOOD,MISSING,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0948611111111 10.554583333333333, 77.09405555555556 10.554805555555557)"
