S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,21,,Tension,DB+0,24,24-25,245,2.2,428," 2°48’54.07""RT",11.21151667,76.94749722,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94749722222222 11.211516666666666, 76.94955555555556 11.211441666666666)"
23,22,,Tension,DB+0,24,25-26,229,3.7,422, 2°16’34.2”RT,11.21144167,76.94955556,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94955555555556 11.211441666666666, 76.95159722222222 11.211283333333332)"
24,23,,Tension,DB+0,24,26-27,230,12,411," 12°7’51.94""LT",11.21128333,76.95159722,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95159722222222 11.211283333333332, 76.9531 11.211463888888888)"
25,24,,Tension,DB+0,24,27-28,172,1,406," 0°43’29.69""LT",11.21146389,76.9531,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9531 11.211463888888888, 76.95461944444445 11.21166111111111)"
26,25,,Tension,DC+0,26,28-Madampalaym Gantry,176,2.5,396," 28°11’58.01""LT",11.21166111,76.95461944,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95461944444445 11.21166111111111, 76.95551388888889 11.212305555555554)"
27,26,,Tension,DD+0,28,Madampalaym Gantry-,126,6.7,393, 38°24’9.91”RT,11.21230556,76.95551389,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95551388888889 11.212305555555554, 76.95720555555556 11.212222222222222)"
28,27,,Tension,DD+0,28,-,191,7.8,394, 93°17’53.56”RT,11.21222222,76.95720556,OK,OK,"LT, 33kv","Mud Road, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95720555555556 11.212222222222222, 76.95715555555556 11.211527777777777)"
29,28,,Tension,DD+0,28,-,89,0.8,394," 4°20’34.94""LT",11.21152778,76.95715556,OK,OK,"LT, 33kv",Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95715555555556 11.211527777777777, 76.95714444444445 11.211147222222221)"
30,Madampalaym Gantry,2W,,Gantry,15,-,55,-,393,,11.21114722,76.95714444,OK,NO,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
