Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
146,S,26,147-146,306,305.533656097043,7.09,240,,11.60042,78.54659,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54659 11.60042, 78.54383 11.60125)"
145,S,26,146-145,314,314.8507690038627,4.76,240,,11.60125,78.54383,GOOD,GOOD,33KV LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54383 11.60125, 78.54108 11.60195)"
144,S,26,145-144,310,309.90105450950983,7.31,240,,11.60195,78.54108,GOOD,GOOD,LT LINE CROSSING 2, ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54108 11.60195, 78.53825 11.60274)"
143,S,26,144-143,319,320.9296049044798,3.19,240,,11.60274,78.53825,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53825 11.60274, 78.53539 11.60345)"
142,S,26,143-142,323,321.80457489183306,3.21,242,,11.60345,78.53539,GOOD,GOOD,LT LINE CROSSING 2,"SAND ROAD CROSSING, ",,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53539 11.60345, 78.53258 11.60418)"
141,S,26,142-141,316,317.07352365983536,0.93,247,,11.60418,78.53258,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53258 11.60418, 78.52994 11.60487)"
140,S,26,141-140,297,298.0087757964813,2.67,250,,11.60487,78.52994,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52994 11.60487, 78.52647 11.60577)"
139,S,26,140-139,390,391.5048742125597,1.03,251,,11.60577,78.52647,GOOD,GOOD,33KV LINE CROSSING,CANAL CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52647 11.60577, 78.52364 11.60652)"
138,T,24,139-138,321,319.75128529519134,4.71,252,"0⁰3'40"" RT",11.60652,78.52364,GOOD,GOOD,LT LINE CROSSING 3,SAND ROAD CROSSING,CANNAL CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52364 11.60652, 78.52116 11.60718)"
137,S,26,138-137,278,280.28530111071086,5.52,250,,11.60718,78.52116,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52116 11.60718, 78.51837 11.6079)"
136,S,26,137-136,314,314.6810587691902,7.67,252,,11.6079,78.51837,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51837 11.6079, 78.51535 11.6087)"
135,S,26,136-135,341,341.20813215080074,7.51,256,,11.6087,78.51535,GOOD,GOOD,LT LINE CROSSING 2, ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51535 11.6087, 78.51234 11.60948)"
134,S,26,135-134,340,339.5849155524868,1.09,260,,11.60948,78.51234,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51234 11.60948, 78.50967 11.61016)"
133,S,26,134-133,301,300.8944401822513,0.96,268,,11.61016,78.50967,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50967 11.61016, 78.50684 11.6109)"
132,S,26,133-132,318,319.465024532841,0.07,271,,11.6109,78.50684,GOOD,GOOD,LT LINE CROSSING,"ROAD CROSSING,CANAL CROSSING",,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50684 11.6109, 78.50391 11.61166)"
131,S,26,132-131,331,330.57961447565356,7.36,272,,11.61166,78.50391,GOOD,GOOD,, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50391 11.61166, 78.5013 11.61234)"
130,S,26,131-130,293,294.56000310716854,5.61,275,,11.61234,78.5013,GOOD,GOOD,33KV LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5013 11.61234, 78.49844 11.61306)"
129,S,26,130-129,332,322.0749468223083,3.36,275,,11.61306,78.49844,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49844 11.61306, 78.49564 11.61381)"
128,S,26,129-128,318,316.59009582613805,4.95,272,,11.61381,78.49564,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49564 11.61381, 78.49398 11.61426)"
LILO POINT ,T,24,128-T POINT ,186,187.84896369738212,1.86,270,"0⁰58'36"" LT",11.61426,78.49398,,,LT LINE CROSSING, ROAD CROSSING,CANNAL CROSSING,TO MALLIYAKARAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49398 11.61426, 78.49236 11.61467)"
127,S,26,LILO POINT128-127,182,182.4933947856617,8.06,272,,11.61467,78.49236,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49236 11.61467, 78.48964 11.61544)"
126,T,24,127-126,309,308.77830256453257,3.36,276,"5⁰42'51"" RT",11.61544,78.48964,GOOD,GOOD,33KV LINE CROSSING, ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48964 11.61544, 78.48735 11.61634)"
125,S,26,126-125,268,268.9895661344437,7.84,277,,11.61634,78.48735,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48735 11.61634, 78.48502 11.61727)"
124,S,26,125-124,272,274.2769510990141,1.78,276,,11.61727,78.48502,GOOD,GOOD,,SAND ROAD CROSSING,POND CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48502 11.61727, 78.48205 11.61851)"
123,S,26,124-123,352,351.92457428289805,2.56,276,,11.61851,78.48205,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48205 11.61851, 78.47946 11.61957)"
122,S,26,123-122,306,305.9831251032195,1.22,277,,11.61957,78.47946,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING",,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47946 11.61957, 78.47675 11.62068)"
121,S,26,122-121,320,320.1972209529054,2.8,280,,11.62068,78.47675,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47675 11.62068, 78.47396 11.62184)"
120,S,26,121-120,329,330.38555251365227,6.76,284,,11.62184,78.47396,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47396 11.62184, 78.47157 11.62282)"
119,S,26,120-119,283,282.43264784247765,0.09,286,,11.62282,78.47157,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47157 11.62282, 78.46911 11.62384)"
118,S,26,119-118,290,291.1868505574277,1.76,289,,11.62384,78.46911,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46911 11.62384, 78.4664 11.62494)"
117,S,26,118-117,317,319.77250950332905,3.76,288,,11.62494,78.4664,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4664 11.62494, 78.46342 11.62617)"
116,S,26,117-116,353,352.4973399291695,1.97,288,,11.62617,78.46342,GOOD,GOOD,, ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46342 11.62617, 78.46101 11.62717)"
115,S,26,116-115,285,285.2986701499805,4.1,286,,11.62717,78.46101,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46101 11.62717, 78.45926 11.62779)"
LILO POINT ,T,24,115-T POINT,202,202.89854665533318,1.27,287,"7⁰49'22"" RT",11.62779,78.45926,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING",,CANNAL CROSSING,TO PG PALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45926 11.62779, 78.45827 11.6283)"
114,S,26,T POINT-114,121,121.87807759354456,8.27,289,,11.6283,78.45827,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45827 11.6283, 78.45576 11.62936)"
113,S,26,114-113,296,297.9366043725983,6.26,293,,11.62936,78.45576,GOOD,GOOD,, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45576 11.62936, 78.45345 11.63028)"
112 LILO,T,24,113-112(LILO POINT),374,271.8344900649168,2.76,295,"14⁰1'13"" LT",11.63028,78.45345,GOOD,GOOD,LT LINE CROSSING,,,THUMBAL SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45345 11.63028, 78.45041 11.6307)"
111,S,26,112(LILO POINT)-111,334,334.933787877584,1.06,299,,11.6307,78.45041,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45041 11.6307, 78.44713 11.63116)"
110,S,26,111-110,361,361.4821121170631,3.72,306,,11.63116,78.44713,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44713 11.63116, 78.44434 11.63154)"
109,S,26,110-109,307,307.307093765919,8.06,304,,11.63154,78.44434,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44434 11.63154, 78.44112 11.63196)"
108,S,26,109-108,353,354.3947395833194,1.08,304,,11.63196,78.44112,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING", ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44112 11.63196, 78.43847 11.63233)"
107,S,26,108-107,292,292.0262152769702,4.92,309,,11.63233,78.43847,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43847 11.63233, 78.43583 11.63269)"
106,S,26,107-106,290,290.7924224674661,2.27,311,,11.63269,78.43583,GOOD,GOOD,LT LINE CROSSING,,CANNAL CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43583 11.63269, 78.432689 11.63315)"
105,S,26,106-105,341,346.4750540425328,1.69,308,,11.63315,78.432689,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.432689 11.63315, 78.42938 11.63363)"
104,S,26,105-104,370,364.93243203905973,7.61,309,,11.63363,78.42938,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42938 11.63363, 78.42651 11.63406)"
103,S,26,104-103,316,316.741625765588,3.27,310,,11.63406,78.42651,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42651 11.63406, 78.42352 11.63448)"
102,S,26,103-102,329,329.53431517811225,3.16,311,,11.63448,78.42352,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING ,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42352 11.63448, 78.42052 11.63493)"
101,S,26,102-101,330,331.097996035783,2.6,312,,11.63493,78.42052,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42052 11.63493, 78.41902 11.63508)"
TAPPING POINT,T,24,101-T.POINT,164,164.50517295550785,1.91,311,"4⁰37'49"" RT",11.63508,78.41902,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41902 11.63508, 78.4172 11.63541)"
100,S,26,T.POINT-100,202,201.9117610776155,3.63,312,,11.63541,78.4172,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4172 11.63541, 78.41399 11.63587)"
99,S,26,100-99,353,353.92526319150494,16.02,322,,11.63587,78.41399,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41399 11.63587, 78.41051 11.63639)"
98,S,26,99-98,384,384.04137597149196,16.98,323,,11.63639,78.41051,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING", ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41051 11.63639, 78.40851 11.63665)"
97,T,28,98-97,219,220.11020031913299,14.12,324,"43⁰25'3"" RT",11.63665,78.40851,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40851 11.63665, 78.40781 11.6375)"
96,T,28,97-96,121,121.18116543621836,6.8,321,"54⁰7'0"" RT",11.6375,78.40781,GOOD,GOOD,,,SUB STATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40781 11.6375, 78.40784 11.63761)"
SINGIPURAM 110KV SS GANTRY,T,20,96-S GANTRY,15,12.607637789766606,,323,,11.63761,78.40784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,=SUM(E8:E142),=SUM(F7:F142),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
