Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
203,T,28,204-203,306,306.15614536812706,5.33,189,"36⁰17'45"" RT",11.55488,78.70422,GOOD,GOOD,LT LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70422 11.55488, 78.70121 11.55583)"
202,S,26,203-202,344,344.86220536119856,8.72,190,,11.55583,78.70121,GOOD,GOOD,LT LINE CROSSING, ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70121 11.55583, 78.69791 11.55674)"
201,S,26,202-201,373,373.90791065310236,14.36,192,,11.55674,78.69791,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69791 11.55674, 78.69498 11.55768)"
200,S,26,201-200,336,336.21411247400044,9.1,193,,11.55768,78.69498,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69498 11.55768, 78.69247 11.55845)"
199,S,26,200-199,288,286.8362555211823,5.46,193,,11.55845,78.69247,GOOD,GOOD,LT LINE CROSSING 2,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69247 11.55845, 78.68986 11.55921)"
198,S,26,199-198,395,296.9576684272173,2.38,195,,11.55921,78.68986,GOOD,GOOD,LT LINE CROSSING 2,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68986 11.55921, 78.6871 11.56009)"
197,S,26,198-197,316,316.51960232662805,1.76,195,,11.56009,78.6871,GOOD,GOOD,LT LINE CROSSING 2,"SAND ROAD CROSSING,CANAL CROSSING",,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6871 11.56009, 78.68422 11.56096)"
196,S,26,197-196,328,328.67718036707447,2.63,197,,11.56096,78.68422,GOOD,GOOD,"LT LINE CROSSING, 33 KV LINE CROSSING",,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68422 11.56096, 78.68144 11.56176)"
195,S,26,196-195,315,316.002729552249,0.93,194,,11.56176,78.68144,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68144 11.56176, 78.678875 11.562578)"
194,S,26,195-194,392,294.16201612984923,3.16,198,,11.562578,78.678875,GOOD,GOOD,33KV LINE CROSSING 2, ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.678875 11.562578, 78.67611 11.5634)"
