S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,T.NO 17,2W,T,DB,24,16-17,214.2171795,7.98,364,"7°4'52""",77.07055556,10.84716667,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07055555555556 10.847166666666666, 77.07111111111111 10.848694444444446)"
22,T.NO 18,,S,DA,26,17-18,179.0027933,4.35,372,,77.07111111,10.84869444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07111111111111 10.848694444444446, 77.0718611111111 10.850916666666667)"
23,T.NO 19,,S,DA,26,18-19,261.8434647,5.1,365,,77.07186111,10.85091667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0718611111111 10.850916666666667, 77.0726111111111 10.853222222222222)"
24,T.NO 20,,T,DB,24,19-20,267.2545603,5.83,373,"12°58'22""",77.07261111,10.85322222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0726111111111 10.853222222222222, 77.07283333333334 10.855777777777778)"
25,T.NO 21,,T,DD,28,20-21,283.8538356,6.53,370,"34°21'47""",77.07283333,10.85577778,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07283333333334 10.855777777777778, 77.07455555555555 10.857888888888889)"
26,T.NO 22,,S,DA,26,21-22,301.5725452,4.9,369,,77.07455556,10.85788889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07455555555555 10.857888888888889, 77.07580555555555 10.859472222222221)"
27,T.NO 23,,T,DB,24,22-23,219.6178499,5.52,362,"13°33'5""",77.07580556,10.85947222,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07580555555555 10.859472222222221, 77.0775 10.860805555555554)"
28,T.NO 24,,S,DA,26,23-24,237.5415753,6.28,355,,77.0775,10.86080556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0775 10.860805555555554, 77.07936111111111 10.862166666666667)"
29,T.NO 25,,S,DA,26,24-25,253.4028413,7.39,361,,77.07936111,10.86216667,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07936111111111 10.862166666666667, 77.08055555555555 10.863222222222221)"
30,T.NO 26,,T,DB,24,25-26,174.9771414,8.2,369,"13°11'18""",77.08055556,10.86322222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08055555555555 10.863222222222221, 77.08233333333332 10.864138888888888)"
