Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
4A/1 LILO,,T,26,,,11.3,172,,11.328116,77.717864,Good,Good,,,drainage watter Cannal,Tapping 110 kv Kasipalayam Line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717864 11.328116, 77.716396 11.327782)"
2,,T,24,4A/1 to 2 ,164.5711926,8.8,176,"5°16'30"" LT",11.327782,77.716396,Good,Good,LT Line crossig ,Canal crossing ,,tower is located in side drainage cannal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716396 11.327782, 77.714722 11.327237)"
3,,T,28,2 to 3,192.5620966,7.4,170,"35°37'27"" LT",11.327237,77.714722,Good,Good,,Canal crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714722 11.327237, 77.713502 11.325587)"
4,,T,28,3 to 4,226.0982746,9.2,170,"46°19'00"" LT",11.325587,77.713502,Good,Good,,Canal crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713502 11.325587, 77.713778 11.324073)"
5,,T,28,4 to 5,170.2797118,4.6,172,"64°55'54"" RT",11.324073,77.713778,Good,Good,,Canal crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713778 11.324073, 77.712295 11.323038)"
6,,T,26,5 to 6,198.4219659,5.3,168,"25°13'43"" RT",11.323038,77.712295,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.712295 11.323038, 77.710492 11.322723)"
7,,T,28,6 to 7,200.0250887,3.3,171,"61°31'17"" LT",11.322723,77.710492,Good,Good,,Canal crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.710492 11.322723, 77.710193 11.321838)"
8,,T,28,7 to 8,103.2648981,7.2,171,"78°58'42"" LT",11.321838,77.710193,Good,Good,,Canal crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.710193 11.321838, 77.711063 11.321353)"
9,,T,28,8 to 9,109.1553222,8.9,175,"31°58'23"" RT",11.321353,77.711063,Good,Good,LT Line crossig ,Tar road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711063 11.321353, 77.711725 11.320153)"
10,,T,26,9 to 10,151.2419001,8,177,"18°7'9"" RT",11.320153,77.711725,Good,Good,,Mettal  road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711725 11.320153, 77.712003 11.318665)"
11,,T,28,10 to 11,167.4872357,6.6,175,"38°10'45"" RT",11.318665,77.712003,Good,Good,LT Line crossig ,Tar road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.712003 11.318665, 77.711213 11.317182)"
12,,T,26,11 to 12 ,185.4608439,5,187,"18°24'39"" LT",11.317182,77.711213,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711213 11.317182, 77.711132 11.316695)"
13,,T,24,12 to 13,54.62876626,2,189,"6°25'34"" RT",11.316695,77.711132,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711132 11.316695, 77.71109 11.316548)"
Kasipalayam Gantry,2W,T,20,13 to Gantry,16.90633878,0.8,183,,11.316548,77.71109,Good,Good,,,,in side the 110 kv kasipalayam ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
