Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 39 EDAYARPALAYAM LILO,,T,DC,26,,,7.27,357,,77.04813889,10.83225,GOOD,GOOD,,,PLAIN,EDAYARPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04813888888889 10.83225, 77.04994444444445 10.833083333333333)"
T.NO 1 ,,S ,DA,26,GT-1,216.9446934,6.36,352,,77.04994444,10.83308333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04994444444445 10.833083333333333, 77.05175 10.833861111111112)"
T.NO 2,,T,DC,26,01-Feb,217.5890622,7.91,342,"20°16'51""",77.05175,10.83386111,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05175 10.833861111111112, 77.05361111111111 10.835611111111112)"
T.NO 3,,S,DA,26,02-Mar,281.4604768,7.03,340,,77.05361111,10.83561111,GOOD,GOOD,LT,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05361111111111 10.835611111111112, 77.05486111111111 10.836777777777778)"
T.NO 4,,T,DC,26,03-Apr,185.3105502,7.43,348,"16°24'33""",77.05486111,10.83677778,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05486111111111 10.836777777777778, 77.05630555555555 10.839222222222222)"
T.NO 5,,S,DA,26,04-May,314.925388,8.47,357,,77.05630556,10.83922222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05630555555555 10.839222222222222, 77.05744444444444 10.841166666666668)"
T.NO 6,,S,DA,26,05-Jun,248.07257,8.11,350,,77.05744444,10.84116667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05744444444444 10.841166666666668, 77.05880555555555 10.843611111111112)"
T.NO 7,,S,DA,26,06-Jul,307.0260575,7.97,351,,77.05880556,10.84361111,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05880555555555 10.843611111111112, 77.06 10.845722222222223)"
T.NO 8,,S,DA,35,07-Aug,268.56098,6.31,339,,77.06,10.84572222,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06 10.845722222222223, 77.06138888888889 10.848055555555556)"
T.NO 9,,T,DB,33,08-Sep,299.6681498,5.18,353,"10°34'27""",77.06138889,10.84805556,GOOD,GOOD,"LT,11KV",RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06138888888889 10.848055555555556, 77.06207777777777 10.849961111111112)"
T.NO 10,,T,DD,28,09-Oct,225,5.75,356,"40°24'38""",77.06207778,10.84996111,GOOD,GOOD,230KV,,PLAIN,OKM-ANAIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06207777777777 10.849961111111112, 77.06422222222221 10.851194444444443)"
T.NO 11,,T,DB,24,10-Nov,271,4.97,360,"0°25'57""",77.06422222,10.85119444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06422222222221 10.851194444444443, 77.06633333333333 10.852416666666667)"
T.NO 12,2W,T,DB,24,11-Dec,267.7106647,2.46,369,"12°23'2""",77.06633333,10.85241667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06633333333333 10.852416666666667, 77.06780555555555 10.853777777777777)"
T.NO 13,,S,DA,26,Dec-13,220.730605,3.43,370,,77.06780556,10.85377778,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06780555555555 10.853777777777777, 77.06949999999999 10.855333333333332)"
T.NO 14,,S,DA,26,13-14,251.8293073,2.51,374,,77.0695,10.85533333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06949999999999 10.855333333333332, 77.07086111111111 10.856583333333333)"
T.NO 15,,S,DA,26,14-15,203.7253053,1.93,370,,77.07086111,10.85658333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07086111111111 10.856583333333333, 77.07238888888888 10.857999999999999)"
T.NO 16,,T,DD,28,15-16,229.1418774,3.11,375,"42°22'43""",77.07238889,10.858,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07238888888888 10.857999999999999, 77.07252777777778 10.859833333333333)"
T.NO 17,,S,DA,26,16-17,202.4178846,2.77,369,,77.07252778,10.85983333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07252777777778 10.859833333333333, 77.07266666666666 10.861749999999999)"
T.NO 18,,S,DA,26,17-18,213.4595981,3.53,376,,77.07266667,10.86175,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07266666666666 10.861749999999999, 77.07277777777777 10.863777777777777)"
T.NO 19,,S,DA,26,18-19,223.3786024,2.33,388,,77.07277778,10.86377778,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07277777777777 10.863777777777777, 77.07294444444445 10.866027777777777)"
T.NO 20,,T,DB,24,19-20,250.5114768,3.17,385,"13°30'28""",77.07294444,10.86602778,GOOD,GOOD,11KV,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07294444444445 10.866027777777777, 77.07258333333333 10.868222222222222)"
T.NO 21,,T,DC,26,20-21,245.6175889,3.37,385,"15°26'26""",77.07258333,10.86822222,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07258333333333 10.868222222222222, 77.07280555555555 10.870416666666667)"
T.NO 22,,S,DA,26,21-22,246.1727036,4.11,390,,77.07280556,10.87041667,GOOD,MISSING,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07280555555555 10.870416666666667, 77.07305555555556 10.872861111111112)"
T.NO 23,,T,DD,28,22-23,271.064568,4.07,387,"38°51'58""",77.07305556,10.87286111,GOOD,MISSING,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07305555555556 10.872861111111112, 77.07452777777777 10.874361111111112)"
T.NO 24,,S,DA,26,23-24,230.5558501,3.67,394,,77.07452778,10.87436111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07452777777777 10.874361111111112, 77.0761111111111 10.87588888888889)"
T.NO 25,,S,DA,26,24-25,240.420465,2.57,396,,77.07611111,10.87588889,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0761111111111 10.87588888888889, 77.07775 10.877527777777779)"
T.NO 26,,T,DB,24,25-26,256.6885272,4.34,407,"7°15'54""",77.07775,10.87752778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07775 10.877527777777779, 77.07888888888888 10.878972222222222)"
