S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : T.NO 42 ,,T ,DC,26,,,6.31,278,,10.96635505,77.62589336,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62589336 10.96635505, 77.62564891 10.96455916)"
2,T.NO 1,,T,DB,24,42-1,200.5642042,5.85,274,"4°6'42""",10.96455916,77.62564891,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62564891 10.96455916, 77.62509541 10.96193469)"
3,T.NO 2,,T,DC,26,01-Feb,296.7237773,5.26,274,"15°42'11""",10.96193469,77.62509541,GOOD,GOOD,"LT-2,HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62509541 10.96193469, 77.62526581 10.9594847)"
4,T.NO 3,,T,DB,24,02-Mar,271.8124353,6.45,274,"4°31'43""",10.9594847,77.62526581,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62526581 10.9594847, 77.6252594 10.95668385)"
5,T.NO 4,,S,DA,26,03-Apr,310.0064515,5.7,274,,10.95668385,77.6252594,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6252594 10.95668385, 77.62520982 10.9541725)"
6,T.NO 5,,T,DB,24,04-May,278.0161866,6.95,279,"5°33'43""",10.9541725,77.62520982,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62520982 10.9541725, 77.6254029 10.95221924)"
7,T.NO 6,,S,DA,26,05-Jun,217.2210855,4.1,279,,10.95221924,77.6254029,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6254029 10.95221924, 77.62558548 10.95011248)"
8,T.NO 7,,S,DA,26,06-Jul,234.036322,5.85,274,,10.95011248,77.62558548,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62558548 10.95011248, 77.62574986 10.9480149)"
9,T.NO 8,,S,DA,26,07-Aug,232.8604732,7.65,271,,10.9480149,77.62574986,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62574986 10.9480149, 77.62592449 10.94604373)"
10,T.NO 9,,T,DB,24,08-Sep,219.0091322,8.05,277,"7°24'38""",10.94604373,77.62592449,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62592449 10.94604373, 77.62631131 10.94428758)"
11,T.NO 10,,S,DA,26,09-Oct,198.9271223,8.45,270,,10.94428758,77.62631131,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62631131 10.94428758, 77.62676872 10.9422417)"
12,T.NO 11,,T,DD,28,10-Nov,231.905153,4.95,265,"52°5'24""",10.9422417,77.62676872,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62676872 10.9422417, 77.62898124 10.94119264)"
13,T.NO 12,,S,DA,26,11-Dec,268.4119968,5.75,264,,10.94119264,77.62898124,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62898124 10.94119264, 77.63146696 10.94002376)"
14,T.NO 13,2W,T,DD,28,Dec-13,301.0946695,4.45,262,"46°8'19""",10.94002376,77.63146696,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63146696 10.94002376, 77.6322149 10.9377495)"
15,T.NO 14,,S,DA,26,13-14,264.6828291,6.25,265,,10.9377495,77.6322149,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6322149 10.9377495, 77.63299915 10.93544782)"
