Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 71,,,T,DB,24,70-71,53.90732789,5.81,367,"1°23'32""",77.10225,10.75261111,GOOD,GOOD,"LT-1, 11KV",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10225 10.752611111111111, 77.10344444444443 10.751138888888889)"
T.NO 72,,,T,DB,24,71-72,206.1552813,5.61,363,"0°20'2""",77.10344444,10.75113889,GOOD,GOOD,"LT-1, 11KV-2",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10344444444443 10.751138888888889, 77.1051111111111 10.749027777777776)"
T.NO 73,,,S,DA,26,72-73,296.1080884,6.32,365,,77.10511111,10.74902778,GOOD,GOOD,"LT-1 , 11KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1051111111111 10.749027777777776, 77.10627777777778 10.747583333333333)"
T.NO 74,,,S,DA,26,73-74,206.9323561,5.12,368,,77.10627778,10.74758333,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10627777777778 10.747583333333333, 77.10758333333332 10.745999999999999)"
T.NO 75,,,S,DA,26,74-75,224.5885126,4.91,368,,77.10758333,10.746,GOOD,GOOD,"LT-2 , 11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10758333333332 10.745999999999999, 77.10963888888888 10.743416666666667)"
T.NO 76,,,S,DA,26,75-76,363.4184915,5.32,373,,77.10963889,10.74341667,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10963888888888 10.743416666666667, 77.11105555555555 10.741638888888888)"
T.NO 77,,2W,T,DB,24,76-77,249.0983741,4.82,376,"10°57'22""",77.11105556,10.74163889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11105555555555 10.741638888888888, 77.11230555555555 10.739249999999998)"
T.NO 78,,,S,DA,26,77-78,300.1766147,4.62,369,,77.11230556,10.73925,GOOD,GOOD,"LT-2 , 11KV","MUD ROAD-1 ,CANAL-1, ",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11230555555555 10.739249999999998, 77.11369444444443 10.73661111111111)"
T.NO 79,,,S,DA,26,78-79,327.8856508,6.78,368,,77.11369444,10.73661111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11369444444443 10.73661111111111, 77.115 10.73411111111111)"
T.NO 80,,,S,DA,26,79-80,310.8858311,5.15,377,,77.115,10.73411111,GOOD,GOOD,LT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.115 10.73411111111111, 77.11602777777777 10.732138888888889)"
T.NO 81,,,S,DA,26,80-81,246.0081299,6.32,372,,77.11602778,10.73213889,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11602777777777 10.732138888888889, 77.11727777777777 10.72975)"
T.NO 82,,,S,DA,26,81-82,296.5434201,4.86,386,,77.11727778,10.72975,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11727777777777 10.72975, 77.11847222222221 10.727444444444444)"
T.NO 83,,,S,DA,26,82-83,289.4149271,4.32,389,,77.11847222,10.72744444,GOOD,GOOD,,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11847222222221 10.727444444444444, 77.11988888888888 10.724777777777778)"
T.NO 84,,,S,DA,26,83-84,331.5312957,4.53,392,,77.11988889,10.72477778,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11988888888888 10.724777777777778, 77.12116666666665 10.722277777777778)"
T.NO 85,,,S,DA,26,84-85,310.8134489,5.05,391,,77.12116667,10.72227778,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12116666666665 10.722277777777778, 77.12244444444444 10.719916666666666)"
T.NO 86,,2W,T,DC,26,85-86,296.7305175,8.1,391,"23°36'1""",77.12244444,10.71991667,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12244444444444 10.719916666666666, 77.12363888888888 10.718916666666667)"
T.NO 87,,,S,DA,26,86-87,171.1870322,4.9,389,,77.12363889,10.71891667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12363888888888 10.718916666666667, 77.12602777777776 10.717055555555556)"
T.NO 88,,,S,DA,26,87-88,333.4576435,5.83,377,,77.12602778,10.71705556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12602777777776 10.717055555555556, 77.12833333333333 10.715194444444444)"
T.NO 89,,,S,DA,26,88-89,322.9674906,8.1,377,,77.12833333,10.71519444,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12833333333333 10.715194444444444, 77.13058333333332 10.713388888888888)"
T.NO 90,,,S,DA,26,89-90,317.9701244,7.262,375,,77.13058333,10.71338889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13058333333332 10.713388888888888, 77.13269444444444 10.711666666666666)"
T.NO 91,,,S,DA,26,90-91,300.0166662,6.05,373,,77.13269444,10.71166667,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13269444444444 10.711666666666666, 77.13491666666667 10.709888888888889)"
T.NO 92,,,S,DA,26,91-92,312.5075999,7.15,371,,77.13491667,10.70988889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13491666666667 10.709888888888889, 77.1371388888889 10.70811111111111)"
T.NO 93,,,S,DA,26,92-93,312.3475628,7.85,366,,77.13713889,10.70811111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1371388888889 10.70811111111111, 77.1393888888889 10.70636111111111)"
T.NO 94,,,T,DB,24,93-94,313.2921959,6.65,366,"0°9'49""",77.13938889,10.70636111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1393888888889 10.70636111111111, 77.14172222222223 10.7045)"
T.NO 95,,,S,DA,26,94-95,329.6922808,8.05,365,,77.14172222,10.7045,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14172222222223 10.7045, 77.1438888888889 10.702777777777778)"
T.NO 96,,,S,DA,26,95-96,303.9161068,7.83,368,,77.14388889,10.70277778,GOOD,GOOD,11KV-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1438888888889 10.702777777777778, 77.14602777777779 10.70111111111111)"
T.NO 97,,,S,DA,26,96-97,295.832723,9,371,,77.14602778,10.70111111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14602777777779 10.70111111111111, 77.14830555555557 10.699194444444444)"
T.NO 98,,,S,DA,26,97-98,327.9054742,6.54,371,,77.14830556,10.69919444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14830555555557 10.699194444444444, 77.15050000000001 10.697472222222222)"
T.NO 99,,,S,DA,26,98-99,307.8473648,7.25,371,,77.1505,10.69747222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15050000000001 10.697472222222222, 77.15283333333333 10.695638888888888)"
T.NO 100,,,S,DA,26,99-100,324.6937018,6.88,371,,77.15283333,10.69563889,GOOD,GOOD,"LT-3 , 11KV-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15283333333333 10.695638888888888, 77.15477777777778 10.694083333333333)"
T.NO 101,,2W,T,DB,24,100-101,274.0894015,4.67,374,"9°48'24""",77.15477778,10.69408333,GOOD,GOOD,"LT-3 , 11KV-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15477777777778 10.694083333333333, 77.15652777777778 10.692166666666667)"
T.NO 102,,,S,DA,26,101-102,288.1058833,5.88,377,,77.15652778,10.69216667,GOOD,GOOD,"LT-2 ,11KV-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15652777777778 10.692166666666667, 77.15819444444445 10.690194444444444)"
T.NO 103,,,S,DA,26,102-103,282.9858654,8.45,384,,77.15819444,10.69019444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15819444444445 10.690194444444444, 77.1601388888889 10.688055555555556)"
T.NO 104,,,S,DA,26,103-104,316.4948657,8.34,381,,77.16013889,10.68805556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1601388888889 10.688055555555556, 77.16180555555556 10.686166666666667)"
T.NO 105,,,S,DA,26,104-105,279.7802709,8.09,385,,77.16180556,10.68616667,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16180555555556 10.686166666666667, 77.16358333333334 10.684194444444445)"
T.NO 106,,,S,DA,26,105-106,291.7430376,7.65,384,,77.16358333,10.68419444,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16358333333334 10.684194444444445, 77.16550000000001 10.681999999999999)"
T.NO 107,,,S,DA,26,106-107,320.3154695,7.11,382,,77.1655,10.682,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16550000000001 10.681999999999999, 77.16730555555556 10.68)"
T.NO 108,,,S,DA,26,107-108,297.2574642,6.98,384,,77.16730556,10.68,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16730555555556 10.68, 77.16927777777778 10.67786111111111)"
T.NO 109,,,S,DA,26,108-109,321.3378285,9.09,388,,77.16927778,10.67786111,GOOD,GOOD,"LT,HT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16927777777778 10.67786111111111, 77.17080555555556 10.676083333333333)"
T.NO 110 KONGALNAGARAM LILO,,3W,T,DB,24,109-110,255.2214725,7.54,390,"0°10'54""",77.17080556,10.67608333,GOOD,2 EARTHWIRE,,,PLAIN,KONGALNAGARAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17080555555556 10.676083333333333, 77.17252777777779 10.674194444444444)"
T.NO 111,,,S,DA,26,110-111,282.526105,6.82,388,,77.17252778,10.67419444,GOOD,GOOD, 11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17252777777779 10.674194444444444, 77.17450000000001 10.671944444444444)"
T.NO 112,,,S,DA,26,111-112,327.946642,7.32,387,,77.1745,10.67194444,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17450000000001 10.671944444444444, 77.17636111111112 10.66986111111111)"
T.NO 113,,,S,DA,26,112-113,308.0990101,5.36,385,,77.17636111,10.66986111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17636111111112 10.66986111111111, 77.17827777777778 10.66775)"
T.NO 114,,,S,DA,26,113-114,314.9492023,4.65,383,,77.17827778,10.66775,GOOD,GOOD,LT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17827777777778 10.66775, 77.18008333333334 10.665722222222223)"
T.NO 115,,,S,DA,26,114-115,298.8812473,5.32,382,,77.18008333,10.66572222,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18008333333334 10.665722222222223, 77.18180555555556 10.663805555555555)"
T.NO 116,,,T,DB,24,115-116,283.9383736,7.05,378,"0°5'37""",77.18180556,10.66380556,GOOD,GOOD,LT-1,"CANAL , ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18180555555556 10.663805555555555, 77.18375 10.661611111111112)"
T.NO 117,,,S,DA,26,116-117,322.2995501,7.73,375,,77.18375,10.66161111,GOOD,GOOD,LT-1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18375 10.661611111111112, 77.18552777777778 10.659611111111111)"
T.NO 118,,,S,DA,26,117-118,294.6455498,5.9,371,,77.18552778,10.65961111,GOOD,GOOD,LT-1 11KV-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18552777777778 10.659611111111111, 77.18738888888889 10.6575)"
T.NO 119,,,S,DA,26,118-119,311.0064308,4.78,371,,77.18738889,10.6575,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18738888888889 10.6575, 77.18905555555556 10.65563888888889)"
T.NO 120,,,S,DA,26,119-120,274.0529146,5.76,367,,77.18905556,10.65563889,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18905555555556 10.65563888888889, 77.19088888888889 10.653638888888889)"
T.NO 121,,,S,DA,26,120-121,299.347624,7.35,366,,77.19088889,10.65363889,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19088888888889 10.653638888888889, 77.19261111111112 10.651694444444445)"
T.NO 122,,,T,DB,24,121-122,286.8396765,6.83,364,"2°29'50""",77.19261111,10.65169444,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19261111111112 10.651694444444445, 77.19447222222223 10.649416666666665)"
T.NO 123,,,T,DB,24,122-123,323.3032632,5.65,364,"2°10'39""",77.19447222,10.64941667,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19447222222223 10.649416666666665, 77.19530555555556 10.648333333333333)"
T.NO 124,,,T,DD,28,123-124,150.6021248,7.93,365,"109°18'5""",77.19530556,10.64833333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19530555555556 10.648333333333333, 77.19577777777778 10.649055555555556)"
T.NO 15 LILO UDUMALAIPET 11OKV  ,,3W,T,DD,28,124-15,95.96353474,7.41,362,"105°7'57""",77.19577778,10.64905556,GOOD,2 EARTHWIRE,,"CANAL , ROAD",PLAIN,UDUMALAIPET 110KV LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19577777777778 10.649055555555556, 77.19675000000001 10.647972222222222)"
T.NO 16,,,S,DA,26,15-16,159.3643624,7.54,363,,77.19675,10.64797222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19675000000001 10.647972222222222, 77.19819444444445 10.646305555555555)"
T.NO 17,,,S,DA,26,16-17,242.330353,7.11,363,,77.19819444,10.64630556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19819444444445 10.646305555555555, 77.19955555555556 10.64475)"
T.NO 18,,,S,DA,26,17-18,228.8776966,6.73,367,,77.19955556,10.64475,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19955555555556 10.64475, 77.20094444444445 10.643166666666666)"
T.NO 19,,,S,DA,26,18-19,231.7951682,6.97,366,,77.20094444,10.64316667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20094444444445 10.643166666666666, 77.20236111111112 10.641555555555556)"
T.NO 20,,,T,DB,24,19-20,235.1850335,7.27,367,"0°7'21""",77.20236111,10.64155556,GOOD,GOOD,LT-1,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20236111111112 10.641555555555556, 77.20363888888889 10.64011111111111)"
T.NO 21,,,S,DA,26,20-21,211.851363,6.57,373,,77.20363889,10.64011111,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20363888888889 10.64011111111111, 77.20505555555556 10.638444444444444)"
T.NO 22,,,S,DA,26,21-22,241.1182283,6.55,378,,77.20505556,10.63844444,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20505555555556 10.638444444444444, 77.20655555555555 10.636777777777777)"
T.NO 23,,,S,DA,26,22-23,247.7458375,6.61,369,,77.20655556,10.63677778,GOOD,GOOD,HT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20655555555555 10.636777777777777, 77.20794444444445 10.635166666666667)"
T.NO 24,,,T,DB,24,23-24,232.6585481,6.07,371,"0°30'59""",77.20794444,10.63516667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20794444444445 10.635166666666667, 77.20941666666667 10.633527777777777)"
T.NO 25,,,S,DA,26,24-25,244.3215095,6.18,375,,77.20941667,10.63352778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20941666666667 10.633527777777777, 77.21069444444444 10.632055555555556)"
T.NO 26,,,T,DB,24,25-26,215.3369453,6.53,369,"0°30'53""",77.21069444,10.63205556,GOOD,GOOD,,"CANAL-1 , ROAD-1",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21069444444444 10.632055555555556, 77.21266666666666 10.629777777777779)"
T.NO 27,,,S,DA,26,26-27,331.0422934,5.93,375,,77.21266667,10.62977778,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21266666666666 10.629777777777779, 77.21466666666667 10.627500000000001)"
T.NO 28,,,S,DA,26,27-28,333.8637447,6.41,380,,77.21466667,10.6275,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21466666666667 10.627500000000001, 77.21613888888889 10.625833333333334)"
T.NO 29,,,S,DA,26,28-29,245.7335956,7.09,372,,77.21613889,10.62583333,GOOD,GOOD,"HT-1, LT-1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21613888888889 10.625833333333334, 77.21797222222223 10.623722222222222)"
T.NO 30,,,S,DA,26,29-30,306.2058131,6.78,371,,77.21797222,10.62372222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21797222222223 10.623722222222222, 77.21955555555556 10.621916666666667)"
T.NO 31,,2W,T,DB,24,30-31,264.2517739,4.8,361,"6°20'29""",77.21955556,10.62191667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21955555555556 10.621916666666667, 77.21986111111111 10.621638888888889)"
DP1,,,T,DP,15,31-DP1,47.42362281,,366,,77.21986111,10.62163889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21986111111111 10.621638888888889, 77.2201388888889 10.621305555555557)"
DP2,,,T,DP,15,DP1-DP2,46.09772229,,367,,77.22013889,10.62130556,GOOD,MISSING,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2201388888889 10.621305555555557, 77.22027777777778 10.621083333333333)"
T.NO 32,,,T,DB,24,DP2-32,28.3019434,5.05,365,"9°13'42""",77.22027778,10.62108333,GOOD,GOOD,"HT-1 , LT-1 ","CANAL-1, MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22027777777778 10.621083333333333, 77.22172222222223 10.619416666666668)"
T.NO 33,,,S,DA,26,32-33,244.4933537,8.01,365,,77.22172222,10.61941667,GOOD,GOOD,,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22172222222223 10.619416666666668, 77.22294444444445 10.618)"
T.NO 34,,,S,DA,26,33-34,205.5480479,7.65,366,,77.22294444,10.618,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22294444444445 10.618, 77.22422222222222 10.616555555555555)"
T.NO 35,,,S,DA,26,34-35,211.851363,9.05,367,,77.22422222,10.61655556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22422222222222 10.616555555555555, 77.22566666666667 10.614916666666666)"
T.NO 36,,,T,DB,24,35-36,242.330353,8.25,361,"0°4'4""",77.22566667,10.61491667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22566666666667 10.614916666666666, 77.2268888888889 10.613527777777778)"
T.NO 37,,,S,DA,26,36-37,203.3838735,7.65,361,,77.22688889,10.61352778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2268888888889 10.613527777777778, 77.22875 10.611416666666667)"
T.NO 38,,,S,DA,26,37-38,308.183387,5.85,360,,77.22875,10.61141667,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22875 10.611416666666667, 77.23019444444445 10.609777777777778)"
T.NO 39,,,S,DA,26,38-39,242.243679,5.25,359,,77.23019444,10.60977778,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23019444444445 10.609777777777778, 77.23211111111111 10.607583333333332)"
T.NO 40,,,T,DB,24,39-40,320.4122345,7.05,359,"0°28'4""",77.23211111,10.60758333,GOOD,GOOD,HT-1,"MUD ROAD-1 , ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23211111111111 10.607583333333332, 77.23375 10.605694444444444)"
T.NO 41,,,S,DA,26,40-41,275.632001,7.82,360,,77.23375,10.60569444,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23375 10.605694444444444, 77.23508333333334 10.604166666666666)"
T.NO 42,,,S,DA,26,41-42,221.8220007,6.95,358,,77.23508333,10.60416667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23508333333334 10.604166666666666, 77.23652777777778 10.6025)"
T.NO 43,,,S,DA,26,42-43,245.2468145,8.25,358,,77.23652778,10.6025,GOOD,GOOD,HT-2,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23652777777778 10.6025, 77.23780555555555 10.600944444444444)"
T.NO 44,,,T,DB,24,43-44,220.8642117,6.7,360,"1°12'14""",77.23780556,10.60094444,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23780555555555 10.600944444444444, 77.23911111111111 10.599555555555556)"
T.NO 45,,,S,DA,26,44-45,210.793738,7.85,360,,77.23911111,10.59955556,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23911111111111 10.599555555555556, 77.24038888888889 10.598083333333333)"
T.NO 46,,,T,DB,24,45-46,213.4595981,6.69,364,"0°19'22""",77.24038889,10.59808333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24038888888889 10.598083333333333, 77.24180555555556 10.596472222222223)"
T.NO 47,,,T,DC,26,46-47,234.437625,6.54,363,"16°52'8""",77.24180556,10.59647222,GOOD,GOOD,"HT-3, LT-1",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24180555555556 10.596472222222223, 77.24286111111111 10.594166666666668)"
T.NO 48,,,T,DB,24,47-48,283.2137002,6.43,363,"11°35'28""",77.24286111,10.59416667,GOOD,GOOD,"HT-3, LT-3",ROAD-3,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24286111111111 10.594166666666668, 77.24386111111112 10.592805555555556)"
T.NO 49,,,T,DD,28,48-49,185.2052915,5.92,364,"47°51'9""",77.24386111,10.59280556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24386111111112 10.592805555555556, 77.2445 10.592722222222223)"
GANTRY UDUMALAI 110KV SS,,2W,T,GANTRY,20,49-GT,70.34912935,,361,,77.2445,10.59272222,GOOD,MISSING,,,PLAIN,UDUMALAIPET 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
