Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 18,,,S,DA,26,17-18,291.0068728,4.53,394,,77.02683333,10.86008333,GOOD,GOOD,LT,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02683333333333 10.860083333333334, 77.02858333333333 10.857722222222222)"
T.NO 19,,,S,DA,26,18-19,324.0138886,5.12,386,,77.02858333,10.85772222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02858333333333 10.857722222222222, 77.03022222222222 10.855527777777777)"
T.NO 20,,,S,DA,26,19-20,299.8032688,4.02,379,,77.03022222,10.85552778,GOOD,GOOD,LT,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03022222222222 10.855527777777777, 77.03172222222221 10.853472222222221)"
T.NO 21,,,S,DA,26,20-21,279.8231584,3.99,373,,77.03172222,10.85347222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03172222222221 10.853472222222221, 77.03372222222222 10.850722222222222)"
T.NO 22,,,S,DA,26,21-22,376.4306045,4.63,367,,77.03372222,10.85072222,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03372222222222 10.850722222222222, 77.03475 10.849333333333334)"
T.NO 23,,,T,DB,24,22-23,191.0104709,4.16,372,"0°17'51""",77.03475,10.84933333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03475 10.849333333333334, 77.03619444444445 10.84738888888889)"
T.NO 24,,,S,DA,26,23-24,265.2036953,5.12,388,,77.03619444,10.84738889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03619444444445 10.84738888888889, 77.03772222222221 10.845222222222223)"
T.NO 25,,,S,DA,26,24-25,292.4790591,5.36,383,,77.03772222,10.84522222,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03772222222221 10.845222222222223, 77.03911111111111 10.843305555555556)"
T.NO 26,,,S,DA,26,25-26,261.4440667,6.31,381,,77.03911111,10.84330556,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03911111111111 10.843305555555556, 77.04063888888889 10.84125)"
T.NO 27,,,S,DA,26,26-27,283.6000705,6.2,370,,77.04063889,10.84125,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04063888888889 10.84125, 77.04222222222222 10.839083333333335)"
T.NO 28,,,S,DA,26,27-28,295.0423698,4.36,372,,77.04222222,10.83908333,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04222222222222 10.839083333333335, 77.04377777777778 10.836944444444445)"
