S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 71 MUTHUR LILO  MC,,T(MC),MD,45,,,2.13,243,,10.99514252,77.69892865,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69892865 10.99514252, 77.69652498 10.99528131)"
2,T.NO 70 MC,,T(MC),MD,45,71-70,263.3210968,3.53,243,"64°39'4""",10.99528131,77.69652498,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69652498 10.99528131, 77.69582773 10.99402265)"
3,T.NO 69 LILO ,3W,T,DD,28,70-69,158.8238017,2.35,242,"38°54'16""",10.99402265,77.69582773,GOOD,GOOD,"LT-2,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69582773 10.99402265, 77.69469881 10.99356286)"
4,T.NO 52,,T,SD,28,69-52,133.5402561,6.09,244,"41°30'32""",10.99356286,77.69469881,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69469881 10.99356286, 77.69198218 10.99448137)"
5,T.NO 51,,S,SA,26,52-51,314.0143309,5.2,242,,10.99448137,77.69198218,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69198218 10.99448137, 77.68950301 10.99537066)"
6,T.NO 50,,S,SA,26,51-50,288.444102,5.66,241,,10.99537066,77.68950301,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68950301 10.99537066, 77.68700488 10.99618782)"
7,T.NO 49,,S,SA,26,50-49,287.7846417,2.32,244,,10.99618782,77.68700488,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68700488 10.99618782, 77.68468005 10.99695825)"
8,T.NO 48,,S,SA,26,49-48,268.1678579,7.37,250,,10.99695825,77.68468005,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68468005 10.99695825, 77.68224597 10.99778385)"
9,T.NO 47,,S,SA,26,48-47,281.4427118,8.99,245,,10.99778385,77.68224597,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68224597 10.99778385, 77.67973937 10.99868235)"
10,T.NO 46,,T,SD,28,47-46,291.6058984,8.7,252,"38°37'5""",10.99868235,77.67973937,GOOD,GOOD,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67973937 10.99868235, 77.67838626 11.00073614)"
