Tower No,CIRCUIT,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
LILO KUNDAH 110KV SS- 25,DC,LILO,T,32,,,3.22,1709,,76.64895833333334,11.285438888888889,GOOD,GOOD,NO,,,CULTIVATION,"NEED 3WAY JUCTION BOX, 2EARTH WIRE, OUR EARTH WIRE CONTINUE TO T.NO-24, ANOTHER EARTH WIRE CONNECT TO PH-5 - SANDYNALLA 110KV T.NO-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.64895833333334 11.285438888888889, 76.64831666666667 11.284230555555556)"
T.NO-24,SC,SB,T,27,LILO25-24,152.118,3.17,1680,"13°32'15.7""",76.64831666666667,11.284230555555556,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.64831666666667 11.284230555555556, 76.64787777777778 11.282616666666668)"
T.NO-23,SC,SD,T,34,24-23,185.068,2.33,1642,"45°23'20.6""",76.64787777777778,11.282616666666668,GOOD,GOOD,YES,"2nos 22KV, LT",TAAR ROAD,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.64787777777778 11.282616666666668, 76.64750833333333 11.28241388888889)"
110KV GANTRY KUINDAH SS,GANTRY,GANTRY,GANTRY,20,23-GANTRY,46.141,,1649,,76.64750833333333,11.28241388888889,GOOD,MISSING,,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G8:G10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
