S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 179 LILO KUNDADAM ,,T ,DC,26,,,4.75,278,,77.52072222,10.82425,GOOD,GOOD,,,PLAIN,KUNDADAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52072222222222 10.82425, 77.51808333333334 10.824722222222222)"
2,T.NO 1,,T,DB,24,179-1,295.2642884,3.03,297,"2°7'17""",77.51808333,10.82472222,GOOD,GOOD, ,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51808333333334 10.824722222222222, 77.51594444444444 10.825027777777777)"
3,T.NO 2,,S,DA,26,01-Feb,236.1778991,4.36,293,,77.51594444,10.82502778,GOOD,GOOD,2nos HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51594444444444 10.825027777777777, 77.51383333333334 10.825277777777778)"
4,T.NO 3,,S,DA,26,02-Mar,230.4712563,6.81,291,,77.51383333,10.82527778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51383333333334 10.825277777777778, 77.51194444444444 10.825583333333332)"
5,T.NO 4,,T,DB,24,03-Apr,211.4355694,5.38,293,"4°45'30""",77.51194444,10.82558333,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51194444444444 10.825583333333332, 77.50983333333333 10.826083333333333)"
6,T.NO 5,,S,DA,26,04-May,236.2541005,4.86,290,,77.50983333,10.82608333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50983333333333 10.826083333333333, 77.50766666666667 10.826555555555556)"
7,T.NO 6,,T,DB,24,05-Jun,243.9713098,4.88,295,"13°2'20""",77.50766667,10.82655556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50766666666667 10.826555555555556, 77.50561111111111 10.827527777777778)"
8,T.NO 7,,S,DA,26,06-Jul,248.2438317,5.86,296,,77.50561111,10.82752778,GOOD,GOOD,"LT,2nos HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50561111111111 10.827527777777778, 77.50341666666667 10.828583333333333)"
9,T.NO 8,,T,DB,24,07-Aug,268.8382413,6.87,295,"7°47'43""",77.50341667,10.82858333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50341666666667 10.828583333333333, 77.50125 10.829277777777778)"
10,T.NO 9,2W,T,DC,26,08-Sep,247.6307735,5.31,296,"26°12'3""",77.50125,10.82927778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50125 10.829277777777778, 77.50102777777778 10.8295)"
