S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,135,KCR T,DC,26,136-135,230,235.58685606085734,2.15,480,"30°52'44""(RT)",12.52979,78.32967,GOOD,GOOD,LT LINE CROSSING,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32967 12.52979, 78.3286 12.52762)"
12,134,HCR T,DC,26,135-134,270,266.91632366121024,2.95,475,"30°20'04""(RT)",12.52762,78.3286,GOOD,GOOD,LT LINE CROSSING,"SAND ROAD CROSSING,CANAL CROSSING",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3286 12.52762, 78.32664 12.52633)"
13,133,KCR T,DD,28,134-133,270,256.5739902066524,0.95,471,"43°31'57""(LT)",12.52633,78.32664,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32664 12.52633, 78.32619 12.52436)"
14,132,GCR S,DA,26,133-132,220,223.49896462358436,1.43,470,"11°53'21""(LT)",12.52436,78.32619,GOOD,GOOD,,"TAR ROAD CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32619 12.52436, 78.32577 12.52236)"
15,131,HCR+3M T,DB+3,27,132-131,210,226.05879555179123,0.96,470,,12.52236,78.32577,GOOD,GOOD,LT LINE-2,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32577 12.52236, 78.32578 12.51993)"
16,130,GCR S,DA,26,131-130,280,268.99799075561276,2.12,467,,12.51993,78.32578,GOOD,GOOD,11KV LINE CROSSING,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32578 12.51993, 78.32581 12.51726)"
17,129,KCR T,DD,28,130-129,290,295.58123231994824,1.51,465,"42°43'01""(LT)",12.51726,78.32581,GOOD,GOOD,33KV LINE CROSSING,,SMALL HILLS,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32581 12.51726, 78.32777 12.51522)"
18,128,HCR T,DB,24,129-128,300,310.54527775835464,2.51,466,"12°34'37""(RT)",12.51522,78.32777,GOOD,GOOD,,,SMALL HILLS,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32777 12.51522, 78.32857 12.5139)"
19,127,HCR T,DB,24,128-127,175,170.0644611683754,3.21,4698,"15°22'44""(LT)",12.5139,78.32857,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32857 12.5139, 78.33035 12.51222)"
20,126,GCR S,DA,26,127-126,290,268.44956723271656,2.21,470, ,12.51222,78.33035,GOOD,GOOD,,"TAR ROAD CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33035 12.51222, 78.33213 12.51048)"
21,125,HCR+3M T,DB+3,27,126-125,265,273.09330950656584,2.91,471,"10°26'29""(RT)",12.51048,78.33213,GOOD,GOOD,"11KV LINE CROSSING, LT LINE CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33213 12.51048, 78.3336 12.50844)"
22,124,GCR S,DA,26,125-124,275,277.3817232792048,3.15,471,,12.50844,78.3336,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3336 12.50844, 78.3351 12.50634)"
23,123,KCR T,DC,26,124-123,280,283.3271767678176,2.91,470,"30°24'38""(LT)",12.50634,78.3351,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3351 12.50634, 78.33675 12.50562)"
24,122,HCR T,DB,24,123-122,210,196.36402290691166,2.82,470,"06°42'02""(RT)",12.50562,78.33675,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33675 12.50562, 78.33821 12.50477)"
25,121,KCR T,DD,28,122-121,180,184.5798106868662,0.81,466,"56°31'36""(RT)",12.50477,78.33821,GOOD,GOOD,"LT LINE-1,11KV LINE-2",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33821 12.50477, 78.33832 12.50258)"
26,120,GCR S,DA,26,121-120,240,242.72071367419443,1.61,465,,12.50258,78.33832,GOOD,GOOD,"LT LINE-1, 11KV LINE-1",,SMALL FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33832 12.50258, 78.33841 12.5002)"
27,119,GCR S,DA,26,120-119,240,263.6397635823256,0.22,462,,12.5002,78.33841,GOOD,GOOD,,,SMALL FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33841 12.5002, 78.3385 12.49822)"
28,118,KCR T,DD,28,119-118,240,219.3977630626621,0.71,461,"45°07'29""(RT)",12.49822,78.3385,GOOD,GOOD,11KV LINE-1,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3385 12.49822, 78.33678 12.49638)"
29,117,GCR S,DA,26,118-117,275,276.5603737618596,0.61,459,,12.49638,78.33678,GOOD,GOOD,LT LINE-2,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33678 12.49638, 78.33524 12.49465)"
30,116,KCR T,DD,28,117-116,275,254.4248379695425,0.27,460,"34°34'03""(LT)",12.49465,78.33524,GOOD,GOOD,,"CANAL CROSSING, LAKE CROSSING IN SPAN(115 TO 116)",TOWER IN SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33524 12.49465, 78.33495 12.49219)"
31,115,GCR S,DA,26,116-115,280,274.1350551949978,2.36,457,,12.49219,78.33495,GOOD,GOOD,WIRE CABLE CROSSING,"HILLS CROSSING,RIVER,CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33495 12.49219, 78.33464 12.48961)"
32,114,HCR T,DB,24,115-114,280,287.58151281409727,0.75,466,"12°16'00""(RT)",12.48961,78.33464,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33464 12.48961, 78.33382 12.48727)"
