S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
82,65,HCR+3 T,DB+3,27,66-65,220,246.12820232365073,1.64,495,"11°03'30""(LT)",12.39585,78.29868,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29868 12.39585, 78.29781 12.39451)"
83,64,KCR T,DD,28,65-64,210,175.9715152703472,1.46,477,"28°03'41""(RT)",12.39451,78.29781,GOOD,GOOD,"LT LINE-1,33KV LINE-1,WIRE CABLE CROSSING,",BUILDING CROSSING (KAVERIPATTINAM TO KAKKONGARAI TAR ROAD CROSSING),,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29781 12.39451, 78.29539 12.39317)"
84,63,KCR+3 T,DD+3,31,64-63,305,302.23757776434,1.69,475,"38°13'31""(LT)",12.39317,78.29539,GOOD,GOOD,LT LINE CROSSING,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29539 12.39317, 78.29446 12.39095)"
85,62,GCR S,DA,26,63-62,270,265.77386173083744,1.57,471,,12.39095,78.29446,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29446 12.39095, 78.29353 12.38875)"
86,61,HCR T,DC,26,62-61,270,263.72848642735255,0.79,473,"28°05'13""(RT)",12.38875,78.29353,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29353 12.38875, 78.29152 12.38713)"
87,60,KCR T,DD,28,61-60,260,282.8435014828516,1.38,466,"42°48'10""(RT)",12.38713,78.29152,GOOD,GOOD,"LT LINE-1, CANAL CROSSING",,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29152 12.38713, 78.28916 12.38727)"
88,59,HCR T,DB,24,60-59,290,257.2778412021297,1.78,462,"12°16'40""(LT)",12.38727,78.28916,GOOD,GOOD,LT LINE-1 ,VELAMPATTI TAR ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28916 12.38727, 78.28667 12.38689)"
89,58,KCR T,DD,28,59-58,260,274.2035523767382,0.87,460,"55°11'08""(LT)",12.38689,78.28667,GOOD,GOOD,"LT LINE-1,11KV LINE-1",,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28667 12.38689, 78.28606 12.38566)"
90,57,HCR T,DC,26,58-57,170,151.47988840803922,1.39,460,"16°37'33""(RT)",12.38566,78.28606,GOOD,GOOD,LT LINE-1,"WATER POND CROSSING,TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28606 12.38566, 78.28432 12.38379)"
91,56,HCR T,DC,26,57-56,280,280.5440193056289,1.57,457,"27°45'44""(RT)",12.38379,78.28432,GOOD,GOOD,LT LINE-1,"TAR ROAD CROSSING, WATER POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28432 12.38379, 78.28203 12.38298)"
92,55,GCR+3 S,DA+3,29,56-55,270,264.83976824822423,1.64,460,,12.38298,78.28203,GOOD,GOOD,LT LINE CROSSING,WATER POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28203 12.38298, 78.27974 12.38224)"
93,54,HCR T,DB,24,55-54,260,262.31868818065357,1.73,457,"10°56'56""(LT)",12.38224,78.27974,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27974 12.38224, 78.27808 12.38133)"
94,53,GCR S,DA,26,54-53,230,206.8336014110436,1.24,457,,12.38133,78.27808,GOOD,GOOD,"LT LINE-1, 11KV LINE-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27808 12.38133, 78.27628 12.38033)"
95,52,KCR T,DD,28,53-52,230,224.99653385311188,0.97,459,"29°48'31""(LT)",12.38033,78.27628,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27628 12.38033, 78.27492 12.37808)"
96,51,HCR+3 T,DB+3,27,52-51,255,289.7298129124698,6.37,457,"03°57'21""(RT)",12.37808,78.27492,GOOD,GOOD,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27492 12.37808, 78.27416 12.377)"
97,50,GCR S,DA,26,51-50,200,145.37614448189802,5.23,453,,12.377,78.27416,GOOD,GOOD,,CANAL CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27416 12.377, 78.27263 12.37479)"
98,49,KCR T,DD,28,50-49,250,295.9328552079233,1.52,452,"39°56'31""(LT)",12.37479,78.27263,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27263 12.37479, 78.27282 12.37292)"
99,48,KCR T,DD,28,49-48,205,208.0417282865018,1.83,452,"35°03'57""(RT)",12.37292,78.27282,GOOD,GOOD,,,COCONUT TREE FARM,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27282 12.37292, 78.27187 12.37126)"
100,47,KCR T,DD,28,48-47,210,210.85002279949438,3.48,450,"59°59'00""(RT)",12.37126,78.27187,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27187 12.37126, 78.2694 12.37138)"
101,46,HCR T,DB,24,47-46,262,269.1291681943839,1.32,448,"11°12'55""(LT)",12.37138,78.2694,GOOD,GOOD,"LT LINE-1,11KV LINE-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2694 12.37138, 78.26733 12.37108)"
102,45,KCR+3 T,DB+3,27,46-45,250,227.70592565984313,1.78,444,"07°10'29""(LT)",12.37108,78.26733,GOOD,GOOD,LT LINE-2,"CANAL CROSSING,HOUSE HOLD AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26733 12.37108, 78.2647 12.37036)"
103,44,HCR+3 T,DC+3,29,45-44,330,297.10605693612393,3.86,442,"20°02'03""(LT)",12.37036,78.2647,GOOD,GOOD,,PENNAIYARU RIVER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2647 12.37036, 78.26308 12.36922)"
104,43,GCR S,DA,26,44-43,280,216.81442477144222,6.72,448,,12.36922,78.26308,GOOD,GOOD,LT LINE-1,"TAR ROAD CROSSING, CANAL CROSSING",AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26308 12.36922, 78.2609 12.3677)"
105,42,HCR T,DB,24,43-42,290,290.85991745152904,6.34,436,"12°09'02""(LT)",12.3677,78.2609,GOOD,GOOD,33KV LINE-1,CANAL CROSSING,AGRICULTURE INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2609 12.3677, 78.25925 12.36593)"
106,41,GCR S,DA,26,42-41,250,265.77909365255226,4.37,437,,12.36593,78.25925,GOOD,GOOD,,,"COCONUT TREE FARM,AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25925 12.36593, 78.25674 12.36426)"
107,40,HCR T,DD,28,41-40,260,258.6155413913723,0.37,442,"25°18'51""(LT)",12.36426,78.25674,GOOD,GOOD,"LT LINE-1,33KV LINE-1",,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25674 12.36426, 78.25695 12.36251)"
108,39,GCR+3 S,DA+3,29,40-39,230,206.4080427235384,0.93,444,,12.36251,78.25695,GOOD,GOOD,,HILLS AREA,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25695 12.36251, 78.25635 12.36094)"
109,38,KCR T,DD,28,39-38,190,185.66516324189053,0.73,446,"45°39'24""(RT)",12.36094,78.25635,GOOD,GOOD,,HILLS CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25635 12.36094, 78.25494 12.36033)"
110,37,KCR+3 T,DD+3,31,38-37,140,167.65450705177673,0.99,445,"34°04'16""(RT)",12.36033,78.25494,GOOD,GOOD,,SMALL HILL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25494 12.36033, 78.25237 12.36079)"
111,36,KCR+3 T,DD+3,31,37-36,300,284.29691555783296,1.95,446,"64°57'58""(LT)",12.36079,78.25237,GOOD,GOOD,11KV LINE-1,SOBANUR TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25237 12.36079, 78.2511 12.35903)"
112,35,HCR T,DC,26,36-35,250,238.88448340208646,1.09,446,"18°39'22""(LT)",12.35903,78.2511,GOOD,GOOD,,SMALL ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2511 12.35903, 78.25074 12.35785)"
113,LILO POINT(1),T,T,26,35-01 LILO,,136.37899169620505,,442,,12.35785,78.25074,GOOD,GOOD,,"SOBANUR X READ,MANGO FARM INSIDE TOWER",AGRICULTURE LAND,(KARIMANGALAM TO PANEESWARAMADAM LINE TAPPING),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
