Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
281 LILO TOWER,,NA(T),T,36,,180,,1.47,894,,12.72361,77.83288,Good,Good,"11KV LINE-(2),LT LINE-1,WIRE CABLE CROSSING",APPARTMENT CROSSING,TAR ROAD CROSS(HOSUR TO OUTER RING ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83288 12.72361, 77.83351 12.72387)"
280,,NA(T),DD,36,281-280,90,74.27754919,1.06,893,"49°53'31""(RT)",12.72387,77.83351,Good,Good,"11KV LINE-(1),LT LINE-(2),33KV LINE-(1)",CEMENT ROAD CROSSING,APPARTMMENT OR HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83351 12.72387, 77.83584 12.7227)"
279,,NA(T),DC,34,280-279,270,284.4483451,0.79,897,"16°25'28""(LT)",12.7227,77.83584,Good,Good,"11KV LINE-1, WIRE CABLE-4",CEMENT ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83584 12.7227, 77.836965 12.722492)"
278,,NA(T),DB,32,279-278,310,124.4236855,0.68,891,"07°48'53""(LT)",12.722492,77.836965,Good,Good,,TAR ROAD CROSSING(NH44 HOSUR RING ROAD CROSSING),TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.836965 12.722492, 77.839194 12.722383)"
277,,NA(T),DB,32,278-277,323,242.566514,6.91,870,"00°00'00""",12.722383,77.839194,Good,Good,"LT LINE-4,11KV LINE-1",SAND ROAD CROSSING,"DEEP INSIDE,TOWER HILLS,APPARTMENTS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.839194 12.722383, 77.842159 12.722238)"
276,,NA(S),DA,34,277-276,330,322.6611619,1.07,877,"00°00'00""",12.722238,77.842159,Good,Good,"LT LINE-3,WIRE CABLE-10",SAND ROAD CROSSING,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.842159 12.722238, 77.84436 12.72215)"
275,,LA (T),DB,32,276-275,125,239.4224389,3.05,887,"00°00'00""",12.72215,77.84436,Good,Good,"WIRE CABLE-7,LT LINE-2",APPARTMENT CROSSING,,TAPPING POINT INSIDE GOING TO SHOOLAGIRI AND SS-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84436 12.72215, 77.84601 12.72205)"
274,,LA(T),DB,32,275-274,330,179.6783542,3.91,882,"00°00'00""",12.72205,77.84601,Good,Good,LT LINE-1,TAR ROAD CROSSING,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84601 12.72205, 77.84892 12.7219)"
273(TAPPING POINT),,NA(T),DB,32,274-273 TAPPING,290,316.7215795,10.26,876,"03°19'19""(RT)",12.7219,77.84892,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84892 12.7219, 77.851455 12.721624)"
272 LILO POINT,3W,GCR+6M(T),DB+6,38,273 TAPPING-272 LILO,215,277.2175432,17.5,859,"00°00'00""",12.721624,77.851455,Good,Good,,TOWER PIT AREA,LILO POINT TOWER NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851455 12.721624, 77.853476 12.721393)"
271,,GCR(T),DB,32,272 LILO-271,215,221.1462502,10.16,854,"00°00'00""",12.721393,77.853476,Good,Good,,TOWER PIT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853476 12.721393, 77.85542 12.72114)"
270,,GCR(S),DA,34,271-270,220,213.1424356,9.11,852,"00°00'00""",12.72114,77.85542,Good,Good,"LT LINE-2,11KV LINE-1","TAR ROAD CROSSING,SMALL CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85542 12.72114, 77.85722 12.72099)"
269,,GCR+3M(T),DB+3,35,270-269,270,196.3464928,5.76,849,"00°00'00""",12.72099,77.85722,Good,Good,,"TOWER IN LAKE,LAKE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85722 12.72099, 77.859886 12.720704)"
268,,HCR(T),DB,32,269-268,270,291.4946047,2.07,842,"02°40'16""(LT)",12.720704,77.859886,Good,Good,"LT LINE-1,WIRE CABLE-1",TOWER IN HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.859886 12.720704, 77.862338 12.720554)"
267,,HCR+3M(T),DC+3,37,268-267,250,267.0275555,0.91,856,"19°08'56""(RT)",12.720554,77.862338,Good,Good,"LT LINE-2,WIRE CABLE-5","SAND ROAD CROSSING,APPARTMENT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.862338 12.720554, 77.864472 12.719677)"
266,,GCR(S),DA,34,267-266,240,251.4514105,4.5,8557,"00°00'00""",12.719677,77.864472,Good,Good,,"APPARTMENT AREA,AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.864472 12.719677, 77.8664 12.71883)"
265  LILO POINT,2W,LILO (T),DD,36,266-265,250,229.5839679,13.44,859,"101°42'24""(LT)",12.71883,77.8664,Good,Good,,"ADHIYAMMAN ENGINEERING COLLEGE INSIDE TOWER,APPARTMENT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8664 12.71883, 77.86668 12.72008)"
1,,T,DB,32,2655LILO -01,,141.7024235,7.6,865,"06°46'13""(RT)",12.72008,77.86668,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86668 12.72008, 77.86685 12.72056)"
