S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation (M),Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,122/21 LILO,T,DB,24,,,5.9,317,,11.18225,77.38691666666668,GOOD,GOOD,NO,,,PLAIN,LILO FROM ARASUR TO THINGALUR 110KV LINE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38691666666668 11.18225, 77.3866388888889 11.183944444444444)"
2,20,S ,DA,26,122/21lilo -20,193.0181,4.8,316,,11.183944444444444,77.3866388888889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3866388888889 11.183944444444444, 77.38622222222223 11.18625)"
3,19,S,DA,26,20-19,259.1158,3.6,310,,11.18625,77.38622222222223,GOOD,GOOD,NO,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38622222222223 11.18625, 77.38575 11.188805555555556)"
4,18,T,DD,26,19-18,287.1237,9.15,312,"47°51'56""LT",11.188805555555556,77.38575,GOOD,GOOD,NO,230KV DC LINE IS GOING  ABOVE OUR LINE,ROAD,CULTIVATION,230 KV NGPS(L/S) to INGUR (R/S) DC LINE(CONSTRUCTED LINE) LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38575 11.188805555555556, 77.38361111111112 11.190111111111111)"
5,17,S,DA,32,18-17,273.7152,6.7,317,,11.190111111111111,77.38361111111112,GOOD,GOOD,NO,,RIVER,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38361111111112 11.190111111111111, 77.38155555555555 11.191416666666667)"
6,16,S,DA,32,17-16,266.9082,5.4,315,,11.191416666666667,77.38155555555555,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38155555555555 11.191416666666667, 77.37947222222222 11.192722222222223)"
7,15 -LILO NETHAJI PARK,T,DD,28,16-15lilo,270.3035,2.9,315,"43°19'25""RT",11.192722222222223,77.37947222222222,GOOD,GOOD,NO,,,CULTIVATION,NETHAJI PARK LILO FROM POOMALUR 110KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37947222222222 11.192722222222223, 77.37880555555554 11.195194444444445)"
8,14,S,DA,26,15lilo-14,282.8516,3.4,318,,11.195194444444445,77.37880555555554,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37880555555554 11.195194444444445, 77.37827777777777 11.197277777777778)"
9,13,S,DA,26,14-13,237.95,6.2,319,,11.197277777777778,77.37827777777777,GOOD,GOOD,NO,"2Nos LT,11KV",ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37827777777777 11.197277777777778, 77.37758333333332 11.19988888888889)"
10,12,T,DB,24,13-12,299.08,2.6,320,"3°49'13""LT",11.19988888888889,77.37758333333332,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37758333333332 11.19988888888889, 77.37672222222221 11.202305555555554)"
11,11,S,DA,26,12-11,284.68,7.3,321,,11.202305555555554,77.37672222222221,GOOD,GOOD,NO,LT,ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37672222222221 11.202305555555554, 77.37613888888889 11.203944444444444)"
12,10,S,DA,26,11-10,191.04,5.7,328,,11.203944444444444,77.37613888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37613888888889 11.203944444444444, 77.37533333333333 11.206583333333333)"
13,9,T,DB,24,10-9,306.15,4.8,335,"2°34'35""LT",11.206583333333333,77.37533333333333,GOOD,GOOD,NO,"LT,11kv",ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37533333333333 11.206583333333333, 77.37466666666666 11.208305555555555)"
14,8,T,DB,30,9-8,202.97,9.4,332,"13°53'45""LT",11.208305555555555,77.37466666666666,GOOD,GOOD,NO,"2NosLT,11kv","ROAD,NH",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37466666666666 11.208305555555555, 77.37363888888888 11.209722222222222)"
15,7,S,DA,32,8-7,194.02,3.8,332,,11.209722222222222,77.37363888888888,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37363888888888 11.209722222222222, 77.37252777777778 11.21136111111111)"
16,6,T,DD,28,7-6,216.36,_,329,"49°24'2""LT",11.21136111111111,77.37252777777778,GOOD,GOOD,NO,"LT,11kv",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37252777777778 11.21136111111111, 77.36988888888888 11.211583333333333)"
17,5,S,DA,26,6-5,288,7.1,327,,11.211583333333333,77.36988888888888,GOOD,GOOD,NO,2Nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36988888888888 11.211583333333333, 77.36783333333332 11.211805555555555)"
18,4,S,DA,26,5-4,228.06,2.1,336,,11.211805555555555,77.36783333333332,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36783333333332 11.211805555555555, 77.36544444444444 11.212055555555555)"
19,3,T,DD,34,4-3,260.3,_,331,"40°50'52""RT",11.212055555555555,77.36544444444444,GOOD,GOOD,NO,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36544444444444 11.212055555555555, 77.36433333333333 11.213166666666666)"
20,2,S,DA,26,3-2,173.95,4.5,331,,11.213166666666666,77.36433333333333,GOOD,GOOD,NO,2Nos LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36433333333333 11.213166666666666, 77.36261111111111 11.215027777777777)"
21,1,T,DD,28,2-1,276.63,2.8,332,"64°12'26""RT",11.215027777777777,77.36261111111111,GOOD,GOOD,YES,"3Nos LT,11kv",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36261111111111 11.215027777777777, 77.36274999999999 11.215333333333332)"
22,perumanallur 110KV Gantry ,,,,1-GANTRY,37.34,_,332,,11.215333333333332,77.36274999999999,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL LENGTH,=SUM(G8:G28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
