S. No ,Tower No,Joint Box, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, 231(Lilo),,T,26,,,15.93,245,,11.43689,77.33856,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33856 11.43689, 77.33852 11.43653)"
2,1,,T,24,231-01,40.07721414,1551(1000),241,"11⁰56'44"" LT",11.43653,77.33852,GOOD,GOOD,LT,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33852 11.43653, 77.33872 11.43455)"
3,2,,S,26,01-Feb,220.1974883,1514(1000),241,,11.43455,77.33872,GOOD,GOOD,11 KV,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33872 11.43455, 77.33897 11.43186)"
4,3,,S,26,02-Mar,298.9314477,1592(1000),242,,11.43186,77.33897,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33897 11.43186, 77.33922 11.42939)"
5,4,,S,26,03-Apr,274.6963319,16.22,246,,11.42939,77.33922,GOOD,GOOD,LT,TAAR, CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33922 11.42939, 77.33949 11.42674)"
6,5,,S,26,04-May,294.7341063,1627(1000),244,,11.42674,77.33949,GOOD,GOOD,LT / 11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33949 11.42674, 77.33974 11.42455)"
7,6,,T,28,05-Jun,243.8835589,622(1000),251,"35⁰40'33"" RT",11.42455,77.33974,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33974 11.42455, 77.33823 11.42189)"
8,7,,S,26,06-Jul,337.3802684,16.18,256,,11.42189,77.33823,GOOD,GOOD,LT,TAAR,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33823 11.42189, 77.3369 11.41949)"
9,8,,S,26,07-Aug,302.6905999,15.12,261,,11.41949,77.3369,GOOD,GOOD,LT,SAND/ TAAR,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3369 11.41949, 77.3357 11.41739)"
10,9,2W,T,24,08-Sep,266.7755675,1632(1000),267,"11⁰29'40"" LT",11.41739,77.3357,GOOD,GOOD,11 KV,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3357 11.41739, 77.33492 11.41501)"
