S. No ,Tower No,JOINT BOX, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,TAPPING 1,,T,26,,,12.93,283,,11.20932,77.53033,GOOD,GOOD,,,,Tapping to Palladam Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53033 11.20932, 77.52943 11.20883)"
2,242,3W,S,26,1-242,112.3043553,9.67,277,,11.20883,77.52943,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52943 11.20883, 77.5278 11.20798)"
3,241,,S,26,242-241,201.4272986,21.01,282,,11.20798,77.5278,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5278 11.20798, 77.52591 11.20704)"
4,240,,T,24,241-240,231.2439038,13.06,287,"4⁰21'15"" RT",11.20704,77.52591,GOOD,GOOD,,TAR ROAD/FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52591 11.20704, 77.524099 11.206011)"
5,239,,S,26,240-239,228.3187861,12.95,290,,11.206011,77.524099,GOOD,GOOD,LT,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.524099 11.206011, 77.52229 11.20506)"
6,238,,S,26,239-238,223.9450572,10.67,291,,11.20506,77.52229,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52229 11.20506, 77.52073 11.20423)"
7,237,,S,26,238-237,193.6377397,13.89,290,,11.20423,77.52073,GOOD,GOOD,LT/11KV,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52073 11.20423, 77.51886 11.20326)"
8,236,,S,26,237-236,230.8208471,13.45,291,,11.20326,77.51886,GOOD,GOOD,230 KV SC,FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51886 11.20326, 77.51706 11.2023)"
9,235,,S,26,236-235,223.5499522,20.01,294,,11.2023,77.51706,GOOD,GOOD,LT,TAR ROAD,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51706 11.2023, 77.51518 11.20131)"
10,234,,T,24,235-234,232.8227724,10.91,303,"0⁰7'35"" LT",11.20131,77.51518,GOOD,GOOD,,,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51518 11.20131, 77.51331 11.20032)"
11,233,,S,26,234-233,231.8594875,10.87,319,,11.20032,77.51331,GOOD,GOOD,,,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51331 11.20032, 77.51206 11.19967)"
12,232,,S,26,233-232,154.3754075,9.92,319,,11.19967,77.51206,GOOD,GOOD,,,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51206 11.19967, 77.51069 11.19893)"
13,231,,S,26,232-231,170.6404514,8.74,311,,11.19893,77.51069,GOOD,GOOD,,,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51069 11.19893, 77.50888 11.19799)"
14,230,2W,T,24,231-230,223.4741711,7.98,301,"11⁰39'0"" RT",11.19799,77.50888,GOOD,GOOD,,,HILLS / FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50888 11.19799, 77.50716 11.1975)"
15,229,,S,26,230-229,195.6148865,7.8,299,,11.1975,77.50716,GOOD,GOOD,,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50716 11.1975, 77.50529 11.19698)"
