S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1 MUTHUR LILO,,T,DD,28,,,9,275,"98°1'33""",11.02399013,77.64157147,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64157147 11.02399013, 77.64004911 11.02453645)"
2,T.NO 28,2W,T,DC,26,Jan-28,177.1157813,2.94,281,,11.02453645,77.64004911,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64004911 11.02453645, 77.63768186 11.02571354)"
3,T.NO 27,2W,T,DB,24,28-27,289.799931,1.17,277,"8°40'9""",11.02571354,77.63768186,GOOD,MISSING,400KV SC LINE,"ROAD,MUD ROAD",PLAIN,"NO EARTH WIRE, 400KV SC LINE CROSSING ABOVE OUR LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63768186 11.02571354, 77.63552979 11.02640988)"
4,T.NO 26,,S,DA,26,27-26,247.6307735,1.27,279,,11.02640988,77.63552979,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63552979 11.02640988, 77.63345063 11.02707848)"
5,T.NO 25,,S,DA,26,26-25,239.0983061,3.18,283,,11.02707848,77.63345063,GOOD,GOOD,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63345063 11.02707848, 77.63168148 11.02764498)"
6,T.NO 24,,T,DC,26,25-24,203.3642053,6.86,287,"27°55'19""",11.02764498,77.63168148,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63168148 11.02764498, 77.62897042 11.02718967)"
7,T.NO 23,,S,DA,26,24-23,300.7074991,9.34,290,,11.02718967,77.62897042,GOOD,GOOD,LT-2,"ROAD,MUD ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62897042 11.02718967, 77.62613093 11.02669026)"
8,T.NO 22,,T,DC,26,23-22,315.3791369,3.89,290,"29°34'32""",11.02669026,77.62613093,GOOD,GOOD,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62613093 11.02669026, 77.62338665 11.02764464)"
9,T.NO 21,,S,DA,26,22-21,318.1351914,8.18,294,,11.02764464,77.62338665,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62338665 11.02764464, 77.62066072 11.02860788)"
10,T.NO 20,,S,DA,26,21-20,316.5706872,1.17,296,,11.02860788,77.62066072,GOOD,GOOD,400KV SC LINE,MUD ROAD,AGRI,400KV SC LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62066072 11.02860788, 77.61816267 11.02948781)"
11,T.NO 19,,S,DA,26,20-19,290.0017241,2.83,290,,11.02948781,77.61816267,GOOD,GOOD,,"ROAD,MUD ROAD,DRAIN",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61816267 11.02948781, 77.61561927 11.03041329)"
12,T.NO 18,,S,DA,26,19-18,296.3798239,3.08,289,,11.03041329,77.61561927,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61561927 11.03041329, 77.61311219 11.03131133)"
13,T.NO 17,,S,DA,26,18-17,291.6058984,1.53,291,,11.03131133,77.61311219,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61311219 11.03131133, 77.61055014 11.03220079)"
14,T.NO 16,,T,DD,28,17-16,296.9461231,4,298,"31°5'22""",11.03220079,77.61055014,GOOD,GOOD,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61055014 11.03220079, 77.60868606 11.03445757)"
15,T.NO 15,2W,T,DD,28,16-15,322.3972705,1.72,299,"38°29'26""",11.03445757,77.60868606,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60868606 11.03445757, 77.6059386 11.03506851)"
16,T.NO 14,,S,DA,26,15-14,307.9383055,4.31,295,,11.03506851,77.6059386,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6059386 11.03506851, 77.60316328 11.03563449)"
17,T.NO 13,,S,DA,26,14-13,309.8644865,5.03,287,,11.03563449,77.60316328,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60316328 11.03563449, 77.60032457 11.03627328)"
18,T.NO 12,,S,DA,26,13-Dec,318.3472946,2.65,286,,11.03627328,77.60032457,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60032457 11.03627328, 77.59771367 11.03681973)"
19,T.NO 11,,T,DD,28,12-Nov,291.8218635,4.96,294,"38°52'6""",11.03681973,77.59771367,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59771367 11.03681973, 77.59624788 11.03862128)"
20,T.NO 10,,S,DA,26,11-Oct,255.8280673,9.34,293,,11.03862128,77.59624788,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59624788 11.03862128, 77.59479098 11.04039564)"
21,T.NO 9,,S,DA,26,10-Sep,252.8754634,5.12,291,,11.04039564,77.59479098,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59479098 11.04039564, 77.59331616 11.04221533)"
22,T.NO 8,,T,DD,28,09-Aug,258.0096897,2.39,294,"34°39'33""",11.04221533,77.59331616,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59331616 11.04221533, 77.5908162 11.04290535)"
23,T.NO 7,,S,DA,26,08-Jul,283.8168423,1.13,287,,11.04290535,77.5908162,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5908162 11.04290535, 77.58828934 11.04365883)"
24,T.NO 6,,S,DA,26,07-Jun,288.6000693,3.92,288,,11.04365883,77.58828934,GOOD,GOOD,,MUD ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58828934 11.04365883, 77.58564421 11.04448559)"
25,T.NO 5,,S,DA,26,06-May,303.3496333,1.89,286,,11.04448559,77.58564421,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58564421 11.04448559, 77.58307143 11.04522135)"
26,T.NO 4,,S,DA,26,05-Apr,292.8566202,1.34,288,,11.04522135,77.58307143,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58307143 11.04522135, 77.58037099 11.04600336)"
27,T.NO 3,,T,DB,24,04-Mar,307.6881538,1.15,291,"8°48'28""",11.04600336,77.58037099,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58037099 11.04600336, 77.57858934 11.04621733)"
28,T.NO 2,,S,DA,26,03-Feb,196.2371015,1.83,286,,11.04621733,77.57858934,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57858934 11.04621733, 77.57675329 11.04648597)"
29,T.NO 1,,T,DB,24,02-Jan,202.9408781,2.75,281,"5°8'34""",11.04648597,77.57675329,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57675329 11.04648597, 77.57587697 11.04668317)"
30,T.NO 269 LILO,2W,T,DD,28,1-269,98.27003612,3.89,285,"145°17'56""",11.04668317,77.57587697,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57587697 11.04668317, 77.5773271 11.04725812)"
31,T.NO 270,,T,DB,24,269-270,170.8478856,1.91,286,"9°25'36""",11.04725812,77.5773271,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5773271 11.04725812, 77.57912005 11.04833611)"
32,T.NO 271,,S,DA,26,270-271,229.4907406,2.56,285,,11.04833611,77.57912005,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57912005 11.04833611, 77.5810509 11.04949423)"
33,T.NO 272,,T,DD,28,271-272,246.9817807,5.93,283,"39°4'28""",11.04949423,77.5810509,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5810509 11.04949423, 77.5818385 11.05170115)"
34,T.NO 273,,S,DA,26,272-273,259,1.98,278,,11.05170115,77.5818385,GOOD,GOOD,LT,"ROAD,MUDROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5818385 11.05170115, 77.58261626 11.05382684)"
35,T.NO 274,,S,DA,26,273-274,250.1699422,2.44,276,,11.05382684,77.58261626,GOOD,GOOD,LT-2,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58261626 11.05382684, 77.58343157 11.05606062)"
36,T.NO 275,,S,DA,26,274-275,262.8174271,1.89,272,,11.05606062,77.58343157,GOOD,GOOD,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58343157 11.05606062, 77.58414422 11.05806036)"
37,T.NO 276,,T,DB,24,275-276,234.6486736,3.46,271,"10°47'44""",11.05806036,77.58414422,GOOD,GOOD,"HT,LT-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58414422 11.05806036, 77.58553575 11.06028921)"
38,T.NO 277,,S,DA,26,276-277,289.8344355,4.61,267,,11.06028921,77.58553575,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58553575 11.06028921, 77.58679942 11.06253721)"
39,T.NO 278,,S,DA,26,277-278,284.597962,3.81,266,,11.06253721,77.58679942,GOOD,GOOD,,"MUD ROAD,DRAIN",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58679942 11.06253721, 77.58805405 11.06479431)"
40,T.NO 279,,S,DA,26,278-279,285.0017544,5.03,269,,11.06479431,77.58805405,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58805405 11.06479431, 77.58925136 11.0667718)"
41,T.NO 280,,S,DA,26,279-280,255.0313706,7.31,265,,11.0667718,77.58925136,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58925136 11.0667718, 77.59063359 11.06897358)"
42,T.NO 281,,T,DC,26,280-281,286.7507629,6.36,269,"26°23'43""",11.06897358,77.59063359,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59063359 11.06897358, 77.59081093 11.07145675)"
43,T.NO 282,2W,T,DC,26,281-282,275.5249535,2.53,268,"23°24'53""",11.07145675,77.59081093,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59081093 11.07145675, 77.59220633 11.07411016)"
44,T.NO 283,2W,T,DB,24,282-283,330.9456149,2.48,267,"10°58'57""",11.07411016,77.59220633,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59220633 11.07411016, 77.59299897 11.07686812)"
45,T.NO 284,,S,DA,26,283-284,317.3200277,1.71,265,,11.07686812,77.59299897,GOOD,GOOD,"HT,LT-2",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59299897 11.07686812, 77.59388389 11.07971564)"
46,T.NO 285,,T,DC,26,284-285,329.6846979,5.852,270,"29°38'52""",11.07971564,77.59388389,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59388389 11.07971564, 77.59331119 11.08219621)"
47,T.NO 286,,S,DA,26,285-286,281.6043324,9.51,263,,11.08219621,77.59331119,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59331119 11.08219621, 77.59271072 11.08464088)"
48,T.NO 287,,S,DA,26,286-287,278.4313201,7.23,266,,11.08464088,77.59271072,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59271072 11.08464088, 77.59214707 11.08711234)"
49,T.NO 288,,S,DA,26,287-288,280.4014979,5.95,260,,11.08711234,77.59214707,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59214707 11.08711234, 77.59153792 11.0896113)"
