Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
272(LILO POINT),,T,T,38,,,,17.5,813,,12.721624,77.851455,3W,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851455 12.721624, 77.85152 12.72212)"
1,,KCR+3M)T),DC+3,37,272-01,,55.36730397,2.28,866,"21°13'58""(RT)",12.72212,77.85152,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85152 12.72212, 77.85213 12.72322)"
DP-01,,(T),DB,32,01-DP-01,,138.6642203,3.62,868,"00°00'00""",12.72322,77.85213,,,,,Good,Good,220kv CROSSING HOSUR TO SHOOLAGIRI(T.No 357 to 356) ,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85213 12.72322, 77.85262 12.72412)"
2,,HCR(T),DB,32,01-Feb,135,112.9833952,3.86,871,"00°00'00""",12.72412,77.85262,,,,,Good,Good,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85262 12.72412, 77.853105 12.725089)"
3,,GCR(T),DD,36,02-Mar,160,119.5342516,4.32,877,"67°02'38""(RT)",12.725089,77.853105,,,,,Good,Good,"1)LT-3,2)CABLE CROSSING -2",1)TAR ROAD CROSSING.2)APPARTMENT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853105 12.725089, 77.85345 12.72507)"
4,,HCR(T),DD,36,03-Apr,100,37.55649402,5.73,876,"77°37'19""(LT)",12.72507,77.85345,,,,,Good,Good,,APPARTMENT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85345 12.72507, 77.85372 12.72602)"
5,,GCR(T),DC,34,04-May,200,109.1967488,4.67,876,"18°36'42""(RT)",12.72602,77.85372,,,,,Good,Good,,APPARTMENT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85372 12.72602, 77.8548 12.72758)"
6,,HCR(T),DC,34,05-Jun,250,208.8291095,6.02,869,"17°08'48""(LT)",12.72758,77.8548,,,,,Good,Good,"1)LT-2,NH 44,2)11KV-1,  3)33KV-1",AGRICULTURE LAND AREA,APPARTMENT AREA. NURSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8548 12.72758, 77.85545 12.72966)"
7,,HCR(S),DA,34,06-Jul,270,240.8810249,2.66,855,"00°00'00""",12.72966,77.85545,,,,,Good,Good,11KV-1,SAND ROAD CROSSING,COCONUT TREE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85545 12.72966, 77.8561 12.73174)"
8,,HCR(S),DA,34,07-Aug,290,240.8810164,4.86,852,"00°00'00""",12.73174,77.8561,,,,,Good,Good,LT LINE PASSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8561 12.73174, 77.8567 12.73368)"
9,,HCR+3M(T),DB+3,35,08-Sep,280,224.4695815,3.67,853,"10°19'30""(LT)",12.73368,77.8567,,,,,Good,Good,,CANAL ROAD CROSSING,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8567 12.73368, 77.85702 12.73641)"
