S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,T.NO 36,T,DC,26,37-36,307.9366818032564,5.2,374,"22°48'12""",77.16372222222223,11.191972222222223,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16372222222223 11.191972222222223, 77.16094444444445 11.191055555555556)"
13,T.NO 35,S,DA,26,36-35,320.0281237641467,4.85,375,"00°00'00""",77.16094444444445,11.191055555555556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16094444444445 11.191055555555556, 77.1585 11.190277777777778)"
14,T.NO 34,S,DA,26,35-34,281.12808468738945,3.95,373,"00°00'00""",77.1585,11.190277777777778,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1585 11.190277777777778, 77.1558888888889 11.189444444444444)"
15,T.NO 33,S,DA,26,34-33,298.8394217635953,5.6,369,"00°00'00""",77.1558888888889,11.189444444444444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1558888888889 11.189444444444444, 77.15333333333334 11.188638888888889)"
16,T.NO 32,T,DB,24,33-32,293.4655005277452,5.18,373,"14°35'12""",77.15333333333334,11.188638888888889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15333333333334 11.188638888888889, 77.15077777777779 11.1885)"
17,T.NO 31,S,DA,26,32-31,278.5821243367923,6.25,375,"00°00'00""",77.15077777777779,11.1885,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15077777777779 11.1885, 77.14805555555556 11.188333333333334)"
18,T.NO 30,S,DA,26,31-30,298.67038688159226,3.45,377,"00°00'00""",77.14805555555556,11.188333333333334,GOOD,GOOD,"4nos LT,HT",MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14805555555556 11.188333333333334, 77.14522222222223 11.188166666666667)"
19,T.NO 29,T,DB,24,30-29,309.78218154051405,6.75,372,"1°12'16""",77.14522222222223,11.188166666666667,GOOD,GOOD,"2nos LT,HT,230kv CROSSING ABOVE OUR LINE",NIL,PLAIN,KARUVALUR -SYZLON & KARUVALUR - PGCIL 230KV DC LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14522222222223 11.188166666666667, 77.14288888888889 11.187972222222223)"
20,T.NO 28,S,DA,26,29-28,256.9435735720977,5.23,371,"00°00'00""",77.14288888888889,11.187972222222223,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14288888888889 11.187972222222223, 77.14183333333334 11.187888888888889)"
21,T.NO 27/1  PADUVAMPALLI LILO,T,DD,28,28-27/1,115.52488909321661,2.65,368,"56°31'20""",77.14183333333334,11.187888888888889,GOOD,GOOD,NIL,NIL,PLAIN,PADUVAMPALLI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14183333333334 11.187888888888889, 77.14030555555556 11.189805555555555)"
