Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
MTPH GANTRY,2W,T,20,,,,202,,11.79681,77.81071,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81071 11.79681, 77.810983 11.796722)"
1,,T,24,GANTRY TO 1,41,16,214,"2⁰00'51"" LT",11.796722,77.810983,GOOD,GOOD,,,Hard rock,Inside the 230 Kv mettur Power house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.810983 11.796722, 77.811658 11.79653)"
2,,T,28,1 TO 2,97,14,338,"35⁰25'15"" LT",11.79653,77.811658,GOOD,GOOD,,,Hard rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.811658 11.79653, 77.81288 11.796952)"
3,,T,28,2 TO 3,161,15,364,"57⁰3'4"" RT",11.796952,77.81288,GOOD,GOOD,,Tar road ,Hard rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81288 11.796952, 77.813162 11.796737)"
4,,T,28,3 to 4 ,59,18,314,"40⁰5'20"" LT",11.796737,77.813162,GOOD,GOOD,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.813162 11.796737, 77.815582 11.796835)"
5,,T,24,4 to 5,275,16,226,"2⁰7'19"" LT",11.796835,77.815582,GOOD,GOOD,,Tar road ,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.815582 11.796835, 77.819408 11.79713)"
6,,T,24,5 to 6,418.12,14,329,"1⁰5'50"" LT",11.79713,77.819408,GOOD,GOOD,,River crossing,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.819408 11.79713, 77.821822 11.797362)"
7,,T,26,6 to 7 ,277,12,350,"20⁰16'11"" RT",11.797362,77.821822,GOOD,GOOD,33kv/2-LT linecrossing ,Tar road ,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.821822 11.797362, 77.824933 11.796558)"
8,,S,26,7 to 8 ,361,18,323,,11.796558,77.824933,GOOD,GOOD,2-11 kv /33 kv line crossing ,"Tar Road ,Railway crossing ",hill,Railway line with electrical line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.824933 11.796558, 77.827808 11.795828)"
9,,S,26,8 to 9 ,334,15,326,,11.795828,77.827808,GOOD,GOOD,,Car Track,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.827808 11.795828, 77.830023 11.795315)"
10,,S,26,9  to 10,258,13,348,,11.795315,77.830023,GOOD,GOOD,,,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830023 11.795315, 77.832565 11.794547)"
11,,S,26,10 to 11,301,19,342,,11.794547,77.832565,GOOD,GOOD,,,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832565 11.794547, 77.83482 11.79409)"
12,,S,26,11 to 12 ,267,16,354,,11.79409,77.83482,GOOD,GOOD,2-Lt line crossing ,Tar road ,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83482 11.79409, 77.83701 11.79356)"
13,,T,26,12 to 13 ,261,17,350,"20⁰37'20"" LT",11.79356,77.83701,GOOD,GOOD,,,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83701 11.79356, 77.83998 11.79391)"
14,,T,28,13 to 14 ,336,15,375,"34⁰31'2"" LT",11.79391,77.83998,GOOD,GOOD,,,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83998 11.79391, 77.84253 11.79612)"
15,,T,24,14 to 15 ,370.4265732,20,365,"9⁰20'31"" RT",11.79612,77.84253,GOOD,GOOD,,,hill,Double circuit line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84253 11.79612, 77.843703 11.796842)"
16,,T,28,15 to 16 ,171,18,329,"49⁰22'28"" RT",11.796842,77.843703,GOOD,GOOD,,Canal,hill,Double circuit line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.843703 11.796842, 77.84692 11.79585)"
