Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 170,S,DA,26,169-170,269.93960529988647,6.31,267.406342,,77.52022222222222,10.802833333333334,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52022222222222 10.802833333333334, 77.52002777777777 10.805083333333334)"
T.NO 171,T,DB,24,170-171,251.7645350791769,5.19,269.540161,"0°15'0""",77.52002777777777,10.805083333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52002777777777 10.805083333333334, 77.51980555555555 10.807805555555555)"
T.NO 172,S,DA,26,171-172,302.7729428625443,6.18,264.571411,,77.51980555555555,10.807805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51980555555555 10.807805555555555, 77.51966666666667 10.810583333333334)"
T.NO 173,S,DA,26,172-173,306.93577566680887,5.62,264.612488,,77.51966666666667,10.810583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51966666666667 10.810583333333334, 77.51941666666667 10.813611111111111)"
T.NO 174,S,DA,26,173-174,335.26237947868304,6.33,262.107452,,77.51941666666667,10.813611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51941666666667 10.813611111111111, 77.51925 10.816111111111113)"
T.NO 175,T,DB,24,174-175,276.3354575773424,5.36,264.937744,"13°14'26""",77.51925,10.816111111111113,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51925 10.816111111111113, 77.51963888888889 10.818583333333333)"
T.NO 176 LILO MULANUR 110KV SS,T,DB,24,175-176,277.35011037430473,5.19,268.14801,"1°36'2""",77.51963888888889,10.818583333333333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,MULANUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51963888888889 10.818583333333333, 77.52005555555556 10.8205)"
T.NO 177,S,DA,26,176-177,217.51714812502988,4.95,268,,77.52005555555556,10.8205,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52005555555556 10.8205, 77.5205 10.822944444444444)"
T.NO 178 LILO RASIPALAYAM WF SS,T ,DB,24,177-178,275.86228448267445,5.2,276,"0°22'3""",77.5205,10.822944444444444,GOOD,GOOD,,TAAR ROAD,PLAIN,RASIPALAYAM WF LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5205 10.822944444444444, 77.52072222222222 10.82425)"
T.NO 179 LILO KUNDADAM 110KV,T ,DB,24,178-179,145.16886718577092,4.75,278,"3°53'55""",77.52072222222222,10.82425,GOOD,GOOD,HT,MUD ROAD,PLAIN,KUNDADAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52072222222222 10.82425, 77.521 10.825333333333333)"
T.NO 180/1 LILO RASIPALAYAM 400KV,T ,DD,28,179-180/1,125.63439019631528,3.69,273,"100°32'21""",77.521,10.825333333333333,GOOD,GOOD,,MUD ROAD,PLAIN,RASIPALAYAM  LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.521 10.825333333333333, 77.51830555555556 10.825527777777777)"
T.NO 2,T ,DB,24,180/1-2,297.4861341306515,5.05,284,"6°48'1""",77.51830555555556,10.825527777777777,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51830555555556 10.825527777777777, 77.51566666666666 10.826)"
T.NO 3,T,DC,26,2-3,291.49614062625255,4.75,290,"28°31'53""",77.51566666666666,10.826,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51566666666666 10.826, 77.51433333333334 10.827055555555555)"
T.NO 4,S,DA,26,3-4,188.2179587605816,6.05,294,,77.51433333333334,10.827055555555555,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51433333333334 10.827055555555555, 77.51202777777777 10.828916666666666)"
T.NO 5,T,DB,24,4-5,326.2590994899606,4.5,295,"1°25'48""",77.51202777777777,10.828916666666666,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51202777777777 10.828916666666666, 77.51047222222222 10.83011111111111)"
T.NO 6,S,DA,26,5-6,215,3.98,302,,77.51047222222222,10.83011111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51047222222222 10.83011111111111, 77.50880555555555 10.831388888888888)"
T.NO 7,T,DD,28,6-7,231.81242417092315,4.58,303,"43°44'25""",77.50880555555555,10.831388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50880555555555 10.831388888888888, 77.50586111111112 10.831083333333334)"
T.NO 8,S,DA,26,7-8,323.12536266904215,5.68,303,,77.50586111111112,10.831083333333334,GOOD,GOOD,"2nos HT,LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50586111111112 10.831083333333334, 77.50363888888889 10.83086111111111)"
T.NO 9,T,DC,26,8-9,245.60130292814003,4.9,303,"26°57'56""",77.50363888888889,10.83086111111111,GOOD,MISSING,110KV,,PLAIN,EARTHWIRES ARE DIAMOND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50363888888889 10.83086111111111, 77.5021388888889 10.831416666666666)"
T.NO 10,T,DC,26,9-10,174.9771413642365,6.35,300,"27°33'30""",77.5021388888889,10.831416666666666,GOOD,GOOD,400KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5021388888889 10.831416666666666, 77.50002777777777 10.831166666666666)"
T.NO 11,T,DC,26,10-11,232.81322986462774,5.25,298,"25°43'7""",77.50002777777777,10.831166666666666,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50002777777777 10.831166666666666, 77.49758333333334 10.831999999999999)"
T.NO 12,T,DC,26,11-12,282.7083302628347,5.02,301,"17°3'20""",77.49758333333334,10.831999999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49758333333334 10.831999999999999, 77.49619444444444 10.832055555555556)"
T.NO 13,T,DB,24,12-13,152.0526224699857,7.2,302,"14°40'54""",77.49619444444444,10.832055555555556,GOOD,GOOD,, ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49619444444444 10.832055555555556, 77.49591666666667 10.832138888888888)"
T.NO 14 DP,DP,DP,15,13-14,32.28002478313795,,302,,77.49591666666667,10.832138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49591666666667 10.832138888888888, 77.49525 10.832166666666666)"
T.NO 15 DP,DP,DP,15,14-15,71.06335201775947,,304,,77.49525,10.832166666666666,GOOD,MISSING,400KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49525 10.832166666666666, 77.49511111111111 10.832333333333333)"
T.NO 16,T,DB,24,15-16,23.430749027719962,2.45,304,"8°57'5""",77.49511111111111,10.832333333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49511111111111 10.832333333333333, 77.49469444444445 10.833027777777778)"
T.NO 17,T,DD,28,16-17,89.69392398596462,5.25,306,"39°36'1""",77.49469444444445,10.833027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49469444444445 10.833027777777778, 77.49475 10.83325)"
GANTRY 400KV RASIPALAYAM SS,,GANTRY,20,17-GANTRY,26.30589287593181,,305,,77.49475,10.83325,GOOD,MISSING,HT,,PLAIN,400KV RASIPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F7:F115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
