Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 111,S,DA,26,110-111,301.0398644698074,7.86,304,,77.44444444444444,10.708083333333333,GOOD,GOOD,,"MUD ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44444444444444 10.708083333333333, 77.44694444444445 10.708972222222222)"
T.NO 112 LILO SELLAMPALAYAM 110KV SS,T,DB,24,111-112,289.20926679482454,5.35,303,"0°1'25""",77.44694444444445,10.708972222222222,GOOD,GOOD,,,PLAIN,SELLAMPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44694444444445 10.708972222222222, 77.44961111111111 10.709944444444444)"
T.NO 113,S,DA,26,112-113,311.6809265899984,4.95,302,,77.44961111111111,10.709944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44961111111111 10.709944444444444, 77.45238888888889 10.710944444444443)"
T.NO 114,S,DA,26,113-114,322.80024783137947,4.35,300,,77.45238888888889,10.710944444444443,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45238888888889 10.710944444444443, 77.45491666666668 10.71186111111111)"
T.NO 115,S,DA,26,114-115,295.53003231482245,5.79,299,,77.45491666666668,10.71186111111111,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45491666666668 10.71186111111111, 77.45761111111112 10.712833333333332)"
T.NO 116,S,DA,26,115-116,315.1920049747455,6.75,296,,77.45761111111112,10.712833333333332,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45761111111112 10.712833333333332, 77.45908333333334 10.713388888888888)"
T.NO 117,S,DA,26,116-117,171.2337583538947,6.08,296,,77.45908333333334,10.713388888888888,GOOD,GOOD,"2nos HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45908333333334 10.713388888888888, 77.46052777777778 10.713916666666666)"
T.NO 118 LILO CHINNAPUTHUR 110KV SS,T,DB,24,117-118,167.72000476985446,4.32,295,"0°3'20""",77.46052777777778,10.713916666666666,GOOD,GOOD,3nos HT,MUD ROAD,PLAIN,CHINNAPUTHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46052777777778 10.713916666666666, 77.46291666666667 10.714749999999999)"
T.NO 119,S,DA,26,118-119,278.09530740377477,6.46,288,,77.46291666666667,10.714749999999999,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46291666666667 10.714749999999999, 77.46525 10.71561111111111)"
T.NO 120,S,DA,26,119-120,271.5363695713707,5.16,287,,77.46525,10.71561111111111,GOOD,GOOD,"2nos HT,LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46525 10.71561111111111, 77.46805555555555 10.716638888888887)"
T.NO 121,S,DA,26,120-121,327.2491405641885,6.21,288,,77.46805555555555,10.716638888888887,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46805555555555 10.716638888888887, 77.47047222222223 10.717527777777779)"
T.NO 122,S,DA,26,121-122,283.5947813342128,5.06,285,,77.47047222222223,10.717527777777779,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47047222222223 10.717527777777779, 77.47291666666666 10.718388888888889)"
T.NO 123,S,DA,26,122-123,283.82565070831777,4.96,284,,77.47291666666666,10.718388888888889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47291666666666 10.718388888888889, 77.47552777777778 10.71936111111111)"
T.NO 124,S,DA,26,123-124,305.1327579923205,5.92,285,,77.47552777777778,10.71936111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47552777777778 10.71936111111111, 77.47805555555556 10.720277777777778)"
T.NO 125,T,DB,24,124-125,295.8800432607782,6.12,283,"4°35'19""",77.47805555555556,10.720277777777778,GOOD,GOOD,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47805555555556 10.720277777777778, 77.48111111111112 10.721111111111112)"
T.NO 126,S,DA,26,125-126,343.8168116890156,5.68,283,,77.48111111111112,10.721111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48111111111112 10.721111111111112, 77.48386111111111 10.721861111111112)"
T.NO 127,S,DA,26,126-127,315.5202053751867,5.85,286,,77.48386111111111,10.721861111111112,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48386111111111 10.721861111111112, 77.48686111111111 10.722694444444445)"
T.NO 128,S,DA,26,127-128,339.28159395994356,5.05,288,,77.48686111111111,10.722694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48686111111111 10.722694444444445, 77.48955555555555 10.723444444444445)"
T.NO 129,S,DA,26,128-129,305.76461534978176,6.13,285,,77.48955555555555,10.723444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48955555555555 10.723444444444445, 77.49225 10.724194444444445)"
T.NO 130,T,DB,24,129-130,308.5206638136253,5.32,285,"0°1'51""",77.49225,10.724194444444445,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49225 10.724194444444445, 77.49502777777778 10.724972222222222)"
T.NO 131,S,DA,26,130-131,314.5600101729398,5.16,284,,77.49502777777778,10.724972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49502777777778 10.724972222222222, 77.49797222222222 10.72575)"
T.NO 132,S,DA,26,131-132,334.3411431457397,4.1,288,,77.49797222222222,10.72575,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49797222222222 10.72575, 77.50069444444445 10.726527777777777)"
T.NO 133,S,DA,26,132-133,309.48020938341114,6.05,284,,77.50069444444445,10.726527777777777,GOOD,GOOD,4nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50069444444445 10.726527777777777, 77.50333333333333 10.72725)"
T.NO 134,S,DA,26,133-134,299.4461554269816,6.45,277,,77.50333333333333,10.72725,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50333333333333 10.72725, 77.50605555555556 10.728)"
T.NO 135,S,DA,26,134-135,308.92393885874236,5.72,277,,77.50605555555556,10.728,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50605555555556 10.728, 77.50880555555555 10.728777777777777)"
T.NO 136,T,DD,28,135-136,313.8821434870101,5.45,279,"50°23'19""",77.50880555555555,10.728777777777777,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50880555555555 10.728777777777777, 77.50952777777778 10.730333333333334)"
T.NO 137,S,DA,26,136-137,188.4489320744482,6.25,276,,77.50952777777778,10.730333333333334,GOOD,GOOD,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50952777777778 10.730333333333334, 77.51025 10.731972222222222)"
T.NO 138,T,DB,24,137-138,199.8499437077729,4.9,275,"4°22'9""",77.51025,10.731972222222222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51025 10.731972222222222, 77.51108333333333 10.7335)"
T.NO 139 LILO DHARAPURAM 110KV,T,DD,28,138-139,192.35384061671346,4.05,275,"59°6'56""",77.51108333333333,10.7335,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,DHARAPURAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51108333333333 10.7335, 77.51055555555556 10.734416666666666)"
T.NO 140,T,DD,28,139-140,115.76268828944843,3.85,277,"52°1'27""",77.51055555555556,10.734416666666666,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51055555555556 10.734416666666666, 77.51138888888889 10.7365)"
T.NO 141,S,DA,26,140-141,249.2087478400387,5.01,272,,77.51138888888889,10.7365,GOOD,GOOD,4nos LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51138888888889 10.7365, 77.51205555555556 10.738222222222221)"
