S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO 13,S,DA,DC,26,12-13,NO,254.57808232446092,7.2,370,,77.14994444444446,11.072694444444444,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14994444444446 11.072694444444444, 77.15197222222223 11.073638888888889)"
33,T.NO 14,S,DA,DC,26,13-14,NO,242.87033577610913,9.78,368,,77.15197222222223,11.073638888888889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15197222222223 11.073638888888889, 77.1538888888889 11.074472222222221)"
34,T.NO 15,S,DA,DC,26,14-15,NO,230.4886114323222,15,365,,77.1538888888889,11.074472222222221,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1538888888889 11.074472222222221, 77.15586111111112 11.07536111111111)"
35,T.NO 16,S,DA,DC,26,15-16,YES,235.73289969794203,3.4,364,,77.15586111111112,11.07536111111111,GOOD,GOOD,NO,"2nos LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15586111111112 11.07536111111111, 77.15772222222223 11.076222222222222)"
36,T.NO 17,S,DA,DC,26,16-17,NO,225.523834660552,4.27,363,,77.15772222222223,11.076222222222222,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15772222222223 11.076222222222222, 77.15975 11.07713888888889)"
37,T.NO 18,T,DB,DC,24,17-18,NO,242.01239637671455,1.2,363,"0°0'00""",77.15975,11.07713888888889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15975 11.07713888888889, 77.16158333333334 11.077916666666667)"
38,T.NO 19,S,DA,DC,26,18-19,NO,220.22942582679545,6.8,362,,77.16158333333334,11.077916666666667,GOOD,GOOD,NO,"2nos LT,11kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16158333333334 11.077916666666667, 77.16347222222223 11.078777777777777)"
39,T.NO 20,S,DA,DC,26,19-20,NO,227.69497139814047,7.1,359,,77.16347222222223,11.078777777777777,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16347222222223 11.078777777777777, 77.16552777777778 11.079694444444444)"
40,T.NO 21,S,DA,DC,26,20-21,NO,245.22030910999194,20,361,,77.16552777777778,11.079694444444444,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16552777777778 11.079694444444444, 77.16727777777778 11.080499999999999)"
41,T.NO 22,S,DA,DC,26,21-22,NO,212.0471645648675,2.38,359,,77.16727777777778,11.080499999999999,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16727777777778 11.080499999999999, 77.16925 11.081333333333333)"
42,T.NO 23,S,DA,DC,26,22-23,NO,232.81967270830015,6.4,359,,77.16925,11.081333333333333,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16925 11.081333333333333, 77.17086111111112 11.082083333333333)"
43,T.NO 24,T,DB,DC,24,23-24,NO,194.11594473406868,4.1,356,"1°43'29""",77.17086111111112,11.082083333333333,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17086111111112 11.082083333333333, 77.17297222222223 11.083)"
44,T.NO 25,T,DB,DC,24,24-25,YES,251.60286166894048,2.1,354,"1°47'37""",77.17297222222223,11.083,GOOD,GOOD,NO,"LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17297222222223 11.083, 77.17469444444446 11.083805555555557)"
45,T.NO 26,S,DA,DC,26,25-26,NO,209.76653689280377,2.85,348,,77.17469444444446,11.083805555555557,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17469444444446 11.083805555555557, 77.17672222222222 11.084666666666667)"
46,T.NO 27,S,DA,DC,26,26-27,NO,240.4350224073024,3.15,351,,77.17672222222222,11.084666666666667,GOOD,GOOD,NO,2nos LT,3nos MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17672222222222 11.084666666666667, 77.17855555555556 11.085472222222222)"
