S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
83,T.NO 55 LILO KARUVALUR FEEDER 1,T,DD,DC,28,64Lilo-55Lilo,NO,278.044960393099,6.1,340,"73°49'51""",77.23930555555556,11.114888888888888,GOOD,GOOD,NO,,MUD ROAD,PLAIN,"NEED JUNCTION BOX. 2 EARTH WIRE. ONE EARTH WIRE CONTINUE TO OUR T.NO-56, ANOTHER EARTH WIRE CONNECT TO KARUVALUR 110KV FEEDER 1 TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23930555555556 11.114888888888888, 77.242 11.115583333333333)"
84,T.NO 56,T,DB,DC,24,55Lilo-56,NO,302.49793387724156,8.5,336,"0°38'48""",77.242,11.115583333333333,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.242 11.115583333333333, 77.24416666666667 11.116194444444444)"
85,T.NO 57,T,DB,DC,24,56-57,YES,246.28844877500853,5.85,334,"12°49'29""",77.24416666666667,11.116194444444444,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24416666666667 11.116194444444444, 77.24619444444444 11.11725)"
86,T.NO 58,S,DA,DC,26,57-58,NO,250.59928172283335,4.85,331,,77.24619444444444,11.11725,GOOD,MISSING,NO,"LT, 230KV DC LINE CROSSING ABOVE OUR LINE",,PLAIN,NO EARTH WIRE. OUR EARTH WIRE CONNECT TO CROSSING LEFT SIDE TOWER FROM OUR T.NO-57 THEN CONNECT TO OUR T.NO-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24619444444444 11.11725, 77.24830555555556 11.118361111111112)"
87,T.NO 59,S,DA,DC,26,58-59,YES,263.0589287593181,6.5,331,,77.24830555555556,11.118361111111112,GOOD,GOOD,NO,"2nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24830555555556 11.118361111111112, 77.25055555555555 11.119583333333333)"
88,T.NO 60,S,DA,DC,26,59-60,NO,280.7026896914242,4.5,325,,77.25055555555555,11.119583333333333,GOOD,GOOD,NO,2nos LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25055555555555 11.119583333333333, 77.2525 11.120611111111112)"
89,T.NO 61,S,DA,DC,26,60-61,NO,239.90831582085687,5.7,322,,77.2525,11.120611111111112,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2525 11.120611111111112, 77.25486111111111 11.12188888888889)"
90,T.NO 62,S,DA,DC,26,61-62,NO,292.7456233660889,7.1,320,,77.25486111111111,11.12188888888889,GOOD,GOOD,NO,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25486111111111 11.12188888888889, 77.25738888888888 11.123222222222223)"
91,T.NO 63,T,DB,DC,24,62-63,NO,314.60610292872576,3.85,325,"0°5'30""",77.25738888888888,11.123222222222223,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25738888888888 11.123222222222223, 77.25963888888889 11.124416666666667)"
92,T.NO 64 LILO VANJIPALAYAM,T,DB,DC,24,63-64Lilo,NO,278.37384934652175,6.35,329,"0°16'48""",77.25963888888889,11.124416666666667,GOOD,GOOD,NO,,,PLAIN,"NEED JUNCTION BOX. 2 EARTH WIRE. ONE EARTH WIRE CONTINUE TO OUR T.NO -65, ANOTHER EARTH WIRE CONNECT TO VANJIPALAYAM 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25963888888889 11.124416666666667, 77.26177777777778 11.125583333333333)"
93,T.NO 65,T,DB,DC,24,64Lilo-65,NO,267.686383665662,8.65,340,"0°12'5""",77.26177777777778,11.125583333333333,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26177777777778 11.125583333333333, 77.264 11.126777777777779)"
94,T.NO 66,S,DA,DC,26,65-66,NO,276.2354068543712,7.5,337,,77.264,11.126777777777779,GOOD,GOOD,NO,"2nos LT,11kv,22kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.264 11.126777777777779, 77.26613888888889 11.127916666666668)"
95,T.NO 67,S,DA,DC,26,66-67,NO,266.7208278331484,9.05,330,,77.26613888888889,11.127916666666668,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26613888888889 11.127916666666668, 77.26847222222221 11.129055555555556)"
96,T.NO 68,S,DA,DC,26,67-68,YES,282.63934616397626,8.4,335,,77.26847222222221,11.129055555555556,GOOD,GOOD,NO,11kv,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26847222222221 11.129055555555556, 77.27066666666667 11.130333333333335)"
97,T.NO 69,S,DA,DC,26,68-69,NO,279.8856909525744,7.05,330,,77.27066666666667,11.130333333333335,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27066666666667 11.130333333333335, 77.27266666666667 11.131416666666667)"
98,T.NO 70,S,DA,DC,26,69-70,YES,248.4552273549502,5.58,333,,77.27266666666667,11.131416666666667,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27266666666667 11.131416666666667, 77.27491666666667 11.132555555555555)"
99,T.NO 71,T,DB,DC,24,70-71,YES,276.8862582361212,8.1,330,"0°25'23""",77.27491666666667,11.132555555555555,GOOD,GOOD,NO,3nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27491666666667 11.132555555555555, 77.27722222222222 11.13375)"
100,T.NO 72,S,DA,DC,26,71-72,YES,283.6476687723698,4.9,330,,77.27722222222222,11.13375,GOOD,GOOD,NO,2nos 11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27722222222222 11.13375, 77.27941666666666 11.134888888888888)"
101,T.NO 73,S,DA,DC,26,72-73,NO,270.7120241141867,6.35,334,,77.27941666666666,11.134888888888888,GOOD,GOOD,NO,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27941666666666 11.134888888888888, 77.28133333333334 11.136)"
102,T.NO 74,S,DA,DC,26,73-74,YES,242.86621831782205,8.05,341,,77.28133333333334,11.136,GOOD,GOOD,NO,11kv,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28133333333334 11.136, 77.28383333333333 11.137222222222222)"
103,T.NO 75,T,DB,DC,24,74-75,YES,306.3494736408078,5.75,341,"1°55'15""",77.28383333333333,11.137222222222222,GOOD,GOOD,NO,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28383333333333 11.137222222222222, 77.28622222222222 11.138499999999999)"
104,T.NO 76,S,DA,DC,26,75-76,YES,295.85469406450187,9.7,337,,77.28622222222222,11.138499999999999,GOOD,GOOD,NO,"2nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28622222222222 11.138499999999999, 77.28802777777777 11.139472222222222)"
105,T.NO 77,S,DA,DC,26,76-77,YES,225.53935355055003,15,337,,77.28802777777777,11.139472222222222,GOOD,GOOD,NO,"2nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28802777777777 11.139472222222222, 77.29041666666666 11.140694444444444)"
106,T.NO 78,S,DA,DC,26,77-78,NO,294.4163718273833,8,330,,77.29041666666666,11.140694444444444,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29041666666666 11.140694444444444, 77.29297222222222 11.142055555555554)"
107,T.NO 79,S,DA,DC,26,78-79,YES,316.84065395715874,6.95,331,,77.29297222222222,11.142055555555554,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29297222222222 11.142055555555554, 77.29533333333333 11.14325)"
108,T.NO 80,S,DA,DC,26,79-80,NO,289.836160614924,7.35,329,,77.29533333333333,11.14325,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29533333333333 11.14325, 77.2975 11.144361111111111)"
109,T.NO 81,S,DA,DC,26,80-81,NO,265.7084868798887,4.65,326,,77.2975,11.144361111111111,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2975 11.144361111111111, 77.29980555555555 11.145527777777778)"
110,T.NO 82,S,DA,DC,26,81-82,NO,283.55599094358774,3.8,324,,77.29980555555555,11.145527777777778,GOOD,GOOD,NO,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29980555555555 11.145527777777778, 77.30197222222222 11.146611111111111)"
111,T.NO 83,T,DB,DC,24,82-83,YES,263.89391808073185,8.15,318,"0°0'58""",77.30197222222222,11.146611111111111,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30197222222222 11.146611111111111, 77.30413888888889 11.147694444444443)"
112,T.NO 84,S,DA,DC,26,83-84,NO,268.36542251191753,4.25,327,,77.30413888888889,11.147694444444443,GOOD,GOOD,NO,3nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30413888888889 11.147694444444443, 77.30638888888889 11.148833333333332)"
113,T.NO 85,S,DA,DC,26,84-85,NO,275.9601420495358,10.02,321,,77.30638888888889,11.148833333333332,GOOD,GOOD,NO,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30638888888889 11.148833333333332, 77.30855555555556 11.149972222222221)"
114,T.NO 86,S,DA,DC,26,85-86,YES,267.1216951129204,7.15,315,,77.30855555555556,11.149972222222221,GOOD,GOOD,NO,"3nos LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30855555555556 11.149972222222221, 77.31119444444444 11.151333333333334)"
115,T.NO 87,T,DB,DC,24,86-87,YES,325.6501189927619,5.85,315,"7°53'55""",77.31119444444444,11.151333333333334,GOOD,GOOD,NO,"2nos LT,2nos 11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31119444444444 11.151333333333334, 77.31341666666667 11.152083333333334)"
116,T.NO 88,T,DB,DC,24,87-88,YES,255.28219679405768,IN HOUSE,324,"0°24'43""",77.31341666666667,11.152083333333334,GOOD,GOOD,NO,"2nos LT,2nos 11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31341666666667 11.152083333333334, 77.31577777777777 11.152944444444445)"
117,T.NO 89,S,DA,DC,26,88-89,YES,276.2191159206763,5.2,308,,77.31577777777777,11.152944444444445,GOOD,GOOD,NO,"4nos LT,2nos 11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31577777777777 11.152944444444445, 77.3183611111111 11.15388888888889)"
118,T.NO 90,S,DA,DC,26,89-90,YES,300.3281538584087,IN BUSHES,307,,77.3183611111111,11.15388888888889,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3183611111111 11.15388888888889, 77.31988888888888 11.154416666666666)"
119,T.NO 91(91/1 FOR VELAMBALAYAM) LILO,T,DB,DC,24,90-91Lilo,NO,175.9147520817967,IN HOUSE,303,"0°32'0""",77.31988888888888,11.154416666666666,GOOD,GOOD,NO,,,PLAIN,"NEED JUNCTION BOX. 2 EARTH WIRE.ONE EARTH WIRE CONTINUE TO OUR T.NO-92, ANOTHER EARTH WIRE CONNECT TO VELAMPALAYAM 110KV TOWER ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31988888888888 11.154416666666666, 77.32119444444444 11.154861111111112)"
120,T.NO 92,S,DA,DC,26,91Lilo-92,YES,150.88074761214565,6.3,308,,77.32119444444444,11.154861111111112,GOOD,GOOD,NO,"LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32119444444444 11.154861111111112, 77.32352777777777 11.155722222222222)"
121,T.NO 93,S,DA,DC,26,92-93,YES,274.3446737226732,4.6,311,,77.32352777777777,11.155722222222222,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32352777777777 11.155722222222222, 77.32566666666666 11.156500000000001)"
122,T.NO 94,S,DA,DC,26,93-94,NO,249.77790134437433,6.1,311,,77.32566666666666,11.156500000000001,GOOD,GOOD,NO,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32566666666666 11.156500000000001, 77.32794444444444 11.157333333333334)"
123,T.NO 95,S,DA,DC,26,94-95,NO,263.5773131360133,5.35,308,,77.32794444444444,11.157333333333334,GOOD,GOOD,NO,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32794444444444 11.157333333333334, 77.33024999999999 11.158166666666666)"
124,T.NO 96,S,DA,DC,26,95-96,NO,268.96096371034963,8.6,311,,77.33024999999999,11.158166666666666,GOOD,GOOD,NO,"LT,11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33024999999999 11.158166666666666, 77.33252777777777 11.158972222222223)"
125,T.NO 97,S,DA,DC,26,96-97,NO,262.29182221335077,3.15,313,,77.33252777777777,11.158972222222223,GOOD,GOOD,NO,LT,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33252777777777 11.158972222222223, 77.33477777777777 11.159805555555556)"
126,T.NO 98,S,DA,DC,26,97-98,YES,263.13684652666944,2.7,314,,77.33477777777777,11.159805555555556,GOOD,GOOD,NO,"LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33477777777777 11.159805555555556, 77.33719444444444 11.160722222222223)"
127,T.NO 99,T,DB,DC,24,98-99,YES,284.3132075722125,4.8,318,"2°7'23""",77.33719444444444,11.160722222222223,GOOD,GOOD,NO,2nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33719444444444 11.160722222222223, 77.3395 11.1615)"
128,T.NO 100,S,DA,DC,26,99-100,YES,265.6501458685841,7.4,327,,77.3395,11.1615,GOOD,GOOD,NO,"2nos LT,3nos 11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3395 11.1615, 77.34188888888889 11.162305555555555)"
129,T.NO 101,T,DB,DC,24,100-101,YES,276.739950133695,9.8,328,"0°53'38""",77.34188888888889,11.162305555555555,GOOD,GOOD,NO,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34188888888889 11.162305555555555, 77.34330555555555 11.162805555555556)"
130,T.NO 102,S,DA,DC,26,101-102,YES,164.21023110634732,6.15,330,,77.34330555555555,11.162805555555556,GOOD,GOOD,NO,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34330555555555 11.162805555555556, 77.34491666666666 11.163333333333334)"
131,T.NO 103,S,DA,DC,26,102-103,YES,185.31055015837603,IN BUSHES,334,,77.34491666666666,11.163333333333334,GOOD,GOOD,NO,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34491666666666 11.163333333333334, 77.34708333333333 11.164083333333334)"
132,T.NO 104,T,DB,DC,24,103-104,YES,251.18120948828954,7.45,337,"5°40'51""",77.34708333333333,11.164083333333334,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34708333333333 11.164083333333334, 77.34930555555555 11.165111111111111)"
133,T.NO 105,S,DA,DC,26,104-105,YES,267.46401627134816,IN GARDEN,341,,77.34930555555555,11.165111111111111,GOOD,GOOD,NO,"2nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34930555555555 11.165111111111111, 77.35191666666667 11.166361111111112)"
134,T.NO 106,T,DB,DC,24,105-106,NO,317.0757007403752,9.8,336,"0°3'47""",77.35191666666667,11.166361111111112,GOOD,GOOD,NO,"2nos LT,11kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35191666666667 11.166361111111112, 77.35405555555555 11.167388888888889)"
135,T.NO 107,S,DA,DC,26,106-107,YES,260.2786967848118,4.9,329,,77.35405555555555,11.167388888888889,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35405555555555 11.167388888888889, 77.35633333333332 11.168444444444443)"
136,T.NO 108,S,DA,DC,26,107-108,NO,275.0727176584403,2.95,326,,77.35633333333332,11.168444444444443,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35633333333332 11.168444444444443, 77.35849999999999 11.169472222222222)"
137,T.NO 109,S,DA,DC,26,108-109,YES,262.5280937347468,6.5,329,,77.35849999999999,11.169472222222222,GOOD,GOOD,NO,"2nos LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35849999999999 11.169472222222222, 77.36080555555554 11.170583333333333)"
138,T.NO 110,S,DA,DC,26,109-110,NO,281.298773548695,5.1,330,,77.36080555555554,11.170583333333333,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36080555555554 11.170583333333333, 77.36325 11.171777777777777)"
139,T.NO 111,S,DA,DC,26,110-111,YES,297.40544715926103,8.15,327,,77.36325,11.171777777777777,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36325 11.171777777777777, 77.36569444444444 11.172916666666666)"
140,T.NO 112,S,DA,DC,26,111-112,YES,294.3331445828009,6.4,333,,77.36569444444444,11.172916666666666,GOOD,GOOD,NO,"3nos LT,3nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36569444444444 11.172916666666666, 77.36794444444443 11.173888888888888)"
141,T.NO 113,S,DA,DC,26,112-113,NO,269.386339668514,7.8,337,,77.36794444444443,11.173888888888888,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36794444444443 11.173888888888888, 77.37036111111111 11.17511111111111)"
142,T.NO 114,T,DB,DC,24,113-114,YES,295.6247621563525,9.4,329,"3°25'20""",77.37036111111111,11.17511111111111,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37036111111111 11.17511111111111, 77.37266666666666 11.176083333333333)"
143,T.NO 115,S,DA,DC,26,114-115,YES,273.1300056749533,4.65,327,,77.37266666666666,11.176083333333333,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37266666666666 11.176083333333333, 77.37469444444444 11.176972222222222)"
144,T.NO 116,S,DA,DC,26,115-116,NO,243.402958075698,7.35,326,,77.37469444444444,11.176972222222222,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37469444444444 11.176972222222222, 77.37652777777777 11.177888888888889)"
145,T.NO 117,S,DA,DC,26,116-117,NO,224.96444163467257,9.5,320,,77.37652777777777,11.177888888888889,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37652777777777 11.177888888888889, 77.37866666666666 11.178888888888888)"
146,T.NO 118,S,DA,DC,26,117-118,NO,258.5207922005501,2.7,324,,77.37866666666666,11.178888888888888,GOOD,GOOD,NO,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37866666666666 11.178888888888888, 77.38088888888888 11.179972222222222)"
147,T.NO 119,S,DA,DC,26,118-119,YES,271.01291482141585,6.5,326,,77.38088888888888,11.179972222222222,GOOD,GOOD,NO,4nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38088888888888 11.179972222222222, 77.38286111111111 11.180944444444444)"
148,T.NO 120,T,DB,DC,24,119-120,NO,239.70815588961506,3.85,322,"8°20'38""",77.38286111111111,11.180944444444444,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38286111111111 11.180944444444444, 77.38561111111112 11.181833333333334)"
149,T.NO 121,S,DA,DC,26,120-121,YES,316.22776601683796,8.6,321,,77.38561111111112,11.181833333333334,GOOD,GOOD,NO,LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38561111111112 11.181833333333334, 77.38691666666668 11.18225)"
150,T.NO 122(122/21 FOR PERUMANALLUR) LILO ,T,DB,DC,24,121-122,NO,150.5257453062432,5.9,317,"0°34'19""",77.38691666666668,11.18225,GOOD,GOOD,NO,11kv,,PLAIN,"NEED JUNCTION BOX. 2 EARTH WIRE. ONE EARTH WIRE CONTINUE TO OUR T.NO-123,ANOTHER EARTH WIRE CONNECT TO PERUMANALLUR 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38691666666668 11.18225, 77.38847222222223 11.182722222222221)"
151,T.NO 123,S,DA,DC,26,122-123,NO,178.3704011320264,6.5,315,,77.38847222222223,11.182722222222221,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38847222222223 11.182722222222221, 77.3908888888889 11.183472222222223)"
152,T.NO 124,S,DA,DC,26,123-124,NO,277.96582523756405,4.9,310,,77.3908888888889,11.183472222222223,GOOD,GOOD,NO,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3908888888889 11.183472222222223, 77.39347222222223 11.184277777777778)"
153,T.NO 125,S,DA,DC,26,124-125,YES,293.4655005277452,4.45,305,,77.39347222222223,11.184277777777778,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39347222222223 11.184277777777778, 77.396 11.185083333333333)"
154,T.NO 126,S,DA,DC,26,125-126,YES,291.87839933780646,6.15,301,,77.396,11.185083333333333,GOOD,GOOD,NO,2nos 11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.396 11.185083333333333, 77.39844444444445 11.185805555555556)"
155,T.NO 127,S,DA,DC,26,126-127,YES,277.39682766751315,8,287,,77.39844444444445,11.185805555555556,GOOD,GOOD,NO,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39844444444445 11.185805555555556, 77.40083333333334 11.186555555555556)"
156,T.NO 128,S,DA,DC,26,127-128,NO,273.5415873317986,7.03,290,,77.40083333333334,11.186555555555556,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40083333333334 11.186555555555556, 77.40322222222223 11.187333333333333)"
157,T.NO 129,S,DA,DC,26,128-129,YES,274.8035662068453,3.9,290,,77.40322222222223,11.187333333333333,GOOD,GOOD,NO,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40322222222223 11.187333333333333, 77.40541666666667 11.188)"
158,T.NO 130,T,DB,DC,24,129-130,NO,252.3568901377571,4.65,304,"0°14'38""",77.40541666666667,11.188,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40541666666667 11.188, 77.40794444444445 11.188805555555556)"
159,T.NO 131,S,DA,DC,26,130-131,NO,290.61486541469276,6.3,307,,77.40794444444445,11.188805555555556,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40794444444445 11.188805555555556, 77.41036111111111 11.189583333333333)"
160,T.NO 132,S,DA,DC,26,131-132,NO,278.2804340948174,7.9,306,,77.41036111111111,11.189583333333333,GOOD,GOOD,NO,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41036111111111 11.189583333333333, 77.4123888888889 11.190194444444444)"
161,T.NO 133,S,DA,DC,26,132-133,NO,230.26940743398808,5.9,305,,77.4123888888889,11.190194444444444,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4123888888889 11.190194444444444, 77.41502777777778 11.191)"
162,T.NO 134,S,DA,DC,26,133-134,YES,300.4330208216134,3,302,,77.41502777777778,11.191,GOOD,GOOD,NO,2nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41502777777778 11.191, 77.41733333333333 11.191722222222223)"
163,T.NO 135,S,DA,DC,26,134-135,YES,265.9567634033773,4.2,297,,77.41733333333333,11.191722222222223,GOOD,GOOD,NO,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41733333333333 11.191722222222223, 77.4195 11.192416666666666)"
164,T.NO 136,S,DA,DC,26,135-136,NO,249.19069003476034,5.7,300,,77.4195,11.192416666666666,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4195 11.192416666666666, 77.42150000000001 11.193027777777777)"
