S. No ,Tower No,JOINT BOX,Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,T,DB,24,10-Nov,211.1516043,4.3,435,"10°48'8""",76.93927778,11.01386111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93927777777778 11.013861111111112, 76.93961111111112 11.01586111111111)"
12,12,,S ,DA,26,11-Dec,225.7299271,8.4,434,,76.93961111,11.01586111,GOOD,GOOD,"LT,33kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93961111111112 11.01586111111111, 76.93991666666668 11.017916666666668)"
13,13,,T,DD,28,Dec-13,227.4071239,7.5,438,"34°14'53""",76.93991667,11.01791667,GOOD,GOOD,LT,"MUD ROAD,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93991666666668 11.017916666666668, 76.94136111111112 11.019416666666668)"
14,14,,T,DD,28,13-14,229.2596781,9,439,"44°52'26""",76.94136111,11.01941667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94136111111112 11.019416666666668, 76.94316666666667 11.0195)"
15,15,,S,DA,26,14-15,198.2523644,6.3,442,,76.94316667,11.0195,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94316666666667 11.0195, 76.94513888888889 11.019583333333333)"
16,16,,S,DA,26,15-16,214.2335175,7.25,441,,76.94513889,11.01958333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94513888888889 11.019583333333333, 76.94711111111111 11.019611111111113)"
17,17,,S,DA,26,16-17,216.0578626,2.5,440,,76.94711111,11.01961111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94711111111111 11.019611111111113, 76.94905555555556 11.019666666666668)"
18,18,,T,DB,24,17-18,213.1501818,7.2,432,"1°18'6""",76.94905556,11.01966667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94905555555556 11.019666666666668, 76.95022222222222 11.019722222222223)"
19,19,2W,T,DD,28,18-19,129.247824,40,443,"93°40'54""",76.95022222,11.01972222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95022222222222 11.019722222222223, 76.9503888888889 11.018527777777779)"
20,20,,T,DD,28,19-20,135.0740538,4.8,441,"87°31'1""",76.95038889,11.01852778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9503888888889 11.018527777777779, 76.95138888888889 11.018666666666668)"
21,21,,T,DB,24,20-21,112.6143863,3,441,"4°32'41""",76.95138889,11.01866667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95138888888889 11.018666666666668, 76.95322222222222 11.018833333333335)"
22,22,,T,DB,33,21-22,199.812412,2,441,"3°39'58""",76.95322222,11.01883333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95322222222222 11.018833333333335, 76.956 11.01888888888889)"
23,23,,T,DB,33,22-23,305.1049,1.8,442,"1°4'0""",76.956,11.01888889,GOOD,GOOD,,"ELECT.RAILWAY CROSSING, TAAR ROAD",PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.956 11.01888888888889, 76.95841666666666 11.01888888888889)"
24,24,,T,DB,24,23-24,263.0076045,15,434,"0°26'9""",76.95841667,11.01888889,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95841666666666 11.01888888888889, 76.95852777777777 11.01888888888889)"
25,GANTRY COIMBATORE SS,2W,GANTRY,,20,24-GANTRY,12,,437,,76.95852778,11.01888889,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
