S.No,Tower No.,Joint BoX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 56 A  ELUMATHUR LILO,3W,T,DC,26,,,6.71,200,,77.78480556,11.20683333,GOOD,GOOD,,,PLAIN,ELUMATHUR LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78480555555555 11.206833333333332, 77.78275 11.205777777777778)"
2,T.NO 1,,T,DC,26,56A-1,254.1908732,5.72,194,"18°57'29""",77.78275,11.20577778,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78275 11.205777777777778, 77.7803611111111 11.20536111111111)"
3,T.NO 2,,S,DA,26,01-Feb,264.2139285,8.21,194,,77.78036111,11.20536111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7803611111111 11.20536111111111, 77.77794444444444 11.205)"
4,T.NO 3,,S,DA,26,02-Mar,266.6552081,4.98,197,,77.77794444,11.205,GOOD,GOOD,HT-1 LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77794444444444 11.205, 77.77566666666667 11.204638888888889)"
5,T.NO 4,,S,DA,26,03-Apr,253.3396929,3.11,194,,77.77566667,11.20463889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77566666666667 11.204638888888889, 77.77363888888888 11.204305555555555)"
6,T.NO 5,,T,DB,24,04-May,222.2723555,7.26,194,"2°56'31""",77.77363889,11.20430556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77363888888888 11.204305555555555, 77.77063888888888 11.203999999999999)"
7,T.NO 6,,S,DA,26,05-Jun,332.2965543,9.45,191,,77.77063889,11.204,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77063888888888 11.203999999999999, 77.76744444444445 11.203638888888888)"
8,T.NO 7,,S,DA,26,06-Jul,351.5181361,7.84,189,,77.76744444,11.20363889,GOOD,GOOD,765KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76744444444445 11.203638888888888, 77.76533333333333 11.203444444444443)"
9,T.NO 8,,S,DA,26,07-Aug,231.354706,3.96,190,,77.76533333,11.20344444,GOOD,GOOD,,STREAM,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76533333333333 11.203444444444443, 77.76275 11.203138888888889)"
10,T.NO 9,,S,DA,26,08-Sep,282.1790212,7.39,192,,77.76275,11.20313889,GOOD,GOOD,LT-1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76275 11.203138888888889, 77.76 11.202805555555555)"
11,T.NO 10,,S,DA,26,09-Oct,302.654919,14.39,195,,77.76,11.20280556,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76 11.202805555555555, 77.75855555555556 11.202694444444443)"
12,T.NO 11,,T,DD,28,10-Nov,159.7059799,9.83,201,"42°20'18""",77.75855556,11.20269444,GOOD,GOOD,HT-1,STREAM,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75855555555556 11.202694444444443, 77.75705555555555 11.201027777777776)"
13,T.NO 12,,T,DB,24,11-Dec,246.0020325,6.91,212,"2°46'46""",77.75705556,11.20102778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75705555555555 11.201027777777776, 77.75641666666667 11.200222222222221)"
14,T.NO 13,,T,DD,28,Dec-13,111.8257573,4.59,223,"76°8'48""",77.75641667,11.20022222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75641666666667 11.200222222222221, 77.75675 11.199805555555557)"
15,T.NO 14,,T,DD,28,13-14,58.41232747,2.01,226,"62°54'25""",77.75675,11.19980556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75675 11.199805555555557, 77.75702777777778 11.199861111111112)"
16,GANTRY 110KV ELUMATHUR SS,2W,GANTRY,DP,15,14-GANTRY,31.57530681,,212,,77.75702778,11.19986111,GOOD,MISSING,,,PLAIN,110KV ELUMATHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
