S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 175/1 THOPPAMPALAYAM LILO,,T,DC,26,,,5.73,260,,77.15911111,11.49086111,GOOD,,,,PLAIN,THOPPAMPALAYAM LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15911111111112 11.49086111111111, 77.1598888888889 11.488666666666665)"
2,T.NO 2,,T,DC,26,175/1-2,258.3815009,7.85,255,"16°26'50""",77.15988889,11.48866667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1598888888889 11.488666666666665, 77.16000000000001 11.486388888888888)"
3,T.NO 3,,S,DA,26,02-Mar,250.4495957,11.29,255,,77.16,11.48638889,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16000000000001 11.486388888888888, 77.16005555555556 11.484166666666665)"
4,T.NO 4,,T,DB,24,03-Apr,248.1632527,6.97,254,"6°14'25""",77.16005556,11.48416667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16005555555556 11.484166666666665, 77.16036111111111 11.482166666666666)"
5,T.NO 5,,T,DC,26,04-May,223.7543296,5.22,258,"26°49'42""",77.16036111,11.48216667,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16036111111111 11.482166666666666, 77.16172222222222 11.480277777777777)"
6,T.NO 6,,T,DB,24,05-Jun,252.8418478,1.88,255,"11°38'33""",77.16172222,11.48027778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16172222222222 11.480277777777777, 77.1623888888889 11.478777777777777)"
7,T.NO 7,,T,DB,24,06-Jul,183.0682933,2.79,258,"3°44'26""",77.16238889,11.47877778,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1623888888889 11.478777777777777, 77.16294444444445 11.47725)"
8,T.NO 8,,T,DD,28,07-Aug,180.3607496,5.86,248,"39°31'24""",77.16294444,11.47725,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16294444444445 11.47725, 77.16208333333334 11.474861111111112)"
9,T.NO 9,,T,DB,24,08-Sep,281.4604768,3.6,254,"6°19'28""",77.16208333,11.47486111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16208333333334 11.474861111111112, 77.16094444444445 11.472527777777778)"
10,T.NO 10,,T,DB,24,09-Oct,286.7228627,4.21,250,"12°40'32""",77.16094444,11.47252778,GOOD,GOOD,LT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16094444444445 11.472527777777778, 77.15905555555557 11.470222222222223)"
11,T.NO 11,,S,DA,26,10-Nov,326.4061887,7.25,260,,77.15905556,11.47022222,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15905555555557 11.470222222222223, 77.15744444444445 11.468166666666667)"
12,T.NO 12,,T,DB,24,11-Dec,289.8033816,17.89,261,"2°13'9""",77.15744444,11.46816667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15744444444445 11.468166666666667, 77.15644444444445 11.467027777777778)"
13,T.NO 13,,T,DD,34,Dec-13,163.8932579,12.79,270,"36°6'14""",77.15644444,11.46702778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15644444444445 11.467027777777778, 77.15633333333334 11.465694444444443)"
14,T.NO 14,,T,DB,30,13-14,150.4027925,13.45,274,"2°14'51""",77.15633333,11.46569444,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15633333333334 11.465694444444443, 77.15605555555557 11.463444444444443)"
15,T.NO 15,,T,DB,24,14-15,249.5756398,8.27,275,"3°36'52""",77.15605556,11.46344444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15605555555557 11.463444444444443, 77.15602777777778 11.462722222222222)"
16,T.NO 16,,T,DD,28,15-16,81.09870529,17.74,281,"72°16'16""",77.15602778,11.46272222,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15602777777778 11.462722222222222, 77.15630555555556 11.46261111111111)"
17,GT 110KV THOPPAMPALAYAM SS,2W,T,GT,15,16-GT,34.17601498,,282,,77.15630556,11.46261111,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
