S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-43 LILO,3W,T,DC,26,,,0.2,288,,11.67763889,78.07663889,,,,,GOOD,,LT-2,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07663888888888 11.677638888888888, 78.07883333333334 11.676555555555556)"
2,T.NO-42,,T,DC,26,43-42,267.0168534,0.8,287,"36°38'47"" ",11.67655556,78.07883333,,,,,GOOD,GOOD,11KV-2,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07883333333334 11.676555555555556, 78.07980555555555 11.67461111111111)"
3,T.NO-41,,S,DA,26,42-41,240.1686907,0.2,288,,11.67461111,78.07980556,,,,,GOOD,GOOD,11KV-1,TAR ROAD-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07980555555555 11.67461111111111, 78.08072222222222 11.672694444444444)"
4,T.NO-40,,T,DC,26,41-40,235.8686075,0.1,285,"34°18'28"" ",11.67269444,78.08072222,,,,,GOOD,GOOD,11KV-1,"TAR ROAD-2,SH-1",PLAIN,INSIDE SRI BHARANI HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08072222222222 11.672694444444444, 78.08033333333333 11.670305555555554)"
5,T.NO-39,,S,DA,26,40-39,266.0075187,0.2,286,,11.67030556,78.08033333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08033333333333 11.670305555555554, 78.07991666666666 11.668083333333334)"
6,T.NO-38,,S,DA,26,39-38,252.7943828,0.3,287,,11.66808333,78.07991667,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07991666666666 11.668083333333334, 78.07941666666666 11.66563888888889)"
7,T.NO-37,,T,DB,24,38-37,275.5449147,0.4,290,"23°45'54"" ",11.66563889,78.07941667,,,,,GOOD,GOOD,,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07941666666666 11.66563888888889, 78.07977777777778 11.664055555555557)"
8,T.NO-36,,S,DA,26,37-36,179.0781952,0.2,289,,11.66405556,78.07977778,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07977777777778 11.664055555555557, 78.08024999999999 11.662194444444445)"
9,T.NO-35,,S,DA,26,36-35,211.2936345,0.5,285,,11.66219444,78.08025,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08024999999999 11.662194444444445, 78.08069444444445 11.660305555555556)"
10,T.NO-34,,S,DA,26,35-34,214.2195136,0.5,284,,11.66030556,78.08069444,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08069444444445 11.660305555555556, 78.08113888888889 11.658444444444445)"
11,T.NO-33,2W,T,DB,24,34-33,212.4923528,0.6,286,"47°20'25"" ",11.65844444,78.08113889,,,,,GOOD,GOOD,11KV-1,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08113888888889 11.658444444444445, 78.08155555555555 11.658222222222223)"
12,T.NO-32 A,,T,DD,28,33-32A,50.60632372,0.2,285,"60°23'44"" ",11.65822222,78.08155556,,,,,GOOD,GOOD,,"ELCT.RAILWAY-1,MUD ROAD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08155555555555 11.658222222222223, 78.08155555555555 11.657250000000001)"
13,T.NO-32,,T,DD,28,32A-32,108,0.2,288,"18°49'29"" ",11.65725,78.08155556,,,,,GOOD,GOOD,"11KV-1,LT-1",TAR ROAD -1 ,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08155555555555 11.657250000000001, 78.08227777777778 11.655277777777778)"
14,T.NO-31,,S,DA,26,32-31,232.432786,0.3,291,,11.65527778,78.08227778,,,,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08227777777778 11.655277777777778, 78.08288888888889 11.653527777777779)"
