S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Latitude,Longitude,,,,,,,Ground Elevation,Deviation Angle,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-207 A LILO PERIYAKODIVERI ,3W,T,DC,26,,,1.2,11.4475,77.2718,"11°26'51.1"" N","77°16'18.6"" E",,,,,236,,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2718 11.4475, 77.2704 11.4478)"
2,T.NO-207,,S,DA,26,207 A - 207,158.0696049,1.9,11.4478,77.2704,"11°26'52.1"" N","77°16'13.5"" E",,,,,237,,GOOD,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2704 11.4478, 77.2676 11.4483)"
3,T.NO-206,,S,DA,26,207-206,308.9352683,2.2,11.4483,77.2676,"11°26'54.0"" N","77°16'03.5"" E",,,,,234,,GOOD,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2676 11.4483, 77.2646 11.4489)"
4,T.NO-205,,S,DA,26,206-205,337.1305385,9.9,11.4489,77.2646,"11°26'56.1"" N","77°15'52.6"" E",,,,,230,,GOOD,GOOD,,TAR-1,CULTIVATION,From T.no-205 only Right side feeder and Earth wire connects to Nearest tower (KPR MILLS FACTORY) and From T.no-205 Left side feeder and Earth wire connects to T.no-204,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2646 11.4489, 77.2616 11.4495)"
5,T.NO-204,,S,DA,26,205-204,338.3031185,9.2,11.4495,77.2616,"11°26'58.3"" N","77°15'41.7"" E",,,,,235,,GOOD,GOOD,LT-2,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2616 11.4495, 77.2583 11.4502)"
6,T.NO-203,,S,DA,26,204-203,363.0495834,8.7,11.4502,77.2583,"11°27'00.6"" N","77°15'29.9"" E",,,,,241,,GOOD,GOOD,LT-1,"MUD-1,TAR-2",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2583 11.4502, 77.2557 11.4507)"
7,T.NO-202,2W,T,DC,26,203-202,294.7626164,8.7,11.4507,77.2557,"11°27'02.5"" N","77°15'20.4"" E",,,,,246,"2°11'9"" ",GOOD,GOOD,"LT-2,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2557 11.4507, 77.2525 11.4512)"
8,T.NO-201,,S,DA,26,202-201,345.4070063,7.5,11.4512,77.2525,"11°27'04.4"" N","77°15'09.2"" E",,,,,235,,GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2525 11.4512, 77.2493 11.4517)"
9,T.NO-200,,S,DA,26,201-200,356.117958,8.3,11.4517,77.2493,"11°27'06.3"" N","77°14'57.6"" E",,,,,238,,GOOD,GOOD,LT-2,"MUD-2,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2493 11.4517, 77.2463 11.4522)"
10,T.NO-199,,S,DA,26,200-199,335.7439501,6.9,11.4522,77.2463,"11°27'08.0"" N","77°14'46.6"" E",,,,,242,,GOOD,GOOD,,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2463 11.4522, 77.2435 11.4527)"
11,T.NO-198,,S,DA,26,199-198,306.7784217,9.04,11.4527,77.2435,"11°27'09.6"" N","77°14'36.7"" E",,,,,242,,GOOD,GOOD,LT-1,"MUD-1,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2435 11.4527, 77.2405 11.4532)"
12,T.NO-197,,S,DA,26,198-197,335.8943286,7.2,11.4532,77.2405,"11°27'11.4"" N","77°14'25.7"" E",,,,,241,,GOOD,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2405 11.4532, 77.2375 11.4536)"
13,T.NO-196,,S,DA,26,197-196,324.422564,8.1,11.4536,77.2375,"11°27'13.0"" N","77°14'15.2"" E",,,,,241,,GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2375 11.4536, 77.2348 11.454)"
14,T.NO-195,,S,DA,26,196-195,298.5649008,6.9,11.454,77.2348,"11°27'14.5"" N","77°14'05.4"" E",,,,,245,,GOOD,GOOD,LT-1,"MUD-1,TAR-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2348 11.454, 77.2315 11.4546)"
15,T.NO-194,,S,DA,26,195-194,366.3058831,7.8,11.4546,77.2315,"11°27'16.4"" N","77°13'53.5"" E",,,,,248,,GOOD,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2315 11.4546, 77.2278 11.4552)"
16,T.NO-193,,S,DA,26,194-193,416.108159,5.6,11.4552,77.2278,"11°27'18.7"" N","77°13'40.0"" E",,,,,246,,GOOD,GOOD,230KV-1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2278 11.4552, 77.2248 11.4557)"
17,T.NO-192,,S,DA,26,193-192,326.847059,8.2,11.4557,77.2248,"11°27'20.4"" N","77°13'29.3"" E",,,,,250,,GOOD,GOOD,LT-2,"MUD-1,TAR-2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2248 11.4557, 77.2221 11.4561)"
