Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs)As per Tower Schedule ,,Sapn  Length (mtrs),Difference between span length,Latitude,Longitude,,,,,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,,,
18,PA/S,S,20.9,17 TO 18,,220,,242.33850841319898,=G24-I24,12.196573,78.192077,,,,,7.1,437,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.192077 12.196573, 78.192732 12.197977)",,,,,,,,,,,,,,,,,,,,,
19,PB/T,T,20.85,18 TO 19 ,,212,,170.59989072511803,=G25-I25,12.197977,78.192732,,,,,7,433,"10⁰22'37"" LT",good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.192732 12.197977, 78.193331 12.200001)",,,,,,,,,,,,,,,,,,,,,
20,PA/S,S,20.9,19 TO 20 ,,285,,234.3471201198942,=G26-I26,12.200001,78.193331,,,,,6.5,438,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.193331 12.200001, 78.194138 12.202647)",,,,,,,,,,,,,,,,,,,,,
21,PA/S,S,20.9,20 TO 21,,285,,305.83100986021583,=G27-I27,12.202647,78.194138,,,,,6.2,438,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.194138 12.202647, 78.194973 12.205289)",,,,,,,,,,,,,,,,,,,,,
22,PA/S,S,20.9,21 TO 22,,285,,306.29785253940486,=G28-I28,12.205289,78.194973,,,,,5.4,433,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.194973 12.205289, 78.195775 12.208028)",,,,,,,,,,,,,,,,,,,,,
23,PA/S,S,20.9,22TO 23 ,,285,,315.5544318030794,=G29-I29,12.208028,78.195775,,,,,4.9,439,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.195775 12.208028, 78.196517 12.210549)",,,,,,,,,,,,,,,,,,,,,
24,PA +3/S,S,23.9,23 TO 24 ,,320,,290.5545284518424,=G30-I30,12.210549,78.196517,,,,,5.2,433,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.196517 12.210549, 78.19691 12.2121)",,,,,,,,,,,,,,,,,,,,,
25,PA +3/S,S,23.9,24 TO 25 ,,250,,176.95985965805485,=G31-I31,12.2121,78.19691,,,,,4.8,435,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19691 12.2121, 78.197633 12.214348)",,,,,,,,,,,,,,,,,,,,,
26,PB/T,T,20.85,25 TO 26 ,,198,,261.0266822321775,=G32-I32,12.214348,78.197633,2W,,,,4.6,438,"18⁰41'31""  LT",good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.197633 12.214348, 78.19759 12.21648)",,,,,,,,,,,,,,,,,,,,,
27,PA/S,S,20.9,26 TO 27,,250,,236.07383547620424,=G33-I33,12.21648,78.19759,,,,,7,445,,good,good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19759 12.21648, 78.19753 12.21877)",,,,,,,,,,,,,,,,,,,,,
