Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
T.NO-179,DA,S,26,180-179,289.9275771636772,4.35,309,,77.51472516,11.24171119,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51472516 11.24171119, 77.51280187 11.24052569)",,,,,,,,,,,,,,
T.NO-178,DA,S,26,179-178,247.72969139770066,5.14,305,,77.51280187,11.24052569,GOOD,GOOD,NO,,PLOT TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51280187 11.24052569, 77.5106835 11.23900748)",,,,,,,,,,,,,,
T.NO-177,DA,S,26,178-177,286.0069929215018,2.79,302,,77.5106835,11.23900748,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5106835 11.23900748, 77.50843756 11.23755359)",,,,,,,,,,,,,,
T.NO-176,DA,S,26,177-176,293.43653487594213,3.55,304,,77.50843756,11.23755359,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50843756 11.23755359, 77.50653146 11.23623235)",,,,,,,,,,,,,,
T.NO-175,DA,S,26,176-175,254.46610776290032,2.45,306,,77.50653146,11.23623235,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50653146 11.23623235, 77.50404713 11.2347262)",,,,,,,,,,,,,,
T.NO-174,DA,S,26,175-174,318.5294334908471,3.13,310,,77.50404713,11.2347262,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50404713 11.2347262, 77.50196654 11.2333341)",,,,,,,,,,,,,,
T.NO-173,DA,S,26,174-173,274.612454196819,4.11,307,,77.50196654,11.2333341,GOOD,GOOD,NO,LT,"TAAR ROAD,MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50196654 11.2333341, 77.49965584 11.23179031)",,,,,,,,,,,,,,
T.NO-172,DA,S,26,173-172,304.8442225137291,6.11,306,,77.49965584,11.23179031,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49965584 11.23179031, 77.49750091 11.23026325)",,,,,,,,,,,,,,
T.NO-171,DB,T,24,172-171,289.82235938588315,4.16,297,"2°0'38.43""",77.49750091,11.23026325,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49750091 11.23026325, 77.49538377 11.2288714)",,,,,,,,,,,,,,
T.NO-170,DA,S,26,171-170,277.91365565585295,5.11,301,,77.49538377,11.2288714,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49538377 11.2288714, 77.49296292 11.22728328)",,,,,,,,,,,,,,
