S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 3  LILO THALAIVAIPETTAI ,2W,T,DC,26,,,5.67,232,,77.59830556,11.56222222,GOOD,GOOD,,,PLAIN,THALAVAIPETTAI LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59830555555556 11.562222222222223, 77.6006111111111 11.562361111111112)"
2,T.NO 4,,T,DD,28,03-Apr,251.6445906,3.47,210,"57°38'30""",77.60061111,11.56236111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6006111111111 11.562361111111112, 77.60180555555554 11.560722222222223)"
3,T.NO 5,,T,DB,24,04-May,223.8057193,1.22,225,"3°9'1""",77.60180556,11.56072222,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60180555555554 11.560722222222223, 77.60202777777778 11.560444444444444)"
4,T.NO 6 DP,,T,DP,15,05-Jun,37.64306045,9.96,224,,77.60202778,11.56044444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60202777777778 11.560444444444444, 77.60222222222221 11.560333333333334)"
5,T.NO 7 DP,,T,DP,15,06-Jul,24.69817807,6.02,225,,77.60222222,11.56033333,GOOD,MISSING,230KV,,PLAIN,ANTHIYUR-GOBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60222222222221 11.560333333333334, 77.60247222222222 11.560166666666667)"
6,T.NO 8,2W,T,DB,24,07-Aug,31.90611227,7.68,218,"10°49'58""",77.60247222,11.56016667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60247222222222 11.560166666666667, 77.60374999999999 11.559666666666667)"
7,T.NO 9,,T,DD,28,08-Sep,152.2793486,5.16,221,"57°45'42""",77.60375,11.55966667,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60374999999999 11.559666666666667, 77.60422222222222 11.557222222222222)"
8,T.NO 10,,T,DB,24,09-Oct,276.1340254,4.84,221,"5°14'9""",77.60422222,11.55722222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60422222222222 11.557222222222222, 77.60477777777777 11.555305555555556)"
9,T.NO 11,,T,DB,24,10-Nov,220.880058,3.93,226,"13°6'31""",77.60477778,11.55530556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60477777777777 11.555305555555556, 77.60608333333333 11.552944444444446)"
10,T.NO 12,,T,DC,26,11-Dec,297.3163299,3.89,233,"18°36'21""",77.60608333,11.55294444,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60608333333333 11.552944444444446, 77.60652777777777 11.550583333333334)"
