Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 KOTTAMANGALAM LILO,,T,MC,45,,,3.2,361,,77.28919444,10.66444444,GOOD,GOOD,,,NO,CULTIVATION,"NEED 3WAY JUNCTION BOX,2EARTH WIRE.1 WIRE CONTINUE TO OUR T.NO-2, ANOTHER EARTH WIRE CONNECT TO UDUMALPET -PONNAPURAM  T.NO-38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28919444444445 10.664444444444445, 77.28805555555556 10.665583333333334)"
T.NO-2,,T,DD,31,1LILO-2,176.7766953,4.5,357,"37°30'14.91""",77.28805556,10.66558333,GOOD,GOOD,LT,"NALA,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28805555555556 10.665583333333334, 77.28666666666666 10.665777777777778)"
T.NO-3,,T,DB,27,02-Mar,153.3101432,2.6,351,"7°23'8.42""",77.28666667,10.66577778,GOOD,GOOD,,TAAR ROAD,NO,WATTER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28666666666666 10.665777777777778, 77.28536111111111 10.666111111111112)"
T.NO-4,,T,DC,29,03-Apr,147.9628332,3.15,352,"16°34'57.41""",77.28536111,10.66611111,GOOD,GOOD,LT,"POND,CANAL",NO,WATTER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28536111111111 10.666111111111112, 77.28413888888889 10.66686111111111)"
T.NO-5,,T,DD,31,04-May,157.0986951,4.11,353,"46°22'0.47""",77.28413889,10.66686111,GOOD,GOOD,LT,"NALA,TAAR ROAD",NO,PLAIN LND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28413888888889 10.66686111111111, 77.283 10.666583333333334)"
T.NO-6,,T,DB,27,05-Jun,128.3160161,,351,"10°2'49.59""",77.283,10.66658333,GOOD,GOOD,,,NO,PLAIN LND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.283 10.666583333333334, 77.28130555555555 10.665805555555556)"
T.NO-7,,T,DC,29,06-Jul,206.2474242,3.69,353,"25°13'40.42""",77.28130556,10.66580556,GOOD,GOOD,"LT,2nos 11KV",CANAL,NO,PLAIN LND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28130555555555 10.665805555555556, 77.27941666666666 10.665833333333333)"
T.NO-8,,T,DB,27,07-Aug,206.0024272,3.3,350,"10°34'58.72""",77.27941667,10.66583333,GOOD,GOOD,,,NO,PLAIN LND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27941666666666 10.665833333333333, 77.27780555555556 10.665555555555557)"
T.NO-9,,T,DD,31,08-Sep,178.8854382,0.8,346,"85°38'31.26""",77.27780556,10.66555556,GOOD,GOOD,11KV,,NO,PLAIN LND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27780555555556 10.665555555555557, 77.27783333333333 10.665111111111111)"
T.NO-10,,T,DD,31,09-Oct,48.25971405,2.07,343,"95°21'47.05""",77.27783333,10.66511111,GOOD,GOOD,"11KV,22KV",,YES,SUBSTTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27783333333333 10.665111111111111, 77.27808333333333 10.665166666666668)"
KOTTAMANGALAM 110KV GANTRY,2W,GANTRY,GANTRY,20,10-GANTRY,25.49509757,,,,77.27808333,10.66516667,GOOD,MISSING,,,NO,SUBSTTION,"NO EARTH WIRE,GANTRY KOTTAMANGALAM SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
