S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( KURUKKATHY  SS ),T,GT,15,,,,260,,77.69858333333333,10.99475,GOOD,MISSING,,,PLAIN,220KV KURUKKATHY  SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69858333333333 10.99475, 77.69861111111112 10.994944444444444)"
2,T.NO 86,T,DD,28,GT-86,22.20360331,5.69,258,"90°27'34""",77.69861111111112,10.994944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69861111111112 10.994944444444444, 77.69647222222223 10.995249999999999)"
3,T.NO 70 MC,T (MC),MD,,86-70,235.915239,3.08,252,"107°55'31""",77.69647222222223,10.995249999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69647222222223 10.995249999999999, 77.6965 10.995083333333332)"
4,T.NO 85,T,DC,26,70-85,106.2788206,4.72,251,"25°14'45""",77.6965,10.995083333333332,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6965 10.995083333333332, 77.69541666666667 10.991194444444444)"
5,T.NO 84,T,DD,28,85-84,358,5.13,256,"31°4'55""",77.69541666666667,10.991194444444444,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69541666666667 10.991194444444444, 77.69616666666667 10.988638888888888)"
6,T.NO 83,T,DC,26,84-83,293.0017065,5.23,259,"29°45'34""",77.69616666666667,10.988638888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69616666666667 10.988638888888888, 77.69558333333333 10.98611111111111)"
7,T.NO 82,S,DA,26,83-82,287.3343001,6.18,262,,77.69558333333333,10.98611111111111,GOOD,GOOD,"LT-1,HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69558333333333 10.98611111111111, 77.69483333333334 10.983222222222222)"
8,T.NO 81,S,DA,26,82-81,330.8186815,6.46,268,,77.69483333333334,10.983222222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69483333333334 10.983222222222222, 77.69447222222223 10.981833333333334)"
9,T.NO 80,T,DD,28,81-80,159.8311609,6.51,268,"37°53'46""",77.69447222222223,10.981833333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69447222222223 10.981833333333334, 77.6926388888889 10.98038888888889)"
10,T.NO 79,T,DD,28,80-79,255.3448648,6.38,267,"39°52'5""",77.6926388888889,10.98038888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6926388888889 10.98038888888889, 77.69036111111112 10.980472222222222)"
11,T.NO 78,S,DA,26,79-78,249.1284809,5.42,264,,77.69036111111112,10.980472222222222,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69036111111112 10.980472222222222, 77.68788888888889 10.980583333333334)"
12,T.NO 77,S,DA,26,78-77,270.1184925,5.76,270,,77.68788888888889,10.980583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68788888888889 10.980583333333334, 77.68577777777779 10.980583333333334)"
13,T.NO 76,T,DD,28,77-76,232.0086205,6.17,272,"40°22'13""",77.68577777777779,10.980583333333334,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68577777777779 10.980583333333334, 77.68447222222223 10.979583333333334)"
14,T.NO 75,S,DA,26,76-75,178.66449,6.22,269,,77.68447222222223,10.979583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68447222222223 10.979583333333334, 77.68291666666667 10.978361111111111)"
15,T.NO 74,S,DA,26,75-74,218.9611838,6.51,268,,77.68291666666667,10.978361111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68291666666667 10.978361111111111, 77.68130555555555 10.977027777777778)"
16,T.NO 73,T,DD,28,74-73,229.1920592,5.56,274,"44°24'49""",77.68130555555555,10.977027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68130555555555 10.977027777777778, 77.67919444444445 10.97725)"
17,T.NO 72,S,DA,26,73-72,230.9567059,6.01,275,,77.67919444444445,10.97725,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67919444444445 10.97725, 77.67666666666668 10.977500000000001)"
18,T.NO 71,S,DA,26,72-71,277.3175076,5.83,271,,77.67666666666668,10.977500000000001,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67666666666668 10.977500000000001, 77.67469444444446 10.977694444444445)"
19,T.NO 70,S,DA,26,71-70,217.745264,6.61,271,,77.67469444444446,10.977694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67469444444446 10.977694444444445, 77.67222222222223 10.977916666666667)"
20,T.NO 69,T,DC,26,70-69,272.9706944,5.58,275,"15°16'59""",77.67222222222223,10.977916666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67222222222223 10.977916666666667, 77.67002777777778 10.977555555555556)"
21,T.NO 68,S,DA,26,69-68,241.5056935,5.82,281,,77.67002777777778,10.977555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67002777777778 10.977555555555556, 77.66875 10.977333333333334)"
22,T.NO 67,T,DD,28,68-67,143.5618334,6.02,281,"59°19'37""",77.66875,10.977333333333334,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66875 10.977333333333334, 77.66833333333334 10.976305555555555)"
23,T.NO 66,T,DD,28,67-66,122.7762192,5.67,287,"56°36'32""",77.66833333333334,10.976305555555555,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66833333333334 10.976305555555555, 77.66541666666667 10.975666666666667)"
24,T.NO 65,T,DB,24,66-65,327.2460848,6.83,284,"0°11'51""",77.66541666666667,10.975666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66541666666667 10.975666666666667, 77.66294444444445 10.975111111111111)"
25,T.NO 64,T,DB,24,65-64,278.2265264,7.43,289,"0°15'57""",77.66294444444445,10.975111111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66294444444445 10.975111111111111, 77.66027777777778 10.974527777777778)"
26,T.NO 63,T,DC,26,64-63,297.4155342,7.14,296,"29°3'37""",77.66027777777778,10.974527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66027777777778 10.974527777777778, 77.65816666666667 10.975166666666667)"
27,T.NO 62,S,DA,26,63-62,240.8007475,6.14,293,,77.65816666666667,10.975166666666667,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65816666666667 10.975166666666667, 77.656 10.975861111111112)"
28,T.NO 61,S,DA,26,62-61,249.89998,5.97,285,,77.656,10.975861111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.656 10.975861111111112, 77.65369444444445 10.9765)"
29,T.NO 60,T,DC,26,61-60,260.311352,6.41,282,"28°52'6""",77.65369444444445,10.9765,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65369444444445 10.9765, 77.6515 10.976027777777778)"
30,T.NO 59,T,DB,24,60-59,246.9757073,4.37,284,"7°30'13""",77.6515,10.976027777777778,GOOD,GOOD,,"DRAIN,MUD ROAD-2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6515 10.976027777777778, 77.64875 10.975805555555556)"
31,T.NO 58,T,DC,26,59-58,302.2085373,5.07,287,"15°52'39""",77.64875,10.975805555555556,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64875 10.975805555555556, 77.64669444444445 10.975055555555556)"
32,T.NO 57,T,DC,26,58-57,239.9416596,3.41,283,"15°50'41""",77.64669444444445,10.975055555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64669444444445 10.975055555555556, 77.64536111111111 10.974944444444445)"
33,LILO : T.NO 56/1 ,T (LILO),DB,24,57-56/1,144.5856148,5.14,293,"1°7'8""",77.64536111111111,10.974944444444445,GOOD,GOOD,,,PLAIN,OLAPALAYAM LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64536111111111 10.974944444444445, 77.64461111111112 10.974916666666667)"
