Tower No,JOINT BOX,,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,,SC,S,26,24-23,312,311.6738149,1.37,169,,11.20712,78.21083,GOOD,GOOD,"LT LINE-2, 33KV LINE-1",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21083 11.20712, 78.20844 11.20824)"
22,,SC,S,26,23-22,289,289.1392749,1.06,173,,11.20824,78.20844,GOOD,GOOD,LT LINE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20844 11.20824, 78.20609 11.20945)"
21,,SC,S,26,22-21,288,289.6658703,1.66,177,,11.20945,78.20609,GOOD,GOOD,LT LINE-2,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20609 11.20945, 78.20393 11.21053)"
20,,SC,S,26,21-20,265,264.6178159,3.63,183,,11.21053,78.20393,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20393 11.21053, 78.20155 11.21167)"
19,,SC,T,28,20-19,289,289.1107251,1.26,186,"35°44'16""   LT",11.21167,78.20155,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20155 11.21167, 78.19916 11.21126)"
18,,SC,S,26,19-18,265,265.1207069,0.97,188,,11.21126,78.19916,GOOD,GOOD,"LT LINE-1,33KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19916 11.21126, 78.19677 11.2108)"
17,,SC,S,26,18-17,265,266.1250529,1.01,191,,11.2108,78.19677,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19677 11.2108, 78.19392 11.21029)"
16,,SC,S,26,17-16,316,316.5584007,1.06,197,,11.21029,78.19392,GOOD,GOOD,,TAR ROAD CROSSING-2,SMALL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19392 11.21029, 78.19094 11.20976)"
15,,SC,S,26,16-15,329,330.9350458,1.36,189,,11.20976,78.19094,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19094 11.20976, 78.18825 11.20925)"
14,,SC,S,26,15-14,299,299.3706825,3.09,196,,11.20925,78.18825,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18825 11.20925, 78.18532 11.20878)"
13,,SC,S,26,14-13,324,324.4298088,3.22,200,,11.20878,78.18532,GOOD,GOOD,"33KV LINE-2, LT LINE-2",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18532 11.20878, 78.18212 11.20816)"
12,2W,SC,T,24,13-Dec,355,356.4124314,4.67,203,"12°14'25""   LT",11.20816,78.18212,GOOD,GOOD,LT LINE-4,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18212 11.20816, 78.17982 11.20718)"
11,,SC,T,24,12-Nov,275,273.7890448,3.6,209,"14°5'39""   RT",11.20718,78.17982,GOOD,GOOD,LT LINE-2,TAR ROAD CROSSING(NAMAKKAL TO TRICHY),SPECTRUM LIFE SCHOOL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17982 11.20718, 78.17727 11.20677)"
