Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY PALLADAM 230KV SS,2W,GANTRY,GANTRY TOWER,20,,,,376,,77.31116667,11.00480556,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTHWIRE TERMINATED IN TAKE OFF TOWER OF PALLADAM 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31116666666667 11.004805555555556, 77.31083333333333 11.00463888888889)"
T.NO 1,,T,DD,28,GANTRY-1,38.91015292,2.46,372,"120°49'38""",77.31083333,11.00463889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31083333333333 11.00463888888889, 77.31097222222222 11.006)"
T.NO 2,,T,DD,28,01-Feb,151.5585695,3.82,374,"90°16'26""",77.31097222,11.006,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31097222222222 11.006, 77.31419444444444 11.005694444444444)"
T.NO 3,,T,DD,28,02-Mar,353.4515525,3.29,368,"59°20'32""",77.31419444,11.00569444,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31419444444444 11.005694444444444, 77.31508333333333 11.003777777777778)"
T.NO 4,,T,DD+6,34,03-Apr,232.594067,9.6,370,"71°33'41""",77.31508333,11.00377778,GOOD,GOOD,LT,"DRAIN,MUD ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31508333333333 11.003777777777778, 77.31702777777777 11.004)"
T.NO 5,,T,DC,26,04-May,212.5958607,3.71,364,"21°59'31""",77.31702778,11.004,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31702777777777 11.004, 77.3193611111111 11.005277777777778)"
T.NO 6,,T,DD+3,31,05-Jun,292.7456234,4.72,362,"47°35'27""",77.31936111,11.00527778,GOOD,GOOD,NIL,DRAIN,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3193611111111 11.005277777777778, 77.31994444444445 11.007555555555555)"
T.NO 7,,T,DB+3,27,06-Jul,259.0443977,5.86,360,"9°23'32""",77.31994444,11.00755556,GOOD,GOOD,NIL,DRAIN,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31994444444445 11.007555555555555, 77.32013888888889 11.01013888888889)"
T.NO 8,,T,DB+3,27,07-Aug,286.6984479,4.32,357,"9°45'58""",77.32013889,11.01013889,GOOD,GOOD,NIL,DRAIN,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32013888888889 11.01013888888889, 77.3206111111111 11.011944444444444)"
T.NO 9,,T,DD+3,31,08-Sep,205.915031,2.82,363,"74°28'6""",77.32061111,11.01194444,GOOD,GOOD,HT,DRAIN,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3206111111111 11.011944444444444, 77.32327777777778 11.012)"
T.NO 10,,T,DD+3,31,09-Oct,292.1386657,3.73,358,"66°35'51""",77.32327778,11.012,GOOD,GOOD,NIL,DRAIN,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32327777777778 11.012, 77.32397222222222 11.0105)"
T.NO 11,,T,DB,24,10-Nov,183.4121043,3.51,360,"11°38'54""",77.32397222,11.0105,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32397222222222 11.0105, 77.3243611111111 11.008833333333333)"
