Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Differences,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,    Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
RAMIYANAHALLI      GANTRY,2W,GANTRY,20,,,,,,,,,12.03307,78.38132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38132 12.03307, 78.38105 12.0332)"
1,,T,24,Gantry to 1,38,32.74869263,,-35.18280388,2.6,413,"2˚18'18""    LT",12.0332,78.38105,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38105 12.0332, 78.37895 12.03411)"
2,,T,26,1 to 2,285,249.996419,,-69.70682811,3.2,414,"28˚55'9""   RT",12.03411,78.37895,good,good ,Lt line crossing -2,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37895 12.03411, 78.37737 12.03615)"
3,,T,24,2 to 3,315,283.9437587,,5.089775719,4.2,412,"0˚46'0""   RT",12.03615,78.37737,good,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37737 12.03615, 78.37563 12.03846)"
4,,S,26,3 to 4 ,340,318.3079758,,33.05173578,3.6,413,,12.03846,78.37563,good,good ,"Lt -2,11kv line crossing",,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37563 12.03846, 78.37382 12.04089)"
5,,T,28,4 to 5 ,340,333.5245799,,6.632180068,3.3,417,"30˚55'8""   RT",12.04089,78.37382,good,good ,Lt line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37382 12.04089, 78.37353 12.04395)"
6,,T,26,5 to 6,305,340.1828039,,63.80399679,5.8,415,"20˚14'52""   RT",12.04395,78.37353,good ,good ,,Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37353 12.04395, 78.37425 12.04661)"
7,,T,28,6 to 7,235,304.7068281,,25.05678463,6.5,416,"58˚27'34""   RT",12.04661,78.37425,good ,good ,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37425 12.04661, 78.37636 12.04723)"
8,,T,24,7 to 8 ,245,239.9102243,,-47.86605282,8.6,414,"5˚54'0""   RT",12.04723,78.37636,good,good ,,River crossing,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37636 12.04723, 78.37856 12.04764)"
9,,S,26,8 to 9 ,277,243.9482642,,3.038885053,5.8,419,,12.04764,78.37856,good ,good ,Lt line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37856 12.04764, 78.38107 12.04811)"
10,,T,26,9 to 10  ,285,278.3678199,,-69.03589163,9.3,422,"27˚10'13""   RT",12.04811,78.38107,good ,good ,"2-11kv,33 kv line crossing",road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38107 12.04811, 78.38359 12.04738)"
