S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,GCR(S),DA,26,09-Oct,230,214.4616663,-16,2.15,491,,12.1774,78.04966,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04966 12.1774, 78.04942 12.17942)"
12,11,,GCR(S),DA,26,10-Nov,220,225.178247,7,1.91,492,,12.17942,78.04942,GOOD,GOOD,LT LINE-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04942 12.17942, 78.04916 12.18133)"
13,12,,KCR(T),DD,28,11-Dec,210,213.3642959,4,1.27,491,"50°31'26""(LT)",12.18133,78.04916,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04916 12.18133, 78.047 12.18265)"
14,13,,KCR(T),DD,28,Dec-13,280,276.9755618,-4,1.12,493,"42°23'27""(LT)",12.18265,78.047,GOOD,GOOD,"400KV LINE CROSSING(BANGALORE TO SALEM),110KV EARTH WIRE REMOVE",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.047 12.18265, 78.04487 12.18226)"
15,14,,GCR(S),DA,26,13-14,260,235.9934074,-24,1.15,488,,12.18226,78.04487,GOOD,GOOD,LT LINE,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04487 12.18226, 78.04263 12.18178)"
16,15,,GCR(S),DA,26,14-15,210,249.7128305,0,0.92,488,,12.18178,78.04263,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04263 12.18178, 78.04118 12.18144)"
17,16,2W,KCR(T),DD,28,15-16,195,162.3659852,-25,2.12,436,"57°46'15""(LT)",12.18144,78.04118,GOOD,GOOD,LT LINE-2,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04118 12.18144, 78.04039 12.17916)"
18,17,,KCR+3 T,DD+3,31,16-17,245,266.7082291,26,1.91,486,"43°45'14""(RT)",12.17916,78.04039,GOOD,GOOD,"LT LINE CROSSING,11KV CROSSING",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04039 12.17916, 78.038 12.17794)"
19,18,,KCR(T),DB,24,17-18,295,293.2933158,-12,1.09,486,"07°19'30""(RT)",12.17794,78.038,GOOD,GOOD,LT-3,,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.038 12.17794, 78.03775 12.17785)"
20,19(DP 1),,DP,DC,26,18-19,30,28.99776532,-2,,486,"16°49'08""(LT)",12.17785,78.03775,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03775 12.17785, 78.03752 12.17768)"
21,20(DP 2),,DP,DC,26,19-20,35,31.33623507,-3,,486,"17°59'10""(LT)",12.17768,78.03752,GOOD,NO,220KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03752 12.17768, 78.03737 12.17747)"
22,21,,KCR+3 T,DB+3,27,20-21,30,28.41832973,0,0.92,485,"05°33'24""(RT)",12.17747,78.03737,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03737 12.17747, 78.03586 12.17574)"
23,22,,GCR+6 S,DA+6,32,21-22,230,252.4775428,22,2.28,490,,12.17574,78.03586,GOOD,NO,"LT-2,765KV LINE CROSSING(DP1-TMK)",,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03586 12.17574, 78.03452 12.17415)"
24,23,,KCR(T),DD,28,22-23,230,228.688534,-2,1.93,487,"50°04'22""(RT)",12.17415,78.03452,GOOD,NO,"LT LINE, NO EARTH WIRE",,SAND ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03452 12.17415, 78.03232 12.17414)"
25,24,,KCR(T),DD,28,23-24,255,239.6465602,-15,1.73,486,"48°50'03""(LT)",12.17414,78.03232,GOOD,GOOD,"33KV LINE CROSSING,400KV LINE CROSSING(DPI-50M),NO EARTH WIRE",SAND ROAD CROSSING,TOWER INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03232 12.17414, 78.03092 12.17255)"
26,25,,GCR(S),DA,26,24-25,220,232.9157223,12,2.19,491,,12.17255,78.03092,GOOD,GOOD,LT-2,,POND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03092 12.17255, 78.02972 12.17109)"
27,26,,HCR(T),DC,26,25-26,225,207.891846,-16,1.57,496,"21°45'53""(RT)",12.17109,78.02972,GOOD,GOOD,,, ,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02972 12.17109, 78.02778 12.17002)"
