Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-01 SAMATHUR LILO,,MC,T,45,,,2.41,277,,77.02622222,10.60952778,GOOD,GOOD,NO,,,WATER LOGGED  INSIDE THE CANAL,NEED 3WAY JUNCTION BOX .2EARTH WIRE ONE CONTINUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECT TO POLLACHI-ALIYAR TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02622222222222 10.609527777777778, 77.024 10.608805555555556)"
T.NO-2,,DC,T,26,1--2,254.568,3.18,272,"17°28'58.96""",77.024,10.60880556,GOOD,GOOD,NO,,,WATER LOGGED  INSIDE THE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.024 10.608805555555556, 77.02172222222222 10.607166666666666)"
T.NO-3,,DB,T,24,2--3,307.617,2.18,272,"11°58'58.45""",77.02172222,10.60716667,GOOD,GOOD,NO,LT,,WATER LOGGED  INSIDE THE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02172222222222 10.607166666666666, 77.02069444444444 10.606722222222222)"
T.NO-4,,DD,T,28,3--4,123.976,4.13,276,"50°27'14.11""",77.02069444,10.60672222,GOOD,GOOD,NO,CANAL,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02069444444444 10.606722222222222, 77.02030555555555 10.605333333333332)"
T.NO-5,,DB,T,24,4--5,159.625,5.18,276,"14°25'40.88""",77.02030556,10.60533333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02030555555555 10.605333333333332, 77.01977777777778 10.604444444444445)"
T.NO-6,,DD,T,31,5--6,115.104,4.53,281,"92°47'16.99""",77.01977778,10.60444444,GOOD,GOOD,YES,"3nos 22KV,LT",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01977777777778 10.604444444444445, 77.01958333333333 10.604555555555555)"
SAMATHUR GANTRY,2W,GANTRY,GANTRY,20,6-GANTRY,26.077,,280,,77.01958333,10.60455556,GOOD,MISSING,NO,,,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
