S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,UTHANAPALLI GANTRY,2W,UTHANAPALLI GANTRY,T,20,,,,,770,,12.60883,77.92585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92585 12.60883, 77.92572 12.60891)"
2,1,,KCR+0 (T),DD,36,GANTRY-1,195,16.6825561,0.63,776,"100°52'21""(LT)",12.60891,77.92572,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92572 12.60891, 77.92495 12.60696)"
3,2,,HCR+0(T),DB,32,01-Feb,240,231.5747935,0.89,774,,12.60696,77.92495,GOOD,GOOD,"11 KV-1),LT LINE-1,33KV -2 ",ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92495 12.60696, 77.92402 12.60479)"
4,3,,KCR+0 (S),DA,34,02-Mar,170,260.682159,0.41,773,,12.60479,77.92402,GOOD,GOOD,,"CANAL CROSSING,SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92402 12.60479, 77.92317 12.60281)"
5,4,,KCR-3M(T),DB+3,29,03-Apr,150,237.9178481,0.67,776,,12.60281,77.92317,GOOD,GOOD,LT line - 1,"CANAL CROSSING,SMALL HILLS,TRUCK ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92317 12.60281, 77.92263 12.60153)"
6,5,,KCR+3M(S),DA+3,37,04-May,240,153.407308,0.89,786,,12.60153,77.92263,GOOD,GOOD,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92263 12.60153, 77.9219 12.59984)"
7,6,,GCR+6M(T),DB+6,38,05-Jun,205,203.2618129,0.36,791,"07°58'18""(RT)",12.59984,77.9219,GOOD,GOOD,,"SMALL CANAL CROSING,SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9219 12.59984, 77.92077 12.59799)"
8,7,,GCR+3M(T),DD+3,39,06-Jul,207,238.8673666,,803,"57°19'31""(RT)",12.59799,77.92077,GOOD,GOOD,,"SMALL CANAL CROSING,SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92077 12.59799, 77.92043 12.59798)"
9,DP-1(8),,HCR+0M(T),DB,32,07-Aug,230,36.99111312,,803,"04°46'52""(RT)",12.59798,77.92043,GOOD,GOOD,DP - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92043 12.59798, 77.92005 12.598)"
10,DP2(9),,GCR+0 (T),DB,32,08-Sep,220,41.38375966,,804,,12.598,77.92005,GOOD,NO EARTH WIRE,"230KV LINE CROSSING, EARTH WIRE REMOVED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92005 12.598, 77.91988 12.59801)"
11,10,,KCR+6M(T),DD+6,42,09-Oct,250,18.52038386,0.58,803,"63°55'08""(LT)",12.59801,77.91988,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91988 12.59801, 77.9192 12.59683)"
