S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,18,,S,SC,25,17 - 18,278.6142307,2.54,24.565014,,13.370621,80.09533402,GOOD,AVAILABLE,230KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0953340157866 13.3706209994852, 80.0941929873079 13.3682810235768)"
21,19,,T,SC,25,18 - 19,289.2912941,3.21,26.311695,27°39'52''RT,13.36828102,80.09419299,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0941929873079 13.3682810235768, 80.0923590268939 13.3669369854032)"
22,20,,S,SC,25,19 - 20,250.5758361,1.15,26.066816,,13.36693699,80.09235903,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0923590268939 13.3669369854032, 80.0905969832092 13.3656940329819)"
23,21,,T,SC,25,20 - 21,237.68127,2.76,27.139631,5°1'16''LT,13.36569403,80.09059698,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0905969832092 13.3656940329819, 80.0904040317982 13.3655310049653)"
24,21A,,T,H-POLE,15,21 - 21A,30.09973473,3.08,26.910286,6°1'40''RT,13.365531,80.09040403,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0904040317982 13.3655310049653, 80.0901730265468 13.3653740119189)"
25,21B,,T,H-POLE,15,21A - 21B,32.95196012,1.93,27.129032,5°0'47''LT,13.36537401,80.09017303,GOOD,NO E/W,230KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0901730265468 13.3653740119189, 80.0899889599531 13.3652239758521)"
26,22,2W,T,SC,25,21B - 22,28.4366031,2.16,26.727798,20°52'11''LT,13.36522398,80.08998896,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0899889599531 13.3652239758521, 80.0891549605876 13.3637719787657)"
27,23,,T,SC,25,22 - 23,186.7494291,0.19,25.854223,5°25'40''LT,13.36377198,80.08915496,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0891549605876 13.3637719787657, 80.0884440075606 13.362202970311)"
28,24,,T,SC,25,23 - 24,192.3493151,2.11,24.815752,22°0'23''RT,13.36220297,80.08844401,GOOD,AVAILABLE,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0884440075606 13.362202970311, 80.0866610091179 13.3605130109936)"
29,25,,S,SC,25,24 - 25,271.2393298,1.27,24.993095,,13.36051301,80.08666101,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0866610091179 13.3605130109936, 80.0847749970853 13.3588549867272)"
