Sl.No.,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
59,T.NO 23,,S,DA,26,22-23,297.6340034,5.45,7,,80.26777778,13.25169444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.26777777777778 13.251694444444444, 80.27008333333333 13.253277777777777)"
60,T.NO 24,,T,DC,26,23-24,305.7384503,5.59,6,"24°53'41""",80.27008333,13.25327778,GOOD,GOOD,110KV CROSSING ABOVE WITH MULTI TOWER,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27008333333333 13.253277777777777, 80.27122222222222 13.25525)"
61,T.NO 25,,S,DA,26,24-25,248.6966023,6.14,6,,80.27122222,13.25525,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27122222222222 13.25525, 80.27225 13.256972222222222)"
62,T.NO 26,,T,DB,24,25-26,220.0477221,5.72,5,"5°1'44""",80.27225,13.25697222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27225 13.256972222222222, 80.27288888888889 13.258333333333333)"
63,T.NO 27,,T,DC,26,26-27,163.8657988,5.67,6,"17°48'26""",80.27288889,13.25833333,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27288888888889 13.258333333333333, 80.27305555555556 13.259527777777778)"
64,T.NO 28,,T,DC,26,27-28,134.1230778,6.38,3,"19°1'40""",80.27305556,13.25952778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27305555555556 13.259527777777778, 80.27286111111111 13.260444444444444)"
65,T.NO 29,,T,DD,28,28-29,108.8117641,6.85,6,"111°56'19""",80.27286111,13.26044444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.27286111111111 13.260444444444444, 80.27297222222222 13.260444444444444)"
66,GANTRY (110KV MELUR SS ),2W,T,GT,15,29-GT,22.36067977,,4,,80.27297222,13.26044444,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
