S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT 110KV PUZHAL,2W,H-POLE,H-POLE,15,,,,28,,13.15636589,80.19859755,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1985975541174 13.1563658919185, 80.198366465047 13.1564827356487)"
2,TN - 1,,T,DC,28,TN - 4 : TN - 5,31.18343099,1.05,26,54°4'7''LT,13.15648274,80.19836647,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.198366465047 13.1564827356487, 80.1968558784574 13.1557094212621)"
3,TN - 2,,T,DC,28,TN - 5 : TN - 6,187.7156922,0.79,23,12°46'20''LT,13.15570942,80.19685588,GOOD,AVAILABLE,,ROAD,PLAIN,INSIDE FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1968558784574 13.1557094212621, 80.1959897764027 13.1554880551993)"
4,TN - 3,,T,DC,28,TN - 6 : TN - 7,100.011386,0.13,23,63°41'27''RT,13.15548806,80.19598978,GOOD,AVAILABLE,,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1959897764027 13.1554880551993, 80.1956985052675 13.1541144289076)"
5,TN - 4,,T,DC,28,TN - 7 : TN - 8,158.165629,1.26,22,19°33'2''LT,13.15411443,80.19569851,RUSTED,AVAILABLE,,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1956985052675 13.1541144289076, 80.194954611361 13.1529015675187)"
6,TN - 5,,T,DC,28,TN - 8 : TN - 9,159.5061755,3.41,21,42°20'11''LT,13.15290157,80.19495461,GOOD,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.194954611361 13.1529015675187, 80.193649046123 13.1525237113237)"
7,TN - 6,,T,DC,28,TN - 9 : TN - 10,150.5454915,1.55,18,25°55'38''RT,13.15252371,80.19364905,RUSTED,AVAILABLE,11KV,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.193649046123 13.1525237113237, 80.1920470967888 13.1510778330266)"
8,TN - 7,,T,DC,28,TN - 10 : TN - 11,239.0470903,2.06,17,14°21'43''LT,13.15107783,80.1920471,RUSTED,AVAILABLE,,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1920470967888 13.1510778330266, 80.1901201810687 13.1500658858567)"
9,TN - 8,,T,DC,28,TN - 11 : TN - 12,239.948293,0.4,18,42°25'8''RT,13.15006589,80.19012018,GOOD,AVAILABLE,11KV,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1901201810687 13.1500658858567, 80.188540527597 13.1504560634493)"
10,TN - 9,,T,DC,28,TN - 12 : TN - 13,179.5669491,-,17,54°25'29''LT,13.15045606,80.18854053,RUSTED,AVAILABLE,,ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.188540527597 13.1504560634493, 80.187522880733 13.1496111676096)"
11,TN - 10,,T,DC,28,TN - 13 : TN - 14,147.5600582,-,18,16°34'23''LT,13.14961117,80.18752288,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.187522880733 13.1496111676096, 80.1855258923023 13.1487582251429)"
12,TN - 11,,S,DC,28,TN - 14 : TN - 15,239.1104187,-,17,,13.14875823,80.18552589,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1855258923023 13.1487582251429, 80.1835997309535 13.1478015985339)"
13,TN - 12,,S,DC,28,TN - 15 : TN - 16,237.0496386,-,18,,13.1478016,80.18359973,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1835997309535 13.1478015985339, 80.1817467436194 13.1468817684799)"
14,TN - 13,,T,DC,28,TN - 16 : TN - 17,228.1362453,-,17,9°27'41''RT,13.14688177,80.18174674,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1817467436194 13.1468817684799, 80.1796242780983 13.1453475449234)"
15,TN - 14,,S,DC,28,TN - 17 : LILO : 18,288.8586953,1.89,16,,13.14534754,80.17962428,RUSTED,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1796242780983 13.1453475449234, 80.1774283871054 13.1438046880066)"
16,TN - 15,,T,DC,28,LILO : 18 : TN - 19,295.8582461,2.11,16,25°50'40''RT,13.14380469,80.17742839,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1774283871054 13.1438046880066, 80.1765060424804 13.1421450711786)"
17,TN - 16,,S,DC,28,TN - 19 : TN - 20,212.0106242,-,16,,13.14214507,80.17650604,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1765060424804 13.1421450711786, 80.1756546925753 13.1406097579747)"
18,TN - 17,,S,DC,28,TN - 20 : ,196.2572049,-,15,,13.14060976,80.17565469,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1756546925753 13.1406097579747, 80.174795044586 13.1390125025063)"
19,LILO : 18,3W,T,DC,28, : ,202.7216761,-,15,42°50'40''RT,13.1390125,80.17479504,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.174795044586 13.1390125025063, 80.176179 13.139079)"
20,TN - 19,,S,SC,26, : ,155,-,15,,13.139079,80.176179,GOOD,OPGW,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.176179 13.139079, 80.178347 13.139195)"
21,TN - 20,2W,T,SC,29, : ,240,-,15,,13.139195,80.178347,RUSTED,OPGW,,,WATER LOGGED,JOINT BOX IS AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,, ,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
