S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 9,T,DB,24,8-9,265.2772134956186,3.25,160,"11°0'11""",79.25591666666666,12.677805555555555,GOOD,GOOD,LT,"ROAD,RIVER",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25591666666666 12.677805555555555, 79.25411111111111 12.679472222222222)"
21,T.NO 10,S,DA,26,9-10,268.1510768205118,4.08,162,,79.25411111111111,12.679472222222222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25411111111111 12.679472222222222, 79.25222222222222 12.681222222222221)"
22,T.NO 11,S,DA,26,10-11,282.8992753613908,5.35,163,,79.25222222222222,12.681222222222221,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25222222222222 12.681222222222221, 79.2503611111111 12.682944444444443)"
23,T.NO 12,S,DA,26,11-12,278.0017985553331,7.18,167,,79.2503611111111,12.682944444444443,GOOD,GOOD,"LT, 400KV DC LINE ",ROAD,AGRI,40KV DC LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2503611111111 12.682944444444443, 79.24825 12.684861111111111)"
24,T.NO 13,S,DB,24,12-13,312.62117650600703,3.9,166,"0°15'43""",79.24825,12.684861111111111,GOOD,GOOD,,MUDROAD,"AGRI,LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24825 12.684861111111111, 79.24655555555556 12.686444444444446)"
25,T.NO 14,T,DA,26,13-14,254.62128740543278,4.58,167,,79.24655555555556,12.686444444444446,GOOD,GOOD,LT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24655555555556 12.686444444444446, 79.2445 12.688333333333334)"
26,T.NO 15,S,DA,26,14-15,304.1742921418574,16.05,168,,79.2445,12.688333333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2445 12.688333333333334, 79.24269444444444 12.690055555555556)"
27,T.NO 16,S,DA,26,15-16,275.0872588834314,3.65,169,,79.24269444444444,12.690055555555556,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24269444444444 12.690055555555556, 79.24141666666667 12.691166666666668)"
28,T.NO 17,S,DA,26,16-17,=184.783657286027+50,,161,,79.24141666666667,12.691166666666668,GOOD,GOOD,"HT, 765KV DC LINE CROSSING",MUDROAD,WATER LOGGED,765KV DC LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24141666666667 12.691166666666668, 79.23877777777778 12.693666666666667)"
29,T.NO 18,T,DB,24,17-18,350,5.25,170,"9°25'15""",79.23877777777778,12.693666666666667,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23877777777778 12.693666666666667, 79.23683333333334 12.694944444444445)"
30,T.NO 19,S,DA,26,18-19,254.33245958783948,4.72,169,,79.23683333333334,12.694944444444445,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23683333333334 12.694944444444445, 79.23466666666667 12.696388888888889)"
31,T.NO 20,S,DA,26,19-20,284.0369694247564,3.68,177,,79.23466666666667,12.696388888888889,GOOD,GOOD,"2NOS LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23466666666667 12.696388888888889, 79.23263888888889 12.697722222222222)"
32,T.NO 21,S,DA,26,20-21,263.2299375071156,4.13,165,,79.23263888888889,12.697722222222222,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23263888888889 12.697722222222222, 79.2305 12.69913888888889)"
33,T.NO 22,T,DB,24,21-22,281.2561110447202,5.38,167,"0°12'47""",79.2305,12.69913888888889,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2305 12.69913888888889, 79.22844444444445 12.700472222222222)"
34,T.NO 23,S,DA,26,22-23,266.8107943843352,3.05,170,,79.22844444444445,12.700472222222222,GOOD,GOOD,3NOS LT,"ROAD,CEMENT ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22844444444445 12.700472222222222, 79.22605555555556 12.702083333333333)"
35,T.NO 24,S,DA,26,23-24,315.40608744918035,7.85,169,,79.22605555555556,12.702083333333333,GOOD,GOOD,"2NOS LT,HT",,"AGRI,CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22605555555556 12.702083333333333, 79.22416666666666 12.70336111111111)"
36,T.NO 25,S,DA,26,24-25,248.31028975860022,16.71,175,,79.22416666666666,12.70336111111111,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22416666666666 12.70336111111111, 79.22233333333334 12.704583333333332)"
37,T.NO 26,T,DB,24,25-26,242.98971171636055,4.15,174,"0°9'59""",79.22233333333334,12.704583333333332,GOOD,GOOD,2NOS LT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22233333333334 12.704583333333332, 79.21983333333334 12.706249999999999)"
38,T.NO 27,S,DA,26,26-27,327.86582621554203,8.3,180,,79.21983333333334,12.706249999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21983333333334 12.706249999999999, 79.21761111111111 12.707694444444444)"
39,T.NO 28,S,DA,26,27-28,288.7247824486149,6.95,178,,79.21761111111111,12.707694444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21761111111111 12.707694444444444, 79.2153888888889 12.709138888888889)"
40,T.NO 29,S,DA,26,28-29,289.03287010303865,5.75,182,,79.2153888888889,12.709138888888889,GOOD,GOOD,HT,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2153888888889 12.709138888888889, 79.21319444444445 12.710638888888889)"
41,T.NO 30,S,DA,26,29-30,290.9931270666027,4.95,181,,79.21319444444445,12.710638888888889,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21319444444445 12.710638888888889, 79.211 12.712083333333332)"
42,T.NO 31,T,DC,26,30-31,286.81875810344064,5.6,182,"24°25'35""",79.211,12.712083333333332,GOOD,GOOD,2NOS LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.211 12.712083333333332, 79.20977777777777 12.714027777777778)"
43,T.NO 32,S,DA,26,31-32,252.62026838715852,3.95,181,,79.20977777777777,12.714027777777778,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20977777777777 12.714027777777778, 79.20877777777778 12.715638888888888)"
44,T.NO 33,T,DC,26,32-33,209.05740838343903,4.35,182,"18°17'5""",79.20877777777778,12.715638888888888,GOOD,GOOD,"LT,2NOS HT",2NOS ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20877777777778 12.715638888888888, 79.20722222222223 12.716972222222223)"
45,T.NO 34,S,DA,26,33-34,223.89283150650448,6.08,182,,79.20722222222223,12.716972222222223,GOOD,GOOD,LT,ROAD,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20722222222223 12.716972222222223, 79.2051388888889 12.718666666666667)"
46,T.NO 35,S,DA,26,34-35,294.49108645254444,5.25,182,,79.2051388888889,12.718666666666667,GOOD,GOOD,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2051388888889 12.718666666666667, 79.20313888888889 12.720333333333333)"
47,T.NO 36,S,DA,26,35-36,283.7463656154912,4.62,186,,79.20313888888889,12.720333333333333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20313888888889 12.720333333333333, 79.20119444444445 12.721944444444444)"
48,T.NO 37,S,DA,26,36-37,275.8278448597966,4.88,190,,79.20119444444445,12.721944444444444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20119444444445 12.721944444444444, 79.199 12.72375)"
49,T.NO 38,S,DA,26,37-38,312.92970456637704,18.32,194,,79.199,12.72375,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.199 12.72375, 79.19722222222222 12.725222222222222)"
50,T.NO 39,S,DA,26,38-39,250.99003964301053,7.05,192,,79.19722222222222,12.725222222222222,GOOD,GOOD,LT,ROAD,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19722222222222 12.725222222222222, 79.19519444444445 12.726944444444445)"
51,T.NO 40,S,DA,26,39-40,290.58905691715233,5.4,192,,79.19519444444445,12.726944444444445,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19519444444445 12.726944444444445, 79.19308333333333 12.728666666666667)"
52,T.NO 41,S,DA,26,40-41,299.6064084761873,3.78,194,,79.19308333333333,12.728666666666667,GOOD,GOOD,2NOS LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19308333333333 12.728666666666667, 79.19125000000001 12.730194444444445)"
53,T.NO 42,S,DA,26,41-42,262.17932794177347,6.18,197,,79.19125000000001,12.730194444444445,GOOD,GOOD,2NOS LT,2NOS MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19125000000001 12.730194444444445, 79.18919444444445 12.731861111111112)"
54,T.NO 43,T,DB,24,42-43,287.5708608325955,4.95,198,"4°35'18""",79.18919444444445,12.731861111111112,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18919444444445 12.731861111111112, 79.18772222222222 12.733305555555555)"
55,T.NO 44,S,DA,26,43-44,226.2785893539201,5.25,200,,79.18772222222222,12.733305555555555,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18772222222222 12.733305555555555, 79.186 12.734972222222222)"
56,T.NO 45,S,DA,26,44-45,263.751777245197,7.15,199,,79.186,12.734972222222222,GOOD,GOOD,,2NOS MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.186 12.734972222222222, 79.18430555555555 12.736638888888889)"
57,T.NO 46,S,DA,26,45-46,258.80494585691366,3.8,198,,79.18430555555555,12.736638888888889,GOOD,GOOD,LT,"ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18430555555555 12.736638888888889, 79.1825 12.738388888888888)"
58,T.NO 47,S,DA,26,46-47,277.89386463180506,6.38,198,,79.1825,12.738388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1825 12.738388888888888, 79.18086111111111 12.739972222222221)"
59,T.NO 48,T,DB,24,47-48,247.48737341529164,15.25,199,"0°14'27""",79.18086111111111,12.739972222222221,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18086111111111 12.739972222222221, 79.17916666666667 12.741583333333333)"
60,T.NO 49,S,DA,26,48-49,257.3868683519033,5.15,202,,79.17916666666667,12.741583333333333,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17916666666667 12.741583333333333, 79.17733333333334 12.74336111111111)"
61,T.NO 50,S,DA,26,49-50,280.01785657346926,12.65,204,,79.17733333333334,12.74336111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17733333333334 12.74336111111111, 79.17572222222223 12.744944444444444)"
62,T.NO 51,s,DA,26,50-51,248.90560459740556,9.08,205,,79.17572222222223,12.744944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17572222222223 12.744944444444444, 79.17383333333333 12.746722222222221)"
63,T.NO 52,T,DB,24,51-52,282.14358046923553,16.35,207,"0°11'26""",79.17383333333333,12.746722222222221,GOOD,GOOD,,,"CANAL,HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17383333333333 12.746722222222221, 79.16816666666666 12.75225)"
64,T.NO 53,S,DA,26,52-53,315,3.48,201,,79.16816666666666,12.75225,GOOD,GOOD,LT,MUDROAD,"AGRI,CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16816666666666 12.75225, 79.17027777777778 12.750222222222222)"
65,T.NO 54,S,DA,26,53-54,234,5.71,196,,79.17027777777778,12.750222222222222,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17027777777778 12.750222222222222, 79.17180555555557 12.74875)"
66,T.NO 55,S,DA,26,54-55,319,4.28,196,,79.17180555555557,12.74875,GOOD,GOOD,LT,,"AGRI,LAKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17180555555557 12.74875, 79.16627777777778 12.754111111111111)"
67,T.NO 56,S,DA,26,55-56,291,5.42,205,,79.16627777777778,12.754111111111111,GOOD,GOOD,HT,2NOS ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16627777777778 12.754111111111111, 79.16447222222223 12.755833333333333)"
68,T.NO 57,S,DA,26,56-57,273.6512378923216,4.09,203,,79.16447222222223,12.755833333333333,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16447222222223 12.755833333333333, 79.16244444444445 12.757777777777777)"
69,T.NO 58,S,DA,26,57-58,308.3018001893599,7.65,206,,79.16244444444445,12.757777777777777,GOOD,GOOD,2NOS LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16244444444445 12.757777777777777, 79.16066666666667 12.759527777777778)"
70,T.NO 59,S,DA,26,58-59,272.9468812791236,4.38,206,,79.16066666666667,12.759527777777778,GOOD,GOOD,2NOS LT,ROAD,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16066666666667 12.759527777777778, 79.15863888888889 12.7615)"
71,T.NO 60,S,DA,26,59-60,310.42068230064825,17.98,210,,79.15863888888889,12.7615,GOOD,GOOD,2NOS LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15863888888889 12.7615, 79.15658333333334 12.763472222222223)"
72,T.NO 61,T,DB,24,60-61,311.8348922106056,5.32,214,"14°22'38""",79.15658333333334,12.763472222222223,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15658333333334 12.763472222222223, 79.15630555555556 12.763638888888888)"
73,GANTRY  ( KANNAMANGALAM SS ),T,GT,15,61-GT,37.21558813185679,,214,,79.15630555555556,12.763638888888888,GOOD,MISSING,,,S.S,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
