S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT  230KV OMEGA SS ,2W,T,GANTRY,15,,,,16,,80.15619444,12.64219444,Yes,,GOOD,MISSING,,,PLAIN,OMEGA 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15619444444445 12.642194444444444, 80.15586111111112 12.642222222222221)"
2,T.NO 1,,T,DD,28,GT-1,35.0142828,2.45,16,"89°12'21""",80.15586111,12.64222222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15586111111112 12.642222222222221, 80.1558888888889 12.642833333333332)"
3,T.NO 2 MC,,T,MD,45,1-,68.00735254,1.9,15,"94°17'50""",80.15588889,12.64283333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1558888888889 12.642833333333332, 80.15761111111112 12.642694444444444)"
4,T.NO 3 MC,,T,MD,45,02-Mar,189.7630101,2.05,15,"106°30'40""",80.15761111,12.64269444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15761111111112 12.642694444444444, 80.15727777777778 12.644305555555555)"
5,T.NO 4 MC,,T,MB,45,03-Apr,182.5842271,2.3,14,"9°5'55""",80.15727778,12.64430556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15727777777778 12.644305555555555, 80.15627777777779 12.646944444444443)"
6,T.NO 5 MC,,T,MB,45,04-May,311.6809266,2.9,14,"2°47'43""",80.15627778,12.64694444,,,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15627777777779 12.646944444444443, 80.15544444444446 12.648805555555555)"
7,T.NO 6 MC,,T,MD,45,05-Jun,225.3219918,2.43,13,"55°58'47""",80.15544444,12.64880556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15544444444446 12.648805555555555, 80.15380555555556 12.649111111111111)"
8,T.NO 7 MC,,T,MB,45,06-Jul,182.2004391,3.5,14,"8°46'48""",80.15380556,12.64911111,,,GOOD,GOOD,110KV CROSSING BELOW,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15380555555556 12.649111111111111, 80.153 12.649138888888888)"
9,T.NO 8 MC,,T,MB,45,07-Aug,87.05170877,3.87,15,"6°10'49""",80.153,12.64913889,,,GOOD,GOOD,HT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.153 12.649138888888888, 80.15050000000001 12.648944444444444)"
10,T.NO 9 MC,,T,MB,45,08-Sep,272.7343029,2.34,15,"1°40'19""",80.1505,12.64894444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15050000000001 12.648944444444444, 80.14797222222222 12.648694444444445)"
11,T.NO 10 MC,,T,MB,45,09-Oct,273.4373786,2.9,16,"6°53'18""",80.14797222,12.64869444,,,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14797222222222 12.648694444444445, 80.14641666666667 12.648694444444445)"
12,T.NO 11 MC,,T,MD,45,10-Nov,170.0264685,3.1,15,"142°31'51""",80.14641667,12.64869444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14641666666667 12.648694444444445, 80.14677777777779 12.648416666666666)"
13,T.NO 12 LILO,3W,T,DD,28,11-Dec,49.81967483,4.03,13,"39°32'37""",80.14677778,12.64841667,Yes,,GOOD,GOOD,,,PLAIN,OMEGA 110 TO ALATHUR LINE LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14677777777779 12.648416666666666, 80.14683333333333 12.648138888888889)"
14,GT 110KV OMEGA SS,2W,T,GANTRY,15,12-GT,33.73425559,,13,,80.14683333,12.64813889,Yes,,GOOD,MISSING,,,PLAIN,110KV OMEGA SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,2081M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
