S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,139,,S,DC,28,142- 143,281.8567567,3.1,21.419422,,12.96065499,80.11215298,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1121529750525 12.9606549907475, 80.1139740273356 12.9588839784264)"
22,140,,S,DC,28,143- 144,283.1805318,2.15,23.462736,,12.95888398,80.11397403,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1139740273356 12.9588839784264, 80.1157830096781 12.9570930171757)"
23,141,,T,DC,26,144- 145,283.816305,1.9,24.374905,19°59'20''LT,12.95709302,80.11578301,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1157830096781 12.9570930171757, 80.1182030327618 12.9559720214456)"
24,142,,S,DC,28,145- 146,295.3110812,2.63,22.60269,,12.95597202,80.11820303,GOOD,AVAILABLE,"HT, LT",CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1182030327618 12.9559720214456, 80.1196487434208 12.9553465638309)"
25,143,,S,DC,28,146- 147,176.3993648,-,24,,12.95534656,80.11964874,GOOD,AVAILABLE,HT,NH,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1196487434208 12.9553465638309, 80.1223435252904 12.95414426364)"
26,144,,S,DC,28,147- 148,326.1350001,-,26,,12.95414426,80.12234353,GOOD,NO E/W,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1223435252904 12.95414426364, 80.1249507162719 12.9529744014143)"
27,145,,S,DC,28,148- 149,316.002733,-,25,,12.9529744,80.12495072,GOOD,NO E/W,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1249507162719 12.9529744014143, 80.1275579910725 12.9518629610538)"
28,146,,S,DC,28,149- 150,313.3799456,3.17,23.833672,,12.95186296,80.12755799,GOOD,NO E/W,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1275579910725 12.9518629610538, 80.1296129822731 12.9509319830685)"
29,147,,T,DC,26,150- 151,250.5448958,1.55,26.339834,31°22'1''RT,12.95093198,80.12961298,GOOD,NO E/W,LT -2NO,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1296129822731 12.9509319830685, 80.13128567487 12.9484850540757)"
30,148,,S,DC,28,151-  Gantry (Kadaperi SS),330.8229223,2.19,27.504625,,12.94848505,80.13128567,GOOD,AVAILABLE,LT -3NO,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13128567487 12.9484850540757, 80.132215982303 12.9471649881452)"
31,149,,T,DC,26, Gantry (Kadaperi SS)- ,182.4796227,3.05,27.39048,121°9'35''LT,12.94716499,80.13221598,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.132215982303 12.9471649881452, 80.1319599989801 12.9466059990227)"
32,150,,T,DC,26,- ,72.77282131,4.69,28.971531,66°31'23''RT,12.946606,80.13196,GOOD,AVAILABLE,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1319599989801 12.9466059990227, 80.131380977109 12.9466130398213)"
33,151,,T,DC,26,- ,67.81503706,1.83,30.288704,80°17'14''LT,12.94661304,80.13138098,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.131380977109 12.9466130398213, 80.1313410792499 12.9464003071188)"
34, Gantry (Kadaperi SS),2W,T,H-POLE,15,151 -  Gantry ,28.92255412,-,29.93149,,12.94640031,80.13134108,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
