S. No ,Tower No,"Joint Box
",Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV THIRUVERKADU SS 1A,2W,T,GT,15,,,,26,,80.11466667,13.06891667,GOOD,MISSING,,,PLAIN,110KV THIRUVERKADU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11466666666666 13.068916666666667, 80.11458333333333 13.069138888888888)"
2,T.NO 1,,T,DD,28,GT-1,25,4.96,29,"144°48'3""",80.11458333,13.06913889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11458333333333 13.069138888888888, 80.11427777777777 13.068222222222222)"
3,T.NO 2,,T,DD,28,01-Feb,107.8378412,1.36,17,"49°50'59""",80.11427778,13.06822222,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11427777777777 13.068222222222222, 80.1128611111111 13.06775)"
4,T.NO 3,,S,DA,26,02-Mar,161.2761607,,25,,80.11286111,13.06775,GOOD,GOOD,,RIVER-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1128611111111 13.06775, 80.11102777777778 13.066972222222223)"
5,T.NO 4,,T,DB,24,03-Apr,217.7062241,2.37,21,"1°36'59""",80.11102778,13.06697222,GOOD,GOOD,"LT-2 ,HT - 1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11102777777778 13.066972222222223, 80.10933333333332 13.066222222222223)"
6,T.NO 5,,S,DA,26,04-May,199.7223072,2.16,22,,80.10933333,13.06622222,GOOD,GOOD,,ROAD- 2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10933333333332 13.066222222222223, 80.10705555555555 13.065305555555556)"
7,T.NO 6 LILO,3W,T,DB,24,05-Jun,266.8520189,1.72,18,"0°20'54""",80.10705556,13.06530556,GOOD,GOOD,,RIVER-1,PLAIN,KADUVETTI-HVF LINE LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10705555555555 13.065305555555556, 80.10572222222221 13.064777777777778)"
8,T.NO 7,,T,DB,24,06-Jul,156.9235483,2.37,21,"0°35'54""",80.10572222,13.06477778,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10572222222221 13.064777777777778, 80.10347222222222 13.063777777777778)"
9,T.NO 8,,S,DA,26,07-Aug,265.5145947,,23,,80.10347222,13.06377778,GOOD,GOOD,,RIVER -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10347222222222 13.063777777777778, 80.10205555555555 13.063305555555557)"
10,T.NO 9,,S,DA,26,08-Sep,164.1371378,4.38,21,,80.10205556,13.06330556,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10205555555555 13.063305555555557, 80.1 13.0625)"
11,T.NO 10,,T,DB,24,09-Oct,238.8053601,3.18,25,"0°28'20""",80.1,13.0625,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1 13.0625, 80.09872222222222 13.061916666666667)"
12,T.NO 11,,S,DA,26,10-Nov,152.2005256,3.44,24,,80.09872222,13.06191667,GOOD,GOOD,"HT-1 , LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09872222222222 13.061916666666667, 80.09722222222221 13.061305555555556)"
13,T.NO 12,,S,DA,26,11-Dec,178.8463027,2.12,24,,80.09722222,13.06130556,GOOD,GOOD,,BRIDGE TOWER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09722222222221 13.061305555555556, 80.09572222222222 13.060722222222223)"
14,T.NO 13,,S,DA,26,Dec-13,173.2541486,,26,,80.09572222,13.06072222,GOOD,GOOD,230KV CROSSING BELOW,,PLAIN,KORATTUR TO SRIPERUMPUDHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09572222222222 13.060722222222223, 80.0941111111111 13.060083333333335)"
15,T.NO 14,,T,DB,24,13-14,189.9736824,1.16,27,"0°10'20""",80.09411111,13.06008333,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0941111111111 13.060083333333335, 80.09247222222221 13.05938888888889)"
